DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_1	CHK__1_1_1	DAQM_T_1_1_1	VIN_1_1_1	DRM_POWER_STATUS_1_1_1	DRM_V_BATTERY_1_1_1	DRM_V_MAIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	Relay_1_1_1	Relay_2_1_1	Relay_3_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHFSENS_3_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWC_4_1_1	SWC_5_1_1	SWC_6_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TCNR4_C_1_1_1	TSENSOR_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	TS_4_1_1	TS_5_1_1	TS_6_1_1	TS_7_1_1	TS_8_1_1	TS_9_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[OTHER]	[V]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[W/m^2]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[C]	[C]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	079
DATA	2024-06-14T233000_smart3-01130.ghg	2024-06-15	00:00:00	167	0	18000	18000	-0.0803239	1	NaN	39.8026	0	NaN	133.812	0	NaN	-2.83091	0	NaN	3.03604	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.56747e-10	-3.92409e-12	NaN	NaN	12.7621	405.063	409.213	0	0	319.494	10.1406	10.2445	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.367	296.049	77548.6	0.909073	1011.12	0.0317395	0.196736	0.00575729	786.6	2784.1	0.00633314	28.2533	1997.5	276.679	-4.59626	3.68274	0.908358	5.9593	1.24236e-13	-1.22822e-14	5.9593	10.7592	306.326	141.297	8.7676	NaN	0.297251	2.2201	-48.0121	-0.065244	0.297452	-0.145676	0	44.2691	-6.718	15.1961	37.8405	57.7092	80.938	121.26	-0.0792057	1.01412	45.9549	1.03128	115.018	1.1337	-5.22856	1.1337	2.60962	1.1337	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	3	2	3	0	7	21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	1.44936	2.84286	0.147988	0.198721	0.00166778	402.034	NaN	NaN	0.0499956	-0.00522856	2.60962	NaN	NaN	26.5862	405.063	10.1406	3.43995	99.6176	0.207261	136.8	30.6565	12.2623	15	12.8926	26.5425	323.878	446.086	1011.37	0	28.8773	287.737	-0.00000751732	-0.00000424472	-0.00000732307	0.000057623	0.000059751	0.00007197	38.1808	-21.5949	21.5996	0.342467	0.4102	0.1966	0.187	0.337533	0.392	518.454	108.51	296.506	26.7351	NaN	290.063	290.323	289.32	285.973	283.15	282.65	290.04	290.702	290.066	020
DATA	2024-06-15T000000_smart3-01130.ghg	2024-06-15	00:30:00	167.0208	0	18000	18000	-0.130998	1	NaN	28.7367	0	NaN	153.771	0	NaN	-3.35399	0	NaN	3.48832	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.27303e-10	3.14822e-12	NaN	NaN	12.7495	404.503	408.59	0	0	315.295	10.0034	10.1045	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.141	295.882	77535.1	0.909477	1011.04	0.0317271	0.226043	0.00568162	775.823	2755.97	0.00624713	28.1506	1980.14	276.484	-4.37755	4.54171	0.983668	6.38417	3.30767e-13	9.98499e-15	6.38417	12.6151	314.564	133.946	8.86339	NaN	0.379522	2.77772	-138.389	-0.0226354	0.18688	-0.0823456	0	46.6764	-7.08333	16.0225	39.8983	60.8475	85.3394	127.854	-0.129077	1.01488	36.2214	1.0331	132.362	1.13903	-5.36591	1.13903	3.00266	1.13903	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	8	5	3	0	0	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	3.91304	1.43107	0.21133	0.0936215	0.0014479	648.375	NaN	NaN	0.0393918	-0.00536591	3.00266	NaN	NaN	26.59	404.503	10.0034	3.22821	99.622	0.214296	130.633	30.3456	12.2538	15	12.8913	26.5496	324.305	439.473	893.72	0	28.6985	246.906	0.0122912	0.0122827	0.0122759	0.0000566929	0.0000607011	0.00007197	37.5295	-20.1821	21.1404	0.342	0.409933	0.196	0.187	0.335	0.392	460.794	98.7211	296.358	26.4424	NaN	289.873	290.1	289.127	286.097	283.15	282.65	289.755	290.382	289.839	243
DATA	2024-06-15T003000_smart3-01130.ghg	2024-06-15	01:00:00	167.0416	0	18000	18000	-0.175225	0	NaN	-5.72117	0	NaN	125.869	0	NaN	-2.20804	0	NaN	2.85432	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.03631e-11	7.28956e-13	NaN	NaN	12.7417	403.762	407.714	0	0	305.901	9.69349	9.78838	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.115	295.506	77531.3	0.910697	1010.86	0.0316883	0.18496	0.00551234	751.75	2693.71	0.00605288	27.9076	1941.96	276.038	-5.81923	3.78872	1.10698	7.03158	-1.49818e-14	2.38298e-15	7.03158	10.8554	299.956	146.933	9.05771	NaN	0.438643	1.36857	1073.09	0.00291915	-0.0454534	0.014168	0	52.5081	-7.9683	18.0243	44.8831	68.4496	96.0015	143.828	-0.172449	1.0161	1.2982	1.03589	108.912	1.14709	-2.69617	1.14709	2.4698	1.14709	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	1	6	2	10	1	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	1.21652	1.3103	0.210324	0.0249353	0.000457079	253.229	NaN	NaN	0.00141019	-0.00269617	2.4698	NaN	NaN	26.59	403.762	9.69356	2.80705	99.6247	0.219087	109.1	29.6287	12.2622	15	12.8936	26.6002	319.46	427.065	685.597	0	28.215	168.759	-0.00000698036	-0.00000368029	-0.00000655062	0.0000564604	0.0000609386	0.00007197	34.2518	-18.8621	19.1393	0.342	0.4092	0.1959	0.187	0.332567	0.3916	353.853	77.4883	296.088	25.7118	NaN	289.607	289.79	288.873	286.203	283.15	282.65	289.397	289.854	289.362	179
DATA	2024-06-15T010000_smart3-01130.ghg	2024-06-15	01:30:00	167.0624	0	18000	18000	-0.134674	0	NaN	-29.2936	0	NaN	107.563	0	NaN	-1.24174	0	NaN	2.4378	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.54799e-11	1.09903e-12	NaN	NaN	12.7382	402.755	406.714	0	0	307.821	9.73265	9.82831	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.774	294.91	77547.4	0.912711	1010.86	0.0316179	0.15797	0.00554693	754.944	2597.77	0.00607742	29.0613	1842.82	276.098	-6.17649	2.17466	1.03801	6.62991	-5.32652e-14	3.57035e-15	6.62991	10.0451	286.307	160.604	9.00754	NaN	0.384128	1.16633	140.767	0.0222531	-0.272338	0.0826554	0	49.3442	-7.48817	16.9383	42.1787	64.3251	90.2169	135.161	-0.132437	1.01689	-22.5372	1.03863	91.8099	1.17611	-0.724731	1.17611	2.08077	1.17611	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	3	7	6	16	2	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.950101	1.19416	0.188405	0.055798	0.000150631	189.438	NaN	NaN	-0.0244272	-0.000724731	2.08077	NaN	NaN	26.5872	402.755	9.73268	2.87117	99.6215	0.220169	118.233	28.6062	12.2616	15	12.8946	26.5767	317.315	417.069	498.378	0	29.1197	100.814	-0.00000656292	-0.00000308784	-0.000006115	0.0000564604	0.0000609386	0.00007197	30.3415	-17.4644	17.1169	0.342	0.409	0.1951	0.187	0.330433	0.391	257.189	56.622	295.546	24.9483	NaN	289.28	289.39	288.563	286.283	283.177	282.65	288.992	289.229	288.778	248
DATA	2024-06-15T013000_smart3-01130.ghg	2024-06-15	02:00:00	167.0833	0	18000	18000	-0.0769905	1	NaN	-29.05	0	NaN	58.5783	0	NaN	-0.122968	0	NaN	1.32625	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.85396e-10	-2.12996e-11	NaN	NaN	12.7797	402.465	406.4	0	0	307.436	9.68191	9.77657	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	295.731	293.85	77576.3	0.916365	1010.81	0.0314924	0.085941	0.00554	751.288	2434.15	0.00604562	30.8645	1682.86	276.03	-4.74489	2.57824	0.835604	5.46439	8.15279e-14	-6.92813e-14	5.46439	10.1827	295.597	151.482	8.79607	NaN	0.289857	1.29008	61.0032	0.0513497	-0.495918	0.1082	0	46.3527	-7.03421	15.9114	39.6216	60.4255	84.7476	126.967	-0.0757507	1.01637	-24.9512	1.03659	50.6506	1.17393	0.602367	1.17393	1.14676	1.17393	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	2	8	5	9	12	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	1.89196	0.562765	0.125433	0.207013	0.000140053	230.634	NaN	NaN	-0.0269373	0.000602367	1.14676	NaN	NaN	26.58	402.465	9.68146	2.80006	99.6116	0.21886	130.3	27.6375	12.261	15	12.8946	26.1773	313.102	405.706	317.966	0	30.5363	34.0341	-0.00000583669	-0.00000244384	-0.00000553271	0.0000564604	0.0000609386	0.00007197	26.3636	-15.6357	15.2416	0.342	0.409267	0.195	0.187	0.328167	0.391	162.174	35.5361	294.539	23.9123	NaN	288.923	288.99	288.2	286.35	283.25	282.65	288.611	288.639	288.128	054
DATA	2024-06-15T020000_smart3-01130.ghg	2024-06-15	02:30:00	167.1041	0	18000	18000	-0.0202032	0	NaN	-24.4468	0	NaN	31.3346	1	NaN	0.645658	0	NaN	0.708023	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.21312e-10	-3.18408e-12	NaN	NaN	12.8821	402.771	407.075	0	0	338.114	10.5715	10.6845	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	293.875	291.789	77589.8	0.922687	1011.24	0.0312661	0.0458799	0.00609282	820.462	2141.83	0.00660334	38.3066	1321.37	277.278	-1.99663	2.31792	0.290705	3.07308	-2.13018e-14	-9.41717e-15	3.07308	5.41588	315.92	130.741	5.42814	NaN	0.147973	0.201982	9.64645	0.324731	-0.780187	0.177064	1	66.7787	29	65	143	289	697	3794	-0.0197817	1.02131	-21.8656	1.04469	26.0726	1.24065	1.22287	1.24065	0.589126	1.24065	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001099	800001099	899999999	899999999	89999	89999	89	89	24	16	4	6	0	32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.220604	0.149233	0.0341267	0.502059	0.00478368	123.127	NaN	NaN	-0.0234343	0.00122287	0.589126	NaN	NaN	26.2352	402.768	10.5718	4.05602	99.591	0.195605	128.633	26.868	12.2607	15	12.8944	25.9651	307.752	390.123	153.606	0	38.1453	-19.7912	-0.0000056249	-0.0000019608	-0.00000511054	0.0000564604	0.0000609386	0.00007197	22.6593	-13.7609	13.3198	0.342033	0.41	0.194967	0.187	0.327	0.391	78.1403	15.56	292.416	22.119	NaN	288.583	288.6	287.847	286.35	283.25	282.65	288.236	288.119	287.615	129
DATA	2024-06-15T023000_smart3-01130.ghg	2024-06-15	03:00:00	167.1249	0	18000	18000	0.00687898	1	NaN	7.10136	2	NaN	2.83782	1	NaN	-2.21579	2	NaN	0.0639307	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.37504e-10	3.42626e-12	NaN	NaN	13.2463	409.804	414.032	0	1	330.064	10.2113	10.3166	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	291.466	288.683	77579.6	0.932619	1010.97	0.0309373	0.00414271	0.00594775	792.401	1759.32	0.00637747	45.0402	966.919	276.783	-1.49603	1.86845	0.319644	2.41483	1.56563e-13	1.03806e-14	2.41483	3.7184	318.047	128.684	7.60639	NaN	0.0858835	0.217748	-6.49131	-0.482568	2.5024	-0.0876975	1	72.1725	32	57	93	140	222	497	0.00681056	1.01005	7.13742	1.01761	2.22451	1.09084	-2.3721	1.09084	0.0501139	1.09084	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800101099	899999999	899999999	89999	89999	89	89	14	6	11	10	3	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.291696	0.137678	0.00612094	1.05804	0.0348598	28.6154	NaN	NaN	0.00757002	-0.0023721	0.0501139	NaN	NaN	26.02	409.783	10.2111	3.56611	99.5585	0.528119	136.2	25.5513	12.2602	15	12.895	25.8788	299.457	367.255	40.1771	0	45.8589	-52.4043	-0.00000495177	-0.00000106259	-0.00000434172	0.0000564604	0.0000609386	0.00007197	19.2442	-12.0045	11.4423	0.342833	0.410133	0.1942	0.187533	0.3269	0.391	14.9426	-0.450507	288.821	18.9886	NaN	288.23	288.237	287.497	286.35	283.25	282.65	287.836	287.612	287.107	190
DATA	2024-06-15T030000_smart3-01130.ghg	2024-06-15	03:30:00	167.1458	0	18000	18000	0.0083521	0	NaN	-40.5812	1	NaN	5.15695	0	NaN	8.9171	1	NaN	0.115809	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-7.83897e-11	-1.81457e-12	NaN	NaN	13.7802	421.493	425.646	0.3	0	318.984	9.75674	9.85287	0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	290.188	285.388	77572.9	0.943467	1010.65	0.0305869	0.00750443	0.00574809	757.062	1420.4	0.00609252	53.2991	663.342	276.138	0.0979071	-0.0109295	-0.0188916	0.10031	1.80031e-13	-5.68858e-15	0.10031	1.79965	137.901	353.63	-10.8555	NaN	0.0940881	0.345772	1.49326	2.09776	-7.86922	0.452335	1	0.0598229	1	1	NaN	NaN	NaN	NaN	0.0079421	1.05162	-36.8414	1.09679	4.51165	1.60138	6.82116	1.60138	0.101318	1.60138	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800011199	800111199	899999999	899999999	89999	89999	89	89	13	7	3	14	4	16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.15189	0.52351	0.0161427	1.49366	0.108791	66.8196	NaN	NaN	-0.0386373	0.00682116	0.101318	NaN	NaN	25.8777	421.485	9.75673	2.91908	99.5125	0.65232	109.9	22.8237	12.259	15	12.8974	25.8158	293.123	351.877	3.77573	0	52.2567	-61.5913	-0.00000354851	1.24071e-7	-0.00000290756	0.0000564604	0.0000609386	0.00007197	15.9794	-10.3593	9.48776	0.343133	0.411	0.194	0.187467	0.327867	0.391	-7.92529	-5.08824	286.157	15.6842	NaN	287.85	287.863	287.117	286.35	283.25	282.65	287.377	287	286.472	037
DATA	2024-06-15T033000_smart3-01130.ghg	2024-06-15	04:00:00	167.1666	0	18000	18000	-0.0101112	1	NaN	11.3865	2	NaN	3.2473	0	NaN	-2.68896	2	NaN	0.0729388	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.11207e-10	2.49606e-12	NaN	NaN	13.7453	420.703	424.713	0	1	308.516	9.44277	9.53278	0.5	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	290.603	285.594	77577.8	0.942959	1010.49	0.030607	0.00472643	0.00555946	732.746	1439.76	0.00589576	50.8935	707.018	275.678	-0.351172	0.285894	0.0681507	0.457932	9.21847e-14	8.09052e-15	0.457932	2.39737	283.964	140.85	8.55871	NaN	0.103551	0.314754	-7.09463	-0.441531	3.50644	-0.115402	1	6.03591	3	5	8	13	21	52	-0.00986542	1.02491	11.3121	1.02297	2.43004	1.08719	-3.03056	1.08719	0.0545819	1.08719	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001199	800101199	899999999	899999999	89999	89999	89	89	8	7	4	19	22	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.332122	0.281338	0.0160481	2.44975	0.13379	23.8476	NaN	NaN	0.0118719	-0.00303056	0.0545819	NaN	NaN	25.8446	420.686	9.44317	2.46192	99.5115	0.617124	124.833	20.3266	12.258	15	12.897	25.7751	294.461	349.356	0.0458826	0	47.5489	-58.7898	-0.00000252917	0.00000145399	-0.00000168458	0.0000564604	0.0000609386	0.00007197	12.6283	-8.71755	7.32769	0.343933	0.411133	0.194	0.187767	0.3295	0.391	-10.1315	-6.23645	287.095	16.5	NaN	287.443	287.47	286.717	286.35	283.317	282.65	286.889	286.362	285.821	072
