DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_1	CHK__1_1_1	DAQM_T_1_1_1	VIN_1_1_1	DRM_POWER_STATUS_1_1_1	DRM_V_BATTERY_1_1_1	DRM_V_MAIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	Relay_1_1_1	Relay_2_1_1	Relay_3_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHFSENS_3_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWC_4_1_1	SWC_5_1_1	SWC_6_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TCNR4_C_1_1_1	TSENSOR_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	TS_4_1_1	TS_5_1_1	TS_6_1_1	TS_7_1_1	TS_8_1_1	TS_9_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[OTHER]	[V]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[W/m^2]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[C]	[C]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	079
DATA	2024-07-13T233000_smart3-01133.ghg	2024-07-14	00:00:00	196	0	18000	18000	-0.0289111	1	NaN	3.74913	2	NaN	-6.31982	2	NaN	-2.23242	2	NaN	-0.142898	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.5311e-11	1.26162e-12	NaN	NaN	13.6465	415.872	419.855	0	1	311.271	9.48588	9.57672	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	295.484	292.501	79799.1	0.94704	1010.67	0.0304747	-0.00925981	0.0056091	757.167	2239.1	0.00592277	33.8156	1481.94	276.14	-1.24357	1.58592	-0.0100053	2.01536	-5.3585e-14	4.05313e-15	2.01536	4.79729	80.6923	128.101	-0.284448	NaN	0.174722	0.7072	-105.631	-0.0286847	-0.593233	-0.0224185	1	30.6083	13	26	47	78	143	426	-0.0286152	1.01034	3.32004	1.01707	-6.06189	1.06307	-2.21597	1.06307	-0.137066	1.06307	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800101099	899999999	899999999	89999	89999	89	89	0	4	0	3	1	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.845485	0.502257	0.0666578	1.29783	0.0763591	380.846	NaN	NaN	0.0034687	-0.00221597	-0.137066	NaN	NaN	12.2163	415.856	9.48471	2.90098	95.6818	0.55325	109.733	24.862	12.2298	15	12.8654	25.1736	347.708	400.591	-0.000629908	0	34.784	-57.6724	0.0000024205	0.00000290253	0.0000040493	0.0000554194	0.0000530751	0.0000636816	-18.9119	-12.9743	-39.9972	0.252367	0.304	0.305667	0.251	0.161	0.0462	-10.5827	-5.79345	293.068	22.3293	NaN	294.773	293.537	294.63	296.603	294.35	292.25	294.542	293.687	293.967	118
DATA	2024-07-14T000000_smart3-01133.ghg	2024-07-14	00:30:00	196.0208	0	18000	18000	-0.00351353	1	NaN	-10.2699	0	NaN	4.18652	1	NaN	1.9289	0	NaN	0.0946112	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.66149e-13	-8.28146e-15	NaN	NaN	13.6527	415.261	419.198	0	0	308.793	9.39225	9.4813	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	295.082	291.944	79800.7	0.948898	1010.6	0.0304161	0.0061308	0.00556444	749.709	2162.72	0.00586411	34.6652	1413.01	276	-2.35719	0.951538	-0.0325878	2.54221	4.30498e-14	-2.68189e-17	2.54221	4.25351	57.6953	158.017	-0.734475	NaN	0.0608502	0.189081	1.6289	1.86015	-2.45308	0.175996	1	309.324	137	309	696	1443	3622	NaN	-0.00330684	1.06251	-8.96757	1.12433	3.12379	1.48808	1.60639	1.48808	0.0705945	1.48808	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100199	899999999	899999999	89999	89999	89	89	1	18	9	5	2	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.173618	0.191069	0.0134747	0.252555	0.0174484	181.391	NaN	NaN	-0.00935137	0.00160639	0.0705945	NaN	NaN	12.22	415.26	9.39219	2.77385	95.6878	0.527804	140.6	24.3484	12.2211	15	12.8645	25.1743	345.485	398.42	-0.000616328	0	38.281	-57.5073	0.0123547	0.01221	0.012344	0.0000627028	0.0000618246	0.0000636816	-17.4718	-11.6903	-27.4601	0.251533	0.303133	0.304867	0.251	0.161	0.0462333	-9.6728	-5.10086	291.916	21.123	NaN	294.453	293.287	294.327	296.487	294.407	292.25	294.269	293.463	293.689	199
DATA	2024-07-14T003000_smart3-01133.ghg	2024-07-14	01:00:00	196.0416	0	18000	18000	-0.012343	0	NaN	-17.5961	0	NaN	16.7127	0	NaN	3.05404	0	NaN	0.377525	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.72911e-12	8.577e-14	NaN	NaN	13.7125	416.467	420.494	0	0	315.388	9.57879	9.67143	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.638	291.493	79794.5	0.950226	1010.69	0.0303714	0.0244636	0.0056833	764.54	2102.49	0.005981	36.3635	1337.95	276.277	-2.13924	1.34388	-0.0442034	2.52672	-3.07898e-14	2.71951e-16	2.52672	3.73641	67.1821	147.863	-1.00241	NaN	0.113972	0.129067	6.24639	0.48508	-1.05286	0.160759	1	77.7582	34	77	171	348	855	4856	-0.0120431	1.0249	-15.8888	1.05163	14.4269	1.20817	3.11105	1.20817	0.325891	1.20817	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	10	13	13	5	4	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.113522	0.122495	0.0221176	0.227787	0.0152262	144.285	NaN	NaN	-0.0165442	0.00311105	0.325891	NaN	NaN	12.2103	416.466	9.57868	3.05257	95.6963	0.490475	112.4	23.707	12.2305	15	12.8625	25.0461	327.201	393.835	-0.0006098	0	39.9049	-72.0708	0.00000308805	0.00000354161	0.00000417185	0.0000645236	0.000064012	0.0000636816	-17.5654	-11.611	-18.8109	0.2508	0.302833	0.304	0.250333	0.161	0.0462667	-10.679	-5.24318	291.476	20.7779	NaN	294.17	293.073	294.06	296.357	294.45	292.25	294.019	293.257	293.419	188
DATA	2024-07-14T010000_smart3-01133.ghg	2024-07-14	01:30:00	196.0624	0	18000	18000	-0.0245154	0	NaN	-25.9489	0	NaN	15.9816	0	NaN	3.7248	0	NaN	0.360602	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.93761e-12	1.61456e-13	NaN	NaN	13.8291	418.424	422.538	0	0	321.839	9.73778	9.83354	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	293.55	290.318	79774.1	0.95377	1010.75	0.0302567	0.023367	0.00579953	777.031	1952.44	0.00608064	39.798	1175.41	276.506	-2.48988	1.43131	-0.047777	2.87236	-1.63424e-15	5.01667e-16	2.87236	5.1914	64.734	150.107	-0.953065	NaN	0.160324	0.152052	11.7883	0.257035	-1.62367	0.167893	1	50.7123	22	49	106	212	500	2603	-0.0240559	1.0191	-24.1136	1.04022	14.7368	1.16365	4.17315	1.16365	0.332515	1.16365	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	32	20	9	20	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.169692	0.0972857	0.0371262	0.362266	0.0157809	123.942	NaN	NaN	-0.0250134	0.00417315	0.332515	NaN	NaN	12.213	418.425	9.73785	3.28295	95.7102	0.486332	134.167	22.9951	12.2309	15	12.8629	25.0186	322.713	390.987	-0.000602487	0	42.4059	-73.9179	0.00000359208	0.00000377298	0.00000438841	0.0000645236	0.000064012	0.0000636816	-18.4221	-12.1719	-14.3706	0.250033	0.302	0.3032	0.25	0.161	0.0463	-10.9626	-5.31874	290.461	19.8189	NaN	293.883	292.827	293.78	296.21	294.45	292.25	293.724	293.006	293.121	237
DATA	2024-07-14T013000_smart3-01133.ghg	2024-07-14	02:00:00	196.0833	0	18000	18000	-0.0552325	0	NaN	-40.4792	0	NaN	22.7862	0	NaN	3.10225	0	NaN	0.514252	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.30229e-11	3.06063e-13	NaN	NaN	13.6937	414.739	418.822	0	0	321.826	9.74715	9.84309	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294	290.549	79757.9	0.952814	1010.76	0.030287	0.0333235	0.00579931	777.62	1981.22	0.00608651	39.2495	1203.6	276.516	-2.41879	1.71684	-0.0452574	2.9665	1.92067e-14	9.51018e-16	2.9665	5.76057	70.4229	144.633	-0.874146	NaN	0.240765	0.290682	25.5897	0.118407	-1.77648	0.174575	0	71.6814	-10.8779	24.6059	61.2721	93.4439	131.056	196.346	-0.0544627	1.01413	-38.0618	1.03015	21.9156	1.12372	4.33374	1.12372	0.494605	1.12372	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	11	19	3	14	7	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.310216	0.192232	0.0789168	0.436268	0.0147418	85.1193	NaN	NaN	-0.0395214	0.00433374	0.494605	NaN	NaN	12.22	414.736	9.74707	3.29636	95.7052	0.487977	120.533	22.3216	12.2316	15	12.8614	25.0366	322.974	392.157	-0.000570104	0	41.1764	-74.2315	0.00000398073	0.00000427613	0.00000450691	0.0000645236	0.000064012	0.0000636816	-19.469	-12.8297	-5.90888	0.249167	0.301267	0.302367	0.249967	0.161	0.0461667	-9.87303	-4.82406	290.779	19.8437	NaN	293.583	292.557	293.48	296.087	294.45	292.25	293.426	292.753	292.811	091
DATA	2024-07-14T020000_smart3-01133.ghg	2024-07-14	02:30:00	196.1041	0	18000	18000	-0.0585707	0	NaN	-37.4564	0	NaN	23.1774	0	NaN	2.62796	0	NaN	0.523288	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.34741e-11	-7.81301e-13	NaN	NaN	13.652	414.112	418.154	0	0	318.645	9.66558	9.75992	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.125	290.957	79747.7	0.951386	1010.73	0.0303334	0.0339091	0.00574198	771.014	2032.84	0.00603539	37.9279	1261.83	276.396	-2.86009	1.5258	-0.0235291	3.24171	7.17224e-14	-2.45195e-15	3.24171	5.8903	62.9076	151.921	-0.41587	NaN	0.24812	0.37536	30.2646	0.100117	-1.61607	0.156991	0	71.6781	-10.8774	24.6048	61.2693	93.4396	131.05	196.337	-0.0577575	1.01408	-35.1008	1.03027	22.1012	1.12405	3.77111	1.12405	0.498989	1.12405	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	11	18	2	7	2	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.342472	0.324427	0.0838217	0.313614	0.00534708	66.9813	NaN	NaN	-0.0365028	0.00377111	0.498989	NaN	NaN	12.2137	414.112	9.66559	3.17649	95.6979	0.520043	127.267	22.1698	12.2317	15	12.8602	25.0573	325.602	393.881	-0.000699637	0	39.5937	-73.5455	0.00000417492	0.00000427175	0.00000454514	0.0000645236	0.000064012	0.0000636816	-20.4694	-13.4527	-13.8936	0.248467	0.300633	0.301633	0.249667	0.161	0.0464333	-10.9837	-5.71716	291.345	20.4425	NaN	293.287	292.32	293.19	295.933	294.493	292.25	293.156	292.52	292.528	100
DATA	2024-07-14T023000_smart3-01133.ghg	2024-07-14	03:00:00	196.1249	0	18000	18000	-0.0483875	0	NaN	-34.511	0	NaN	18.0065	0	NaN	2.71667	0	NaN	0.406455	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.86143e-11	-1.61925e-12	NaN	NaN	13.6801	414.703	418.802	0	0	322.842	9.78671	9.88344	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.1	290.735	79737.1	0.951941	1010.79	0.0303143	0.0263383	0.0058176	780.573	2004.64	0.00611131	38.9383	1224.07	276.57	-2.32364	1.69656	-0.0360644	2.87731	4.79555e-14	-5.01562e-15	2.87731	5.0844	71.0072	143.866	-0.718168	NaN	0.225456	0.258725	24.6415	0.122963	-1.91659	0.159084	0	69.0088	-10.4724	23.6885	58.9877	89.96	126.17	189.026	-0.0477151	1.01409	-32.5318	1.02999	17.4473	1.12308	3.77153	1.12308	0.393831	1.12308	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	7	13	4	11	6	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.293304	0.148051	0.0760956	0.267855	0.00723312	76.7441	NaN	NaN	-0.0338094	0.00377153	0.393831	NaN	NaN	12.21	414.702	9.7867	3.35061	95.7038	0.490831	121.267	22.0779	12.2315	15	12.86	24.8507	323.854	392.455	-0.000575588	0	40.4911	-73.789	0.0000042894	0.00000456357	0.0000046999	0.0000645236	0.000064012	0.0000636816	-21.1769	-13.8998	-30.2557	0.247833	0.300033	0.300867	0.249133	0.161	0.0466	-10.1888	-5.00061	291.056	20.1549	NaN	293.027	292.1	292.937	295.797	294.55	292.25	292.925	292.317	292.286	252
DATA	2024-07-14T030000_smart3-01133.ghg	2024-07-14	03:30:00	196.1458	0	18000	18000	-0.0502766	0	NaN	-33.2228	0	NaN	12.9731	0	NaN	2.51474	0	NaN	0.292974	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.92496e-11	6.76928e-13	NaN	NaN	13.5586	411.779	415.741	0	0	313.789	9.52985	9.62154	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.577	291.221	79723.2	0.950281	1010.66	0.0303702	0.0189847	0.00565449	759.954	2066.87	0.00595033	36.7683	1306.92	276.192	-1.19755	1.71132	0.0141205	2.08877	-1.99132e-14	2.15727e-15	2.08877	4.91061	94.1092	124.984	0.387336	NaN	0.230015	0.597648	27.1774	0.11149	-2.5609	0.150391	0	68.2663	-10.3597	23.4336	58.353	88.992	124.813	186.992	-0.0496844	1.01192	-31.7073	1.02461	13.1678	1.10116	3.63673	1.10116	0.297372	1.10116	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001099	800001099	899999999	899999999	89999	89999	89	89	5	5	0	3	1	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.669471	0.444449	0.0813762	0.211849	0.00563932	158.591	NaN	NaN	-0.0330143	0.00363673	0.297372	NaN	NaN	12.2197	411.779	9.52974	2.96688	95.6901	0.491695	123.3	22.0128	12.2316	15	12.8594	25.0604	323.835	393.7	-0.000579244	0	37.5063	-75.2473	0.0000040016	0.00000464454	0.00000478388	0.0000645236	0.000064012	0.0000636816	-21.6648	-14.1632	-31.7964	0.247033	0.2992	0.3	0.249033	0.161	0.0460333	-10.5625	-5.18023	291.888	20.8892	NaN	292.773	291.91	292.713	295.65	294.55	292.25	292.712	292.134	292.068	187
DATA	2024-07-14T033000_smart3-01133.ghg	2024-07-14	04:00:00	196.1666	0	18000	18000	-0.0151494	0	NaN	-19.9655	0	NaN	8.5727	0	NaN	2.53222	0	NaN	0.193572	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.90097e-12	1.31252e-13	NaN	NaN	13.5964	412.696	416.519	0.2	0	302.417	9.17938	9.26442	0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.65	291.075	79727.4	0.950934	1010.46	0.0303534	0.0125435	0.00544955	732.045	2048.01	0.00573074	35.7442	1315.96	275.664	-0.177846	1.42544	0.0467107	1.43725	3.11523e-14	4.34011e-16	1.43725	3.31483	120.242	97.1118	1.86244	NaN	0.126218	0.193543	7.4722	0.405503	-2.32897	0.164622	1	27.7069	12	27	57	113	265	1350	-0.0148757	1.01839	-18.7896	1.03759	8.21552	1.15027	2.97573	1.15027	0.185507	1.15027	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800101199	899999999	899999999	89999	89999	89	89	9	10	4	7	21	28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.202025	0.149331	0.0357287	0.165919	0.00907433	23.4289	NaN	NaN	-0.0195545	0.00297573	0.185507	NaN	NaN	12.217	412.695	9.17938	2.44834	95.7165	0.499827	123.4	22.0331	12.2315	15	12.858	25.0262	324.217	387.347	-0.000720268	0	36.4331	-68.6645	0.00000399638	0.00000474617	0.00000478869	0.0000645236	0.000064012	0.0000636816	-21.9543	-14.3105	-30.746	0.246433	0.298933	0.2993	0.248967	0.161	0.0463	-11.0338	-5.49916	291.793	20.8624	NaN	292.553	291.747	292.503	295.5	294.55	292.25	292.517	291.969	291.882	013
