DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_1	LOGGERPOWER_1_1_1	LOGGERTEMP_1_1_1	VIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	PTVOUT_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	SHFHEATER_1_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHF_1_1_1	SHF_2_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TC_1_1_1	TRN_1_1_1	TSENSOR_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	VERSION_1_1_1	WD_1_1_1	WS_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[OTHER]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[K]	[C]	[C]	[K]	[K]	[K]	[OTHER]	[Degrees_past_North]	[m/s]	040
DATA	2022-07-20T233000_smart3-00184.ghg	2022-07-21	00:00:00	202	0	18000	18000	-0.0291858	0	NaN	-35.5965	0	NaN	34.0716	0	NaN	9.93809	0	NaN	0.770543	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.31618e-11	-2.07516e-12	NaN	NaN	10.4151	281.256	286.295	0.2	0	651.743	17.6001	17.9154	0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.338	292.697	90113.4	1.06544	1015.19	0.0270047	0.0499312	0.0117444	1586.43	2266.63	0.0110231	69.9907	680.201	287.044	-1.08008	0.497761	-0.00975164	1.1893	4.26569e-14	-3.18402e-15	1.1893	2.86699	298.205	155.257	-0.4698	NaN	0.165509	0.1412	10.3284	0.250824	-1.04476	0.198842	1	10.788	5	10	21	41	92	426	-0.0287249	1.01604	-32.7922	1.03261	29.8212	1.23107	8.84786	1.23107	0.674419	1.23107	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	8	13	1	8	15	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.156778	0.0918644	0.0337567	0.226704	0.0223696	191.674	NaN	NaN	-0.0303175	0.00884786	0.674419	NaN	NaN	12.39	281.255	17.6003	13.8207	97.8669	0.733202	1	24.8333	11.8318	415.269	409.14	-12.5105	-0.000469041	0	66.4611	5.75973	0	60.1	60.4	-14.4383	-21.1625	0.325094	0.462703	0	-1.28668	-0.917895	293.044	290.561	19.918	20.0605	293.25	295.25	293.633	5	347.921	0.431495	018
DATA	2022-07-21T000000_smart3-00184.ghg	2022-07-21	00:30:00	202.0208	0	18000	18000	-0.00609843	0	NaN	-10.1298	0	NaN	18.4117	0	NaN	6.93444	0	NaN	0.415871	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.70205e-12	2.21999e-13	NaN	NaN	11.2509	302.516	308.105	0.2	0	674.675	18.1408	18.476	0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	295.128	291.408	90105.3	1.06983	1015.47	0.0268882	0.0269484	0.0121576	1635.02	2091.38	0.0113641	78.179	456.361	287.51	-1.04137	0.16771	-0.00785319	1.05482	2.25197e-14	3.29046e-16	1.05482	1.69385	284.024	170.851	-0.426574	NaN	0.0755007	0.0443152	3.44529	0.751926	-0.550184	0.1235	1	36.0122	16	35	76	151	356	1859	-0.00593259	1.02795	-8.79038	1.05704	13.5629	1.40334	5.10824	1.40334	0.30635	1.40334	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	1	10	2	0	1	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0434463	0.0363602	0.00882397	0.490745	0.225761	541.904	NaN	NaN	-0.00809139	0.00510824	0.30635	NaN	NaN	12.3733	302.489	18.1397	14.2803	97.5519	0.723202	1	23.8167	11.8137	407.098	401.029	-12.75	-0.000425823	0	75.8621	5.60973	0	60.1	60.4	-14.4822	-21.542	0.321205	0.462256	0	-1.63492	-1.17583	291.635	289.33	18.5293	18.8571	293.25	295.25	292.839	5	337.531	0.296582	141
DATA	2022-07-21T003000_smart3-00184.ghg	2022-07-21	01:00:00	202.0416	0	18000	18000	-0.00543883	1	NaN	-13.1908	0	NaN	20.3234	0	NaN	9.36535	0	NaN	0.458707	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.10373e-11	6.2339e-13	NaN	NaN	11.6713	312.996	318.629	0.2	0	659.197	17.6781	17.9962	0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.763	290.633	90102.1	1.07284	1015.2	0.0268176	0.0297242	0.0118787	1593.26	1991.78	0.0110722	79.9919	398.516	287.11	-0.717034	0.657697	-0.0142369	0.973091	-7.905e-14	9.45681e-16	0.973091	2.28195	317.449	137.472	-0.8383	NaN	0.0712009	0.112601	2.21875	1.16759	-0.649045	0.170099	1	36.2809	16	35	74	146	338	1681	-0.00524314	1.03732	-11.4709	1.07579	13.7809	1.53699	6.31631	1.53699	0.311041	1.53699	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	4	10	1	9	5	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.106278	0.10955	0.00937441	0.210288	0.228072	605.887	NaN	NaN	-0.010532	0.00631631	0.311041	NaN	NaN	12.3683	312.989	17.6778	13.8802	97.4215	0.750372	1	22.84	11.8268	402.223	396.83	-12.4297	-0.000408875	0	80.1699	5.10923	0	60.1	60.4	-16.4057	-24.1928	0.32	0.461061	0	-1.11093	-0.827881	290.61	288.56	17.4716	17.613	293.25	295.25	292.141	5	348.302	0.315216	140
DATA	2022-07-21T010000_smart3-00184.ghg	2022-07-21	01:30:00	202.0624	0	18000	18000	-0.0058606	0	NaN	-15.4366	0	NaN	19.7739	0	NaN	7.11434	0	NaN	0.44619	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.53559e-11	8.4808e-13	NaN	NaN	11.8422	317.273	322.932	0.1	0	654.023	17.5224	17.8349	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.388	290.366	90106.1	1.07394	1015.1	0.0267918	0.0289131	0.0117855	1579.3	1958.41	0.0109741	80.6422	379.105	286.975	-0.228481	0.966269	-0.0271538	0.993286	-7.15973e-14	1.29671e-15	0.993286	2.04707	351.936	103.304	-1.56651	NaN	0.0738723	0.0862377	2.11746	1.22345	-0.780658	0.191682	1	35.2708	15	34	72	141	324	1600	-0.00564076	1.03897	-13.5526	1.0791	13.3662	1.55922	4.84233	1.55922	0.301602	1.55922	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	2	11	0	5	5	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0683395	0.0932688	0.0108671	0.223983	0.180499	252.122	NaN	NaN	-0.0124318	0.00484233	0.301602	NaN	NaN	12.36	317.259	17.5221	13.7501	97.4148	0.899342	1	21.9767	11.8239	401.407	396.709	-13.1379	-0.00043239	0	79.8466	4.62456	0	60.1	60.4	-17.9884	-26.0956	0.320072	0.460892	0	-0.552437	-0.478726	290.278	288.105	17.1471	17.2783	293.25	295.25	291.714	5	41.2608	0.281386	001
DATA	2022-07-21T013000_smart3-00184.ghg	2022-07-21	02:00:00	202.0833	0	18000	18000	0.00885446	1	NaN	-12.3598	1	NaN	33.8487	1	NaN	11.5048	1	NaN	0.763042	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.50365e-11	1.30953e-12	NaN	NaN	12.164	324.82	330.434	0	0	636.239	16.9897	17.2833	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	293.655	289.358	90090.8	1.07771	1014.78	0.0267033	0.0494451	0.011465	1531.03	1836.97	0.0106383	83.345	305.948	286.498	0.164661	0.626016	-0.0279805	0.647914	9.53829e-14	2.05824e-15	0.647914	2.28977	25.2652	75.2633	-2.47512	NaN	0.090642	0.174488	4.88426	0.530398	-0.365147	0.124682	1	10.6342	5	10	21	41	91	428	0.0086682	1.02149	-10.2919	1.04266	26.2074	1.31168	8.94423	1.31168	0.590787	1.31168	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800101199	899999999	899999999	89999	89999	89	89	1	1	1	1	6	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.109747	0.230165	0.00906414	0.247613	0.362527	1455.87	NaN	NaN	-0.00941064	0.00894423	0.590787	NaN	NaN	12.35	324.809	16.989	13.2518	97.1499	0.255965	1	21.18	11.8235	397.051	392.484	-13.3351	-0.000440652	0	81.9934	4.55089	0	60.1	60.4	-19.2662	-27.2355	0.321128	0.460356	0	-0.334729	-0.318478	289.444	287.627	16.3023	16.4703	293.25	295.25	291.339	5	67.2496	0.260692	063
DATA	2022-07-21T020000_smart3-00184.ghg	2022-07-21	02:30:00	202.1041	0	18000	18000	0.0151451	1	NaN	17.6618	2	NaN	-29.702	2	NaN	-20.0264	2	NaN	-0.669566	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-7.92964e-11	-3.87166e-12	NaN	NaN	12.6134	336.846	342.479	0	1	615.854	16.4466	16.7216	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	293.453	289.361	90084.9	1.07785	1014.48	0.0267053	-0.0433879	0.0110977	1481.99	1837.32	0.0102961	80.6604	355.33	286	0.0782782	0.123291	-0.00979705	0.146369	-7.94877e-14	-6.28666e-15	0.146369	1.78434	37.4842	57.5882	-3.83789	NaN	0.118538	0.237032	-7.64353	-0.338927	-0.594633	-0.136262	1	0.41701	1	1	1	2	10	NaN	0.0143759	1.05351	15.3382	1.04364	-27.0061	1.1382	-18.0152	1.1382	-0.608792	1.1382	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800110099	899999999	899999999	89999	89999	89	89	0	2	3	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.224252	0.245625	0.0041876	0.694883	1.06102	1059.52	NaN	NaN	0.0140272	-0.0180152	-0.608792	NaN	NaN	12.34	336.803	16.4453	12.7609	97.3175	0.791263	1	20.4933	11.824	396.921	392.626	-13.167	-0.000434297	0	78.4688	4.08953	0	60.1	60.4	-20.3299	-28.2754	0.322139	0.459297	0	-0.663856	-0.458544	289.451	287.327	16.3299	16.3269	293.249	295.25	290.893	5	172.672	0.223505	248
DATA	2022-07-21T023000_smart3-00184.ghg	2022-07-21	03:00:00	202.1249	0	18000	18000	0.00895436	1	NaN	-14.9942	1	NaN	15.7789	1	NaN	21.7268	1	NaN	0.355357	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.2519e-11	5.60999e-13	NaN	NaN	14.2089	378.087	384.603	0	0	636.724	16.9427	17.2347	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	292.846	288.359	90097.2	1.08154	1014.74	0.0266092	0.0230272	0.0114738	1526.9	1723.12	0.0106087	88.6124	196.222	286.457	0.0973751	0.30115	-0.0190469	0.317074	2.94822e-15	8.81072e-16	0.317074	1.96141	81.987	72.0817	-3.44387	NaN	0.0909903	0.250682	4.07281	0.636071	-0.950267	0.150151	1	2.2803	1	2	4	8	16	66	0.00872513	1.02627	-13.5918	1.05014	12.3576	1.36361	16.3284	1.36361	0.278307	1.36361	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800100099	801110199	899999999	899999999	89999	89999	89	89	1	2	0	1	0	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.342968	0.153628	0.00476798	0.411585	1.45359	519.067	NaN	NaN	-0.0123845	0.0163284	0.278307	NaN	NaN	12.3066	378.07	16.9424	13.2271	96.6167	0.870668	1	19.8567	11.8263	390.889	386.784	-12.8255	-0.000353158	0	88.3138	4.03502	0	60.1	60.4	-21.6372	-29.7556	0.322397	0.45783	0	-0.387408	-0.316863	288.282	286.812	15.1497	15.3892	293.249	295.25	290.401	5	206.88	0.2438	240
DATA	2022-07-21T030000_smart3-00184.ghg	2022-07-21	03:30:00	202.1458	0	18000	18000	-0.0044317	0	NaN	-8.60943	0	NaN	6.74667	0	NaN	6.28977	0	NaN	0.151928	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.72444e-13	-3.14774e-14	NaN	NaN	13.1484	349.767	355.589	0	0	615.484	16.3727	16.6453	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	292.65	288.26	90092.7	1.0821	1014.42	0.0266014	0.00984491	0.011091	1475.46	1712.18	0.0102496	86.1744	236.72	285.932	0.582188	0.825781	-0.0361131	1.01102	3.79375e-15	-5.11425e-17	1.01102	1.77767	40.2449	54.8156	-2.04701	NaN	0.0639959	0.0577027	2.46748	1.0499	-1.2761	0.122558	1	46.6312	20	45	98	194	459	2386	-0.00427877	1.03574	-7.76723	1.07266	4.87616	1.51346	4.35716	1.51346	0.109806	1.51346	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	6	3	0	4	6	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.0331319	0.0751712	0.00710229	0.111769	0.213372	130.32	NaN	NaN	-0.00707594	0.00435716	0.109806	NaN	NaN	12.3	349.768	16.3727	12.7098	96.9433	0.475501	1	19.05	11.8234	391.114	387.524	-10.2522	-0.000374131	0	84.7566	3.59206	0	60.1	60.4	-22.4102	-30.7592	0.321414	0.456947	0	-0.1697	-0.172358	288.269	286.627	15.1152	15.089	293.249	295.25	290.127	5	86.1815	0.282543	037
DATA	2022-07-21T033000_smart3-00184.ghg	2022-07-21	04:00:00	202.1666	0	18000	18000	-0.00957862	0	NaN	-8.41568	0	NaN	8.4671	1	NaN	3.58322	1	NaN	0.19066	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.79696e-11	1.31083e-12	NaN	NaN	12.7693	339.627	345.121	-0.1	0	598.448	15.9171	16.1745	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	292.61	288.205	90089.8	1.08245	1014.16	0.0265972	0.0123548	0.010784	1434.35	1706.19	0.00996258	84.0675	271.839	285.502	0.887547	0.73698	-0.0407361	1.15436	1.57638e-14	2.19038e-15	1.15436	2.41834	57.1539	39.7047	-2.02233	NaN	0.094069	0.120628	8.01636	0.323164	-0.993927	0.0814944	1	25.9416	11	25	54	106	248	1264	-0.00940961	1.01796	-7.71695	1.03661	7.17668	1.25953	3.06314	1.25953	0.161603	1.25953	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	12	3	0	2	3	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.109469	0.117763	0.0140242	0.19408	0.0989208	303.61	NaN	NaN	-0.0070296	0.00306314	0.161603	NaN	NaN	12.3	339.624	15.9169	12.2759	97.0917	0.968038	1	18.56	11.828	390.94	387.586	-12.5012	-0.000391079	0	82.1127	3.40029	0	60.1	60.4	-23.3708	-31.63	0.319725	0.456236	0	-0.0946439	-0.140469	288.205	286.393	15.0548	15.0415	293.246	295.25	289.884	5	101.936	0.351295	171
