DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	TA_0_0_1	ALB_1_1_2	LOGGERPOWER_1_1_1	LOGGERTEMP_1_1_1	VIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	LWIN_1_1_2	LWOUT_1_1_2	PPFD_1_1_1	PTVOUT_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_2	SHFHEATER_1_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHF_1_1_1	SHF_2_1_1	SWC_2_1_1	SWIN_1_1_1	SWOUT_1_1_1	SWIN_1_1_2	SWOUT_1_1_2	TA_1_1_1	TC_1_1_2	TS_2_1_1	VERSION_1_1_1	WD_1_1_1	WS_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[K]	[%]	[OTHER]	[C]	[V]	[W/m^2]	[W/m^2]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[OTHER]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[m^3/m^3]	[W/m^2]	[W/m^2]	[W/m^2]	[W/m^2]	[K]	[K]	[K]	[OTHER]	[Degrees_past_North]	[m/s]	076
DATA	2023-08-05T233000_smart3-00184.ghg	2023-08-06	00:00:00	218	0	18000	18000	-0.376647	0	NaN	-45.3556	0	NaN	36.9133	0	NaN	8.01459	0	NaN	0.830606	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.49546e-11	2.5837e-12	NaN	NaN	15.3228	404.767	411.391	0	0	609.493	16.1004	16.3639	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	292.697	287.458	90472.4	1.0898	1014.25	0.0264161	0.0538233	0.0109831	1457.03	1625.85	0.010078	89.6166	168.819	285.741	5.44908	3.20653	0.602726	6.35119	-1.17204e-14	4.23909e-15	6.35119	11.0425	359.513	30.4749	5.44555	NaN	0.587887	1.52533	364.166	0.0165721	-1.22871	0.0697984	0	60.2781	-9.14743	20.6915	51.5248	78.5785	110.208	165.111	-0.373329	1.00889	-42.4746	1.01886	36.8081	1.09175	9.03647	1.09175	0.82824	1.09175	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	0	12	1	3	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.73643	0.833032	0.481186	0.0366234	0.00187992	11.351	NaN	NaN	-0.0384271	0.00903647	0.82824	NaN	NaN	12.18	404.767	16.1004	12.5203	96.2844	15.1125	-0.26525	1	18.71	11.81	4135.27	-11092.3	296.609	392.494	-7.48297	-0.155553	0	85.7833	-1.05364	0	60.1	60.4	-34.8642	-29.673	0.363672	4105.13	1407.86	-0.841472	0.212611	288.254	287.002	294.631	5	245.312	6.32033	013
DATA	2023-08-06T000000_smart3-00184.ghg	2023-08-06	00:30:00	218.0208	0	18000	18000	-0.3497	0	NaN	-44.2526	0	NaN	33.4778	0	NaN	8.81975	0	NaN	0.752981	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.77159e-10	-6.99035e-12	NaN	NaN	15.3996	406.17	412.785	0	0	607.639	16.0267	16.2877	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	292.381	287.013	90472.1	1.09152	1014.2	0.0263753	0.0487932	0.0109496	1450.35	1579.63	0.0100316	91.8158	129.28	285.671	5.21508	2.5823	0.54973	5.8453	-1.62616e-15	-1.15041e-14	5.8453	10.3234	3.56016	26.3428	5.39644	NaN	0.566021	1.3494	333.119	0.0181167	-1.32185	0.070624	0	62.043	-9.41526	21.2974	53.0334	80.8793	113.434	169.945	-0.34676	1.00848	-41.6282	1.01769	33.7391	1.08787	9.79772	1.08787	0.758858	1.08787	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	0	12	0	1	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.51934	0.764443	0.415009	0.0263286	0.00165619	16.3969	NaN	NaN	-0.037604	0.00979772	0.758858	NaN	NaN	12.1655	406.17	16.0267	12.4501	96.2458	14.6663	-0.256353	1	18.14	11.7892	1056.38	-11094.8	294.479	390.239	-6.60667	-0.100718	0	88.1629	-1.0875	0	60.1	60.4	-34.9062	-30.2756	0.362942	4395.28	-355.77	-0.874417	0.206222	287.81	286.587	294.637	5	249.477	5.74081	009
DATA	2023-08-06T003000_smart3-00184.ghg	2023-08-06	01:00:00	218.0416	0	18000	18000	-0.403093	0	NaN	-56.1211	0	NaN	39.9552	0	NaN	9.51564	0	NaN	0.898591	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.06246e-10	-4.10739e-12	NaN	NaN	15.3859	405.644	412.106	0	0	594.807	15.6819	15.9317	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	292.297	286.922	90479.9	1.0921	1014	0.0263646	0.0582287	0.0107184	1419.28	1570.32	0.0098145	90.3814	151.042	285.341	5.02193	3.23384	0.521466	5.99578	9.65542e-14	-6.90542e-15	5.99578	11.4848	356.898	32.7792	4.98944	NaN	0.607535	1.95061	324.808	0.0185802	-1.4046	0.0834168	0	62.8115	-9.53189	21.5612	53.6903	81.8811	114.839	172.05	-0.399643	1.00863	-52.9133	1.01811	40.3894	1.08939	10.8947	1.08939	0.908357	1.08939	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	4	7	1	7	7	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.84599	1.5916	0.463626	0.0314679	0.00168842	16.3333	NaN	NaN	-0.0477818	0.0108947	0.908357	NaN	NaN	12.15	405.644	15.6819	12.1207	96.2472	14.5608	-0.2798	1	17.8267	11.8169	8750.56	-11095.3	293.789	389.53	-8.38046	-0.0932841	0	86.9406	-1.05892	0	60.1	60.4	-35.6079	-31.4267	0.362575	3995.93	1571.96	-0.847139	0.216806	287.71	286.46	294.63	5	243.646	5.98465	197
DATA	2023-08-06T010000_smart3-00184.ghg	2023-08-06	01:30:00	218.0624	0	18000	18000	-0.263015	0	NaN	-45.3601	0	NaN	27.4719	0	NaN	7.07848	0	NaN	0.617711	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.72513e-10	6.48089e-12	NaN	NaN	15.4533	407.068	413.389	0	0	580.543	15.2925	15.53	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	292.106	286.701	90488.7	1.09321	1013.78	0.0263418	0.0400277	0.0104614	1384.17	1547.91	0.00956942	89.4221	163.737	284.961	3.84941	3.38175	0.542287	5.1525	-2.72611e-13	1.11635e-14	5.1525	9.99283	347.998	41.2997	6.04142	NaN	0.4905	1.55793	211.485	0.0285363	-1.65114	0.0834426	0	58.9908	-8.95208	20.2496	50.4244	76.9004	107.854	161.585	-0.260881	1.00818	-43.0945	1.01665	28.3171	1.08547	8.32176	1.08547	0.636717	1.08547	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	4	8	4	11	0	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.38914	1.37318	0.353541	0.0308852	0.00166041	33.1709	NaN	NaN	-0.0388844	0.00832176	0.636717	NaN	NaN	12.1337	407.068	15.2926	11.7405	96.2411	14.3682	-0.291547	1	17.5	11.8159	8148.51	-11096.4	293.262	388.096	-7.23014	-0.084928	0	85.941	-1.03611	0	60.1	60.4	-36.2013	-32.3088	0.362133	4662.83	957.238	-0.817972	0.211417	287.512	286.189	294.622	5	236.068	5.19156	245
DATA	2023-08-06T013000_smart3-00184.ghg	2023-08-06	02:00:00	218.0833	0	18000	18000	-0.129951	0	NaN	-25.8473	0	NaN	15.4453	0	NaN	4.50249	0	NaN	0.347183	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.57505e-13	-2.45227e-14	NaN	NaN	15.5468	409.038	415.375	0	0	579.84	15.2557	15.492	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	291.863	286.376	90494.9	1.09454	1013.75	0.0263101	0.0224974	0.0104487	1380.93	1515.44	0.00954621	91.1243	134.505	284.925	2.50231	3.78495	0.434291	4.55808	-2.52354e-14	-4.22921e-17	4.55808	8.47364	333.366	56.5304	5.4674	NaN	0.344567	0.750686	128.664	0.046905	-1.67347	0.0676048	0	55.7037	-8.45326	19.1213	47.6147	72.6154	101.844	152.581	-0.128903	1.00813	-24.5805	1.01621	15.9368	1.08603	5.17945	1.08603	0.35823	1.08603	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	7	6	3	13	0	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.865157	0.434861	0.201353	0.0271534	0.00226059	13.6293	NaN	NaN	-0.0221527	0.00517945	0.35823	NaN	NaN	12.1285	409.037	15.2556	11.7055	96.2201	14.0601	-0.376525	1	17.13	11.8146	6046.33	-11098	293.925	386.38	-8.81198	-0.0393569	0	87.16	-0.994778	0	60.1	60.4	-36.3898	-32.9814	0.361644	4703.27	1819.37	-0.735361	0.25925	287.2	285.901	294.597	5	219.746	4.39639	103
DATA	2023-08-06T020000_smart3-00184.ghg	2023-08-06	02:30:00	218.1041	0	18000	18000	-0.147394	0	NaN	-24.4637	0	NaN	17.8	0	NaN	4.86764	0	NaN	0.400026	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.59068e-10	5.98607e-12	NaN	NaN	15.613	410.563	417.006	0	0	587.553	15.4504	15.6929	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	291.739	286.15	90471.3	1.09504	1013.86	0.0262962	0.0259217	0.0105877	1398.19	1493.21	0.00966878	93.6368	95.0155	285.114	2.70974	4.00146	0.464172	4.85488	2.8975e-14	1.01881e-14	4.85488	8.55184	333.883	55.8946	5.4864	NaN	0.366881	0.881882	164.074	0.0367823	-1.37436	0.0600607	0	55.6219	-8.44083	19.0932	47.5447	72.5087	101.695	152.357	-0.146205	1.00813	-23.0836	1.01638	18.0002	1.08545	5.44076	1.08545	0.404523	1.08545	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	8	7	3	18	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.915454	0.619192	0.229118	0.0219361	0.00126179	7.57824	NaN	NaN	-0.020792	0.00544076	0.404523	NaN	NaN	12.12	410.563	15.4504	11.8938	96.1878	13.7939	-0.389097	1	16.79	11.8149	6938.8	-11099.5	293.929	385.538	-8.51547	-0.0408201	0	90.1067	-0.989139	0	60.1	60.4	-36.6623	-33.7652	0.361439	4821.79	2166.28	-0.718556	0.269556	286.945	285.78	294.582	5	219.707	4.64851	134
DATA	2023-08-06T023000_smart3-00184.ghg	2023-08-06	03:00:00	218.1249	0	18000	18000	-0.34413	0	NaN	-48.22	0	NaN	27.1655	0	NaN	6.38647	0	NaN	0.610806	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.06993e-11	1.94552e-12	NaN	NaN	15.5339	409.373	415.906	0	0	596.092	15.7091	15.9598	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	292.149	286.673	90439.6	1.09255	1014.01	0.0263535	0.0395802	0.0107416	1421.11	1545.06	0.00983164	91.9776	123.951	285.36	4.16106	4.41431	0.646177	6.10066	1.96669e-14	3.26378e-15	6.10066	11.1363	343.258	46.6916	6.08013	NaN	0.561229	1.51751	297.916	0.0202574	-1.77504	0.0775535	0	61.9629	-9.40311	21.2699	52.965	80.7749	113.288	169.726	-0.341131	1.00879	-45.8469	1.01852	28.1973	1.09102	7.78617	1.09102	0.634005	1.09102	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	4	1	1	13	0	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.76235	0.863333	0.40933	0.0411477	0.00142407	9.51378	NaN	NaN	-0.0413832	0.00778617	0.634005	NaN	NaN	12.1297	409.373	15.7091	12.1405	96.2056	14.2644	-0.345072	1	16.6	11.8104	11704	-11096.9	295.454	388.092	-7.6683	-0.0474773	0	88.8224	-0.976667	0	60.1	60.4	-35.9009	-33.2932	0.361153	4945.69	2232.7	-0.762167	0.221139	287.43	286.273	294.56	5	229.784	6.02325	089
DATA	2023-08-06T030000_smart3-00184.ghg	2023-08-06	03:30:00	218.1458	0	18000	18000	-0.234933	0	NaN	-36.5674	0	NaN	22.569	0	NaN	4.41028	0	NaN	0.507468	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.34496e-10	8.97008e-12	NaN	NaN	15.6218	411.813	418.404	0	0	597.573	15.7529	16.005	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	292.134	286.701	90420.8	1.0922	1014.04	0.0263615	0.0328839	0.0107683	1424.77	1547.84	0.00985922	92.0492	123.066	285.4	3.55152	4.31636	0.572714	5.61892	-1.81331e-15	1.50109e-14	5.61892	10.0084	339.374	50.5523	5.85009	NaN	0.463789	1.11178	221.67	0.0272251	-1.62025	0.0711895	0	59.2143	-8.986	20.3264	50.6155	77.1919	108.263	162.197	-0.232938	1.00856	-34.6827	1.01777	23.2041	1.0892	5.50888	1.0892	0.521748	1.0892	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	8	8	2	9	3	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.16323	0.747217	0.31311	0.0250858	0.00143378	11.1209	NaN	NaN	-0.0313152	0.00550888	0.521748	NaN	NaN	12.14	411.813	15.7529	12.1795	96.2061	14.3265	-0.327583	1	16.6	11.8156	9288.13	-11096.6	297.09	388.006	-10.051	-0.00668417	0	88.7524	-0.966583	0	60.1	60.4	-35.9495	-33.538	0.36108	4972.03	417.738	-0.744083	0.227722	287.475	286.257	294.55	5	225.85	5.4959	185
DATA	2023-08-06T033000_smart3-00184.ghg	2023-08-06	04:00:00	218.1666	0	18000	18000	-0.258011	0	NaN	-39.5816	0	NaN	20.5975	0	NaN	5.64962	0	NaN	0.463113	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.61913e-11	-6.08903e-13	NaN	NaN	15.6635	412.966	419.48	0	0	589.054	15.5303	15.7753	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	292.074	286.642	90390.8	1.09216	1013.91	0.0263648	0.0300097	0.0106148	1404.18	1541.92	0.00971909	91.0668	137.743	285.178	4.13347	4.21441	0.562713	5.92988	-4.15592e-14	-1.0337e-15	5.92988	10.7374	344.54	45.5555	5.44525	NaN	0.486046	1.24868	235.645	0.0256106	-1.92167	0.0735414	0	56.1728	-8.52444	19.2823	48.0157	73.227	102.702	153.866	-0.255758	1.00881	-37.7303	1.01848	21.5709	1.0915	6.79029	1.0915	0.484999	1.0915	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	6	6	3	9	3	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.38728	0.717737	0.39234	0.0277722	0.00113452	19.8238	NaN	NaN	-0.0340727	0.00679029	0.484999	NaN	NaN	12.0991	412.965	15.5303	11.9583	96.2084	14.2733	-0.298395	1	16.6	11.8117	10872.9	-11096.9	295.824	387.822	-8.54195	0.0374016	0	87.7601	-0.96375	0	60.1	60.4	-35.6011	-33.5215	0.360722	4802.53	1372.1	-0.764722	0.198	287.419	286.189	294.569	5	230.758	5.86355	225
