DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_1	CHK__1_1_1	DAQM_T_1_1_1	VIN_1_1_1	DRM_POWER_STATUS_1_1_1	DRM_V_BATTERY_1_1_1	DRM_V_MAIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	Relay_1_1_1	Relay_2_1_1	Relay_3_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHFSENS_3_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWC_4_1_1	SWC_5_1_1	SWC_6_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TCNR4_C_1_1_1	TSENSOR_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	TS_4_1_1	TS_5_1_1	TS_6_1_1	TS_7_1_1	TS_8_1_1	TS_9_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[OTHER]	[V]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[W/m^2]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[C]	[C]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	079
DATA	2024-06-25T233000_smart3-01132.ghg	2024-06-26	00:00:00	178	0	18000	18000	-0.0921958	0	NaN	NaN	0	NaN	-303.242	0	NaN	-13.5372	0	NaN	-6.9063	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.61907e-11	1.44854e-12	NaN	NaN	13.3379	437.116	442.098	0	0	343.838	11.2684	11.3968	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	301.921	299.947	76093.1	0.880044	1011.84	0.0327724	-0.447528	0.00619597	857.679	3512.86	0.00704052	24.4154	2655.18	277.912	1.99107	2.68836	0.043582	3.34568	6.33438e-14	4.21285e-15	3.34568	9.10884	125.773	53.4754	0.746377	NaN	0.323671	1.07914	NaN	0	NaN	0.0709798	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0921958	NaN	-20.4577	NaN	265.363	NaN	-10.5178	NaN	6.04362	NaN	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	5	9	7	0	6	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.25811	0.773681	0.126498	0.0755426	0.0072147	2464.28	NaN	NaN	-0.0229741	-0.0105178	6.04362	NaN	NaN	12.1678	437.117	11.2681	4.55971	92.8858	0.269832	126.1	35.4719	12.2187	15	13.0327	26.357	294.791	439.398	1060.7	0	26.6603	299.598	-0.00000876143	-0.00000731945	-0.00000826958	0.00006	0.00006	0.00006	-35.2432	-33.8577	-34.4105	NaN	NaN	NaN	NaN	NaN	NaN	608.209	164.005	300.12	30.4085	NaN	NaN	NaN	NaN	NaN	NaN	NaN	614.269	673.95	847.374	044
DATA	2024-06-26T000000_smart3-01132.ghg	2024-06-26	00:30:00	178.0208	0	18000	18000	-0.0559572	1	NaN	NaN	0	NaN	-361.206	0	NaN	-6.59786	0	NaN	-8.22067	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.21138e-11	-5.51136e-13	NaN	NaN	13.3951	437.936	442.769	0	0	333.843	10.9146	11.035	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	301.437	299.227	76093.3	0.882283	1011.63	0.0326937	-0.532699	0.00601585	830.748	3366.91	0.00681851	24.6739	2536.17	277.456	1.79335	2.30376	0.0359223	2.91971	-7.47475e-14	-1.65088e-15	2.91971	7.36142	126.291	52.1012	0.704951	NaN	0.25184	1.12872	NaN	0	NaN	0.183356	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0559572	NaN	-41.2144	NaN	191.92	NaN	-2.99706	NaN	4.36791	NaN	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800010099	899999999	899999999	89999	89999	89	89	9	9	2	0	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.15312	1.01094	0.0933844	0.311062	0.0117521	2495.88	NaN	NaN	-0.0461764	-0.00299706	4.36791	NaN	NaN	12.1615	437.932	10.9152	4.0994	92.9093	0.209953	110.833	35.593	12.2188	15	13.0321	26.2245	290.499	427.84	664.402	0	26.6704	136.04	-0.00000338	0.00000114901	-0.0000035644	0.00006	0.00006	0.00006	-35.2272	-33.5939	-34.3782	NaN	NaN	NaN	NaN	NaN	NaN	373.897	100.516	299.437	29.56	NaN	NaN	NaN	NaN	NaN	NaN	NaN	614.174	674.528	845.037	030
DATA	2024-06-26T003000_smart3-01132.ghg	2024-06-26	01:00:00	178.0416	0	18000	18000	-0.0432589	1	NaN	NaN	0	NaN	-465.337	0	NaN	-6.53652	0	NaN	-10.5872	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.08313e-12	-2.13358e-13	NaN	NaN	13.373	436.73	441.823	0	0	352.987	11.5277	11.6622	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	300.982	298.898	76093.6	0.88305	1011.96	0.0326577	-0.686051	0.00636082	877.421	3302.04	0.00720324	26.5721	2424.62	278.238	0.92139	2.15312	0.0373978	2.34228	1.45256e-13	-6.04438e-16	2.34228	5.79493	111.441	66.8324	0.914845	NaN	0.221333	0.749664	NaN	0	NaN	0.128963	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0432589	NaN	-25.5068	NaN	120.835	NaN	-1.91191	NaN	2.7492	NaN	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	3	5	3	0	14	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.763828	0.66356	0.0719409	0.308269	0.00418713	2221.59	NaN	NaN	-0.0285437	-0.00191191	2.7492	NaN	NaN	12.18	436.729	11.5276	4.90668	92.9121	0.297665	110	34.9203	12.2187	15	13.0309	25.9693	286.693	426.085	591.802	0	28.2427	97.3043	-0.00000840798	-0.00000681592	-0.00000809242	0.00006	0.00006	0.00006	-35.5969	-34.4952	-34.6893	NaN	NaN	NaN	NaN	NaN	NaN	337.075	100.379	299.302	29.0025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	614.762	674.066	862.212	105
DATA	2024-06-26T010000_smart3-01132.ghg	2024-06-26	01:30:00	178.0624	0	18000	18000	-0.0406339	0	NaN	NaN	0	NaN	-450.342	0	NaN	-4.59111	0	NaN	-10.2389	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.87219e-11	-4.8149e-13	NaN	NaN	13.4402	437.821	442.807	0.1	0	345.654	11.2599	11.3881	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	300.441	298.18	76102.1	0.885366	1011.79	0.0325755	-0.66348	0.00622868	857.129	3164.12	0.00703515	27.089	2306.99	277.902	1.38245	1.96848	0.0317931	2.40564	-9.68725e-14	-1.39298e-15	2.40564	6.09946	123.201	54.9199	0.757246	NaN	0.214231	0.523541	NaN	0	NaN	0.214359	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0406339	NaN	-41.1375	NaN	123.841	NaN	-0.107465	NaN	2.81562	NaN	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	5	8	2	6	24	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.605026	0.382277	0.0597802	0.274394	0.000945336	1635.91	NaN	NaN	-0.0459225	-0.000107465	2.81562	NaN	NaN	12.18	437.822	11.2594	4.59819	92.9191	0.303291	104.433	34.2893	12.2185	15	13.0309	25.9061	294.431	417.873	423.324	0	29.2991	45.8976	-0.00000800338	-0.00000664889	-0.00000757816	0.00006	0.00006	0.00006	-35.965	-34.6957	-35.012	NaN	NaN	NaN	NaN	NaN	NaN	242.929	73.5885	298.403	28.155	NaN	NaN	NaN	NaN	NaN	NaN	NaN	615.255	673.734	881.36	238
DATA	2024-06-26T013000_smart3-01132.ghg	2024-06-26	02:00:00	178.0833	0	18000	18000	-0.0412613	0	NaN	NaN	0	NaN	-504.707	0	NaN	-2.35351	0	NaN	-11.4594	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.91174e-11	5.08305e-13	NaN	NaN	13.5987	440.786	446.013	0	0	361.571	11.7199	11.8589	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	299.139	296.786	76124.3	0.88963	1012	0.0324138	-0.74257	0.00651552	892.408	2910.64	0.00732385	30.6602	2018.23	278.481	1.61576	2.40802	0.0394889	2.90014	-4.0157e-14	1.40582e-15	2.90014	5.76245	123.46	56.1388	0.780177	NaN	0.215361	0.358318	NaN	0	NaN	0.246516	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0412613	NaN	-47.7973	NaN	97.1371	NaN	2.69858	NaN	2.20551	NaN	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	8	6	2	4	4	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.422379	0.214282	0.0799758	0.56907	0.00632907	566.347	NaN	NaN	-0.05309	0.00269858	2.20551	NaN	NaN	12.18	440.78	11.7197	5.23726	92.932	0.290835	105.033	33.5021	12.2183	15	13.0303	25.8654	303.501	409.202	250.604	0	32.2138	-2.78847	-0.00000717994	-0.00000601874	-0.0000070653	0.00006	0.00006	0.00006	-36.4216	-34.8749	-35.4226	NaN	NaN	NaN	NaN	NaN	NaN	145.286	42.373	297.043	26.9141	NaN	NaN	NaN	NaN	NaN	NaN	NaN	615.876	673.736	908.147	180
DATA	2024-06-26T020000_smart3-01132.ghg	2024-06-26	02:30:00	178.1041	0	18000	18000	-0.00588466	0	NaN	NaN	0	NaN	-626.362	0	NaN	-4.8621	1	NaN	-14.1914	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.69773e-11	-7.43364e-13	NaN	NaN	14.0803	452.986	458.711	0	0	387.987	12.4821	12.6399	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.843	294.595	76131.5	0.896069	1012.36	0.0321715	-0.919606	0.00699152	950.536	2548.15	0.00780243	37.303	1597.61	279.392	0.751478	1.42722	0.024384	1.61316	-3.59103e-14	-1.91595e-15	1.61316	2.94988	117.659	62.2318	0.866098	NaN	0.0810382	0.0831318	NaN	0	NaN	0.126039	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.00588466	NaN	-9.26562	NaN	22.1774	NaN	1.56763	NaN	0.502473	NaN	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	12	9	4	7	34	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.11682	0.0348863	0.0145577	0.248662	0.0530512	844.557	NaN	NaN	-0.010214	0.00156763	0.502473	NaN	NaN	12.18	452.968	12.4811	6.13998	92.9453	0.0190234	147.867	32.0206	12.2182	15	13.0288	25.7721	316.849	399.719	69.9047	0	39.6376	-54.5964	-0.00000631924	-0.00000550804	-0.00000621624	0.00006	0.00006	0.00006	-37.2791	-36.0202	-36.1925	NaN	NaN	NaN	NaN	NaN	NaN	35.1025	6.82933	294.847	24.6885	NaN	NaN	NaN	NaN	NaN	NaN	NaN	617.199	673.63	985.976	071
DATA	2024-06-26T023000_smart3-01132.ghg	2024-06-26	03:00:00	178.1249	0	18000	18000	-0.0399809	1	NaN	NaN	1	NaN	-561.754	1	NaN	28.9255	1	NaN	-12.7032	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.86762e-11	1.32654e-12	NaN	NaN	14.8428	474.084	480.289	-0.2	0	404.501	12.9199	13.089	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.55	292.605	76164.3	0.902404	1012.56	0.0319404	-0.823165	0.00728911	984.3	2253.66	0.00807743	43.6757	1269.36	279.899	0.14418	-0.0303152	0.00361541	0.147377	-7.12973e-14	3.27946e-15	0.147377	2.39235	166.287	348.126	1.40571	NaN	0.210487	0.846777	NaN	0	NaN	0.335192	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0399809	NaN	-64.4673	NaN	114.478	NaN	34.949	NaN	2.58875	NaN	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	810000199	899999999	899999999	89999	89999	89	89	15	1	2	8	33	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.819736	0.857716	0.0161028	3.54002	0.879207	4967.31	NaN	NaN	-0.0705536	0.034949	2.58875	NaN	NaN	12.1807	473.969	12.9111	6.49566	92.9489	0.786302	135.433	29.9557	12.218	15	13.0263	25.6941	289.178	388.296	6.01658	0	45.3117	-102.127	-0.00000472541	-0.00000420155	-0.00000505817	0.00006	0.00006	0.00006	-38.4543	-37.1654	-37.2912	NaN	NaN	NaN	NaN	NaN	NaN	-10.6822	-7.67173	293.094	22.9764	NaN	NaN	NaN	NaN	NaN	NaN	NaN	619.116	673.339	1116.93	025
DATA	2024-06-26T030000_smart3-01132.ghg	2024-06-26	03:30:00	178.1458	0	18000	18000	-0.0072938	2	NaN	NaN	2	NaN	-631.848	2	NaN	-2.04979	1	NaN	-14.2695	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.36823e-10	3.46675e-12	NaN	NaN	14.9536	475.147	480.937	0.1	0	378.885	12.039	12.1857	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.263	291.248	76206.2	0.90741	1012.04	0.0317748	-0.924666	0.00682752	917.693	2070.41	0.00752418	44.3241	1152.72	278.884	-1.04484	-0.136833	0.016386	1.05389	1.81508e-13	9.14986e-15	1.05389	3.10977	345.576	187.461	0.890877	NaN	0.0896552	0.577885	NaN	0	NaN	0.0882648	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0072938	NaN	-7.26714	NaN	2.95724	NaN	4.73161	NaN	0.0667858	NaN	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800101099	899999999	899999999	89999	89999	89	89	1	1	4	5	10	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.438128	0.704881	0.012761	3.1905	0.899661	3870.42	NaN	NaN	-0.0079134	0.00473161	0.0667858	NaN	NaN	12.19	475.074	12.0334	5.50062	92.9521	0.670611	109.867	27.3854	12.2177	15	13.0243	25.6507	278.606	379.311	0.0632618	0	50.5601	-104.54	-0.00000299577	-0.00000299951	-0.00000352606	0.00006	0.00006	0.00006	-39.9076	-38.2984	-38.6662	NaN	NaN	NaN	NaN	NaN	NaN	-10.8623	-7.02666	290.9	20.7616	NaN	NaN	NaN	NaN	NaN	NaN	NaN	621.752	675.402	NaN	169
DATA	2024-06-26T033000_smart3-01132.ghg	2024-06-26	04:00:00	178.1666	0	18000	18000	-0.0479071	1	NaN	NaN	1	NaN	-637.692	1	NaN	9.03422	1	NaN	-14.3829	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.67721e-11	1.24085e-12	NaN	NaN	15.4677	489.054	495.483	0.1	0	410.354	12.9745	13.1451	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	293.774	289.908	76232.2	0.91159	1012.53	0.0316178	-0.932014	0.00739458	989.34	1902.4	0.00811174	52.0049	913.056	279.973	-1.46495	1.19873	0.0585021	1.89379	-6.221e-14	3.02386e-15	1.89379	4.96618	38.0091	140.707	1.77024	NaN	0.229245	0.572308	NaN	0	NaN	0.162652	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0479071	NaN	-34.4165	NaN	50.4333	NaN	16.0696	NaN	1.13751	NaN	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	5	4	2	15	6	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.938921	0.165934	0.0397605	1.27475	0.206193	780.541	NaN	NaN	-0.0372873	0.0160696	1.13751	NaN	NaN	12.1819	489.05	12.9731	6.72618	92.9771	0.766831	101.767	25.1414	12.2176	15	13.0223	25.6097	274.958	375.549	0.00000810181	0	53.2313	-104.092	-0.00000138923	-0.00000172347	-0.00000212484	0.00006	0.00006	0.00006	-41.1373	-39.9004	-39.865	NaN	NaN	NaN	NaN	NaN	NaN	-14.0274	-10.5271	290.066	20.3854	NaN	NaN	NaN	NaN	NaN	NaN	NaN	624.091	677.874	NaN	178
