DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	200
DATA	2022-06-28T233000_AIU-1671.ghg	2022-06-29	00:00:00	180	0	18000	18000	7.491545852200712e-8	1	NaN	0.0000699557008589097	1	NaN	-0.0006440329214583831	1	NaN	0.00007681805466178845	1	NaN	-0.000014607192505768126	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.9172563872037706e-15	4.893189980202428e-16	NaN	NaN	10.68242944002152	279.14099093257005	285.73669751733615	0	0	883.3681233277395	23.083162373170158	23.628584833530777	0.4	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	288.134522090488	295.68241716681587	94076.67012934027	1.0987696832964746	1018.3785688676871	0.02613085277088502	-9.465460743737745e-7	0.01591829385510759	2172.1695573613215	2722.822613289919	0.014487379927839206	79.77638891197334	550.6530559285975	291.97776432190767	0.0028829044022907835	0.03700630207339095	-0.0019259497348102742	0.03716835768931448	-1.0667878024548427e-17	5.539242192450044e-19	0.03716835768931448	0.03956899681892161	132.45452011754844	85.54547988245156	-2.970220879720215	NaN	0.0002611153402703963	7.149093250228587e-7	-0.021303294443088597	-171.02988505996342	-0.10862131193619452	0.00023942792716422672	1	31.967338716947165	14	25	39	57	88	181	6.398657836671396e-8	1.170799571320388	0.000030431625553245353	1.1216846735050634	-0.000525806455249376	1.2122308925435314	0.00006487016970530961	1.2122308925435314	-0.00001192571972130077	1.2122308925435314	NaN	NaN	NaN	NaN	800000099	811110099	800000099	800000199	800000099	800000099	899999999	899999999	89999	89999	89	89	16	38	3	24	5	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	7.201637944359326e-7	6.847309774523865e-7	2.492387815739835e-8	0.000002187325575164038	0.002639588745059973	44.44223172557568	NaN	NaN	2.719626298692517e-8	6.487016970530961e-8	-0.00001192571972130077	NaN	NaN	24.90999984741211	279.12224765099415	23.08170646429062	18.754804249180694	86.4444914487203	157
DATA	2022-06-29T000000_AIU-1671.ghg	2022-06-29	00:30:00	180.02	0	18000	18000	1.2521684852966596e-7	1	NaN	0.00014186638284856615	1	NaN	-0.0006302484146787646	1	NaN	-0.00021619626227039858	1	NaN	-0.000014281887787228893	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.0957785267612345e-14	-8.945955173695275e-16	NaN	NaN	10.772098493255486	280.55400902386936	287.13058539036	0.1	0	879.4360164377622	22.904478662729943	23.441391514498473	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	288.1345830603706	294.76721841939286	94096.40689496527	1.1024875363956126	1018.2589304055332	0.026044508337862572	-9.254663286124323e-7	0.015847437287736157	2155.8072613681798	2575.1331873705876	0.014374255276886433	83.71634026313907	419.32592600240787	291.8568133649237	0.002887679386508859	0.03701416748886307	-0.0019207073917948743	0.03717628819580797	2.6417731452438e-18	-1.0172377531149682e-18	0.03717628819580797	0.040391090377172055	132.46092410843067	85.53907589156933	-2.961496410537299	NaN	0.0003370113600219437	8.615769167255561e-7	-0.022587619914953116	-161.3051757431063	-0.2250959773074161	0.000374975626336029	1	25.44635881300019	12	20	31	46	70	144	1.0695179875230032e-7	1.1707783318321499	0.00009529786615268613	1.1216695802029624	-0.000521731571131034	1.2122097502253695	-0.00017885256618210645	1.2122097502253695	-0.000011822817131156079	1.2122097502253695	NaN	NaN	NaN	NaN	800000099	811110099	800000099	800000199	800000099	800000099	899999999	899999999	89999	89999	89	89	13	38	0	24	1	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	9.02325977855622e-7	7.889309540212377e-7	3.1896901574252573e-8	0.0000026334127228403658	0.0033874648036239484	39.61266429751936	NaN	NaN	8.488896923315509e-8	-1.7885256618210645e-7	-0.000011822817131156079	NaN	NaN	24.88441259511312	280.533764421251	22.902910864935976	18.633859525892476	86.50150430043539	167
DATA	2022-06-29T003000_AIU-1671.ghg	2022-06-29	01:00:00	180.041	0	18000	18000	2.1170972529518472e-7	1	NaN	0.00024705956269895866	1	NaN	-0.0006237859203961284	1	NaN	-0.00010792178092860436	1	NaN	-0.000014129640219381956	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.5346873248633941e-15	1.24878910283904e-16	NaN	NaN	10.79866638936146	280.7992203792505	287.36519590167023	-0.5	0	878.6973537706872	22.84888920461496	23.383168633985726	-0.5	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	288.13455948554144	294.34286735026046	94110.43117469618	1.104264948649921	1018.2192863580112	0.02600313874460331	-9.156006862159506e-7	0.015834126586247402	2150.8956151682783	2509.064122479112	0.014339064737684802	85.72501578967456	358.1685073108338	291.8203491347162	0.002878024722109938	0.03695666037924174	-0.0019196174239817386	0.03711822603172391	8.487545326092848e-18	1.4211822733734276e-19	0.03711822603172391	0.04050379113281841	132.45295994580604	85.54704005419396	-2.9644483366159804	NaN	0.00043785847563034073	0.0000010837194265041354	-0.0284481789893278	-128.074981578499	-0.3960646667723218	0.0005018261651687431	1	21.856562212797783	10	17	27	39	60	124	1.8080415507892467e-7	1.170933960023038	0.0001894598047446356	1.1217801763753454	-0.0005266476448389979	1.2123646875942706	-0.0000923935819601622	1.2123646875942706	-0.000011929319820547321	1.2123646875942706	NaN	NaN	NaN	NaN	800000099	811110099	800000099	800000199	800000099	800000099	899999999	899999999	89999	89999	89	89	23	8	0	21	7	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0000011733280146626127	9.511894113980689e-7	4.29214269475892e-8	0.000003291719065945837	0.0025452842475373934	37.55451006566879	NaN	NaN	1.6850099876265685e-7	-9.239358196016219e-8	-0.000011929319820547321	NaN	NaN	24.881861425611707	280.77916823493103	22.847270629035098	18.5973918733067	86.52709640312194	195
DATA	2022-06-29T010000_AIU-1671.ghg	2022-06-29	01:30:00	180.062	0	18000	18000	2.404094026570519e-7	1	NaN	0.0002105846576977368	1	NaN	0.0008647834123210847	1	NaN	0.0001651450834238494	1	NaN	0.00001958739947533004	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.893133135649766e-15	6.44604786274166e-16	NaN	NaN	10.766542923053745	279.8676486504236	286.41387240611806	0.1	0	879.2661900609606	22.85581945001726	23.390426822327214	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	288.1345306532118	294.2807281951904	94122.92593337674	1.1046418417778627	1018.2221575924531	0.02599419801235919	0.0000012692634860013866	0.01584437701637376	2151.8336530509664	2499.5149036533217	0.014343451802326329	86.09005090971132	347.68125060235525	291.827318796909	0.002856795482369815	0.0369698974667117	-0.0019227576086220026	0.0371299285745176	1.0483317398110968e-18	7.33116766640913e-19	0.0371299285745176	0.04048133571677867	132.41866772959497	85.58133227040503	-2.9683653411687065	NaN	0.00046651432072291693	0.0000011459526271491317	-0.04037051723146181	-90.25150654152444	0.24351144424998408	0.0004013263860014179	1	24.380000983613265	11	19	30	44	67	139	2.0531973278630108e-7	1.1709025693466713	0.00023073826030942018	1.1217578682418325	0.000676642996484179	1.2123334323080186	0.00012604814819349756	1.2123334323080186	0.000015326007050420864	1.2123334323080186	NaN	NaN	NaN	NaN	800000099	811110099	800000099	800000199	800000099	800000099	899999999	899999999	89999	89999	89	89	26	2	0	23	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0000012218747044718702	0.0000010227895910007268	4.724095882566659e-8	0.000003561407674126033	0.0025664924218545427	33.6074073529652	NaN	NaN	2.0514247028069188e-7	1.2604814819349756e-7	0.000015326007050420864	NaN	NaN	24.889999389648438	279.84833899519185	22.85421771939595	18.604348844104337	86.52720624584622	112
DATA	2022-06-29T013000_AIU-1671.ghg	2022-06-29	02:00:00	180.083	0	18000	18000	2.741228507789415e-7	1	NaN	0.0003596748939513431	1	NaN	-0.0009742024381722655	1	NaN	0.00001000480756522385	2	NaN	-0.00002206454607456422	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.776787344131067e-15	-7.401838763530187e-16	NaN	NaN	10.703833932426235	278.1709874613186	284.8534630438614	0	1	902.69992666965	23.459344714070927	24.022906355293607	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	288.1344380645752	294.2244434458415	94127.45153472222	1.1046519319605714	1018.5669923757981	0.025987976758367518	-0.0000014297825856317613	0.016266652957297557	2208.760650389893	2490.8928040389815	0.014725591371054756	88.67345261941375	282.13215364908865	292.24538301352715	0.0027974681402653605	0.036965046065342094	-0.0019337528591018371	0.03712115109649412	4.74012591625538e-18	-8.199666960025075e-19	0.03712115109649412	0.040488223515063516	132.3278228224047	85.67217717759529	-2.986061753890384	NaN	0.0004981497212263924	0.0000012591145342573408	-0.028782441416861017	-126.58759370793351	-0.369199336665736	0.0006417046374106568	1	19.28665119752074	9	15	24	35	53	110	2.3410772702811415e-7	1.1709261127720996	0.00027255919243534746	1.1217745996130033	-0.0008204239227926498	1.2123568740016355	0.0000037235925153359297	1.2123568740016355	-0.00001858164251682171	1.2123568740016355	NaN	NaN	NaN	NaN	800000099	811110099	800000099	800000199	800000099	800000099	899999999	899999999	89999	89999	89	89	1	6	0	0	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0000013430533991234294	0.0000011247457057745565	5.042996361669573e-8	0.000003986562322799406	0.002626417286111904	160.6509561872216	NaN	NaN	2.422399560367237e-7	3.7235925153359297e-9	-0.00001858164251682171	NaN	NaN	24.879609031677248	278.1516180402967	23.457719709502374	19.02099757915066	86.52997467146979	231
DATA	2022-06-29T020000_AIU-1671.ghg	2022-06-29	02:30:00	180.104	0	18000	18000	2.8685862263056097e-7	1	NaN	0.00026148853428085164	1	NaN	0.0009333108882746916	1	NaN	0.00021053994280076648	1	NaN	0.000021134911912552996	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.615131145141053e-15	-3.208967253607732e-16	NaN	NaN	10.616646358315974	275.8025352800391	282.7240677953888	0.3	0	942.3854665067892	24.48158223430383	25.095971319922235	0.3	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	288.1344014553494	294.053806362576	94107.8654296875	1.1046319904648398	1019.1512718026835	0.025978310473156536	0.000001369542291933434	0.016981786397415797	2304.527445731807	2464.9121372643804	0.015373252398990995	93.49328971577168	160.38469153257347	292.92783119475433	0.0028016723772161635	0.036972209656507604	-0.0019369449911561486	0.037128767968958726	2.0804160367913348e-18	-3.4051535891174676e-19	0.037128767968958726	0.04039859329615533	132.3334656216404	85.66653437835957	-2.990381304981778	NaN	0.0005095949859647131	0.0000012749012676412259	-0.042383418502876954	-85.96522245492497	0.28017302440801534	0.0004557967638555696	1	22.8267953902604	10	18	28	41	63	130	2.449886673537554e-7	1.1709056820017996	0.0002795356229923887	1.1217600802724208	0.0007238797091104358	1.212336531449115	0.00016193832136935193	1.212336531449115	0.000016392323372135257	1.212336531449115	NaN	NaN	NaN	NaN	800000099	811110099	800000099	800000199	800000099	800000099	899999999	899999999	89999	89999	89	89	0	7	0	0	7	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0000013601929753210252	0.000001137162516243593	5.2447043717833566e-8	0.000004057357163571309	0.0023316126612860097	89.94688859396409	NaN	NaN	2.48302386392486e-7	1.6193832136935192e-7	0.000016392323372135257	NaN	NaN	24.8700008392334	275.78406037648506	24.479800657378313	19.704014463636568	86.53506568272908	228
DATA	2022-06-29T023000_AIU-1671.ghg	2022-06-29	03:00:00	180.124	0	18000	18000	3.2208709862215846e-7	1	NaN	0.0003556601354746101	1	NaN	0.00008863148846051973	2	NaN	-0.000212393075715983	1	NaN	0.000002006601494461665	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.2706805173497115e-14	1.1711807179478826e-15	NaN	NaN	10.549147712236582	273.8627371213467	280.95453808382337	0.1	0	972.3103661905933	25.241809621031404	25.895457837823184	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	288.13432275560166	293.81325877889	94094.84677170138	1.1050626979548421	1019.58539548298	0.025960650527594477	1.3002777684111588e-7	0.01752103309895732	2375.7613104575903	2428.689744699973	0.015855238921179574	97.82070005615637	52.92843424238254	293.41951545923195	0.0027353638123733823	0.036906369909747605	-0.0019448778079822664	0.037058668416298325	2.5092633156601615e-18	1.2045338182873045e-18	0.037058668416298325	0.04047504624370458	132.23880130874903	85.76119869125095	-3.0083246660792344	NaN	0.0005398749849949858	0.000001364290648692874	-0.03705387623990499	-98.3297935257891	4.012796599179719	0.0005846977993700537	1	20.102004161906727	9	16	25	36	55	114	2.7503097615338066e-7	1.1710939005013576	0.000321647737137343	1.1218938441812247	0.000033197735352287885	1.2125239692863232	-0.0001849665577715121	1.2125239692863232	7.515909585600238e-7	1.2125239692863232	NaN	NaN	NaN	NaN	800000099	811110099	800000099	800000199	800000099	800000099	899999999	899999999	89999	89999	89	89	1	4	0	1	7	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0000014421987951610363	0.0000012293931082777426	5.698939394696866e-8	0.000004303074826381185	0.0030869618732874624	109.23923463136005	NaN	NaN	2.8547624462719197e-7	-1.849665577715121e-7	7.515909585600238e-7	NaN	NaN	24.793240709092878	273.8441615032622	25.24008454513553	20.195189063178198	86.54127497609457	120
DATA	2022-06-29T030000_AIU-1671.ghg	2022-06-29	03:30:00	180.145	0	18000	18000	3.235314244720288e-7	1	NaN	0.00035467832840864276	1	NaN	0.00010171367141002199	2	NaN	0.00017606404029625166	1	NaN	0.000002303187131399411	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.502643884896981e-15	5.281045003730291e-16	NaN	NaN	10.428807780832207	270.91159346222196	278.14336600082174	-0.4	0	1000.8825644158255	26.000161868244614	26.694215799990214	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	288.1342502102322	293.9961516882516	94093.30817317708	1.1040374559239177	1020.0262239049003	0.025977235284760758	1.4924652611468182e-7	0.018035904119797733	2447.0974751870135	2456.1875442804094	0.01633631542392221	99.6299114408196	9.090069093395869	293.89912803078533	0.0027189878231082634	0.03693268592634963	-0.0019473519909984642	0.03708380191260654	3.06860503014166e-18	5.276388251215688e-19	0.03708380191260654	0.04048822351506351	132.21052475774061	85.78947524225939	-3.010111879048426	NaN	0.0005413352789886437	0.0000013802438359766885	-0.03746368280877589	-97.2541866371586	3.487027097654208	0.0005817992767092587	1	20.169952693036894	9	16	25	36	55	115	2.762802217277195e-7	1.17102636753664	0.00032144300195911335	1.121845848420145	0.00004265504053754125	1.212456708149689	0.00013548353554096497	1.212456708149689	9.658735064174004e-7	1.212456708149689	NaN	NaN	NaN	NaN	800000099	811110099	800000099	800000199	800000099	800000099	899999999	899999999	89999	89999	89	89	0	7	0	0	4	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0000014517267818671113	0.0000012525166081676481	5.624428191861785e-8	0.00000438808259998132	0.0018310103299042668	40.18864022863333	NaN	NaN	2.854360550479639e-7	1.3548353554096498e-7	9.658735064174004e-7	NaN	NaN	24.77441389211019	270.8930377409194	25.99834020392102	20.675057602776434	86.52962060779996	154
DATA	2022-06-29T033000_AIU-1671.ghg	2022-06-29	04:00:00	180.166	0	18000	18000	3.3340861972642815e-7	1	NaN	0.00041974474051511857	1	NaN	-0.0008632050764345992	1	NaN	0.00002178620988369538	2	NaN	-0.000019543202424223304	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.371227705846674e-15	6.189576341955882e-16	NaN	NaN	10.405448118130366	270.1782475110438	277.4609065615551	0	1	1010.8776278758072	26.24751407598964	26.955016244279907	0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	288.1342266455756	293.8338725704617	94085.41110828993	1.1044501488722918	1020.1598794406746	0.02596507564535231	-0.00000126639951708967	0.018216015166432595	2470.170571830103	2431.7754864990234	0.016493288705725844	100	0	294.05163456505943	0.0027187282508756533	0.03694908796747526	-0.0019504403394659878	0.037100280355384783	5.781223909366198e-18	6.1229729210273025e-19	0.037100280355384783	0.040398593296155326	132.20826204172783	85.79173795827217	-3.0135497606104487	NaN	0.0005494337746770623	0.000001400621546598274	-0.03309762063769965	-110.08344194536731	-0.4862630584250515	0.0006780403704631235	1	18.695384682341086	8	14	23	34	51	106	2.847256281384192e-7	1.1709821202478539	0.0003316990483656787	1.1218144025165724	-0.0007399732065291877	1.212412643984926	0.000011443933905340614	1.212412643984926	-0.000016753198699240025	1.212412643984926	NaN	NaN	NaN	NaN	800000099	811110099	800000099	800000199	800000099	800000099	899999999	899999999	89999	89999	89	89	0	1	0	0	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0000014963087842987317	0.0000012473754356024008	5.755887329541591e-8	0.0000044066114253156	0.0016241258634142291	19.640486769083722	NaN	NaN	2.943946190874489e-7	1.1443933905340614e-8	-0.000016753198699240025	NaN	NaN	24.75	270.159341281467	26.245682186656513	20.82767261197832	86.54436229557462	012
