DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	other_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	LOGGERPOWER_1_1_1	LOGGERTEMP_1_1_1	VIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SHFSENS1_1_1_1	SHFSENS2_2_1_1	SHFSENS3_3_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TC_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	TSENSOR_1_1_1	VERSION_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	[OTHER]	[C]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[W/m^2]	[W/m^2]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[K]	[K]	[K]	[K]	[C]	[OTHER]	209
DATA	2022-10-28T233000_AIU-1861.ghg	2022-10-29	00:00:00	302	0	18000	18000	-0.000914684	2	NaN	-3.36645	0	NaN	NaN	NaN	NaN	0.398835	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.94134e-12	NaN	NaN	NaN	24.1826	608.425	608.425	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	281.54	274.001	90543.8	1.15124	1005.17	0.0251596	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.49629	-0.100893	0.00832398	1.49971	5.02822e-14	1.62982e-16	1.49971	2.55459	306.42	356.142	0.318015	NaN	0.0281873	0.0548507	0.539548	6.44058	NaN	0.103208	1	712.962	312	682	1462	2868	6639	NaN	-0.000824595	1.10925	-2.77586	1.21276	NaN	NaN	0.332072	1.97424	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800000199	800100199	899999999	899999999	89999	89999	89	89	2	5	4	1	4	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0819201	0.0247926	0.00298864	0.0495013	0.0014434	NaN	NaN	NaN	-0.00239879	0.000332072	NaN	NaN	NaN	0.000463764	11.94	608.375	-2.34066	NaN	104.748	1	3.72	12.0772	261.643	307.719	-15617.8	0	75.9887	-50.0285	-24.9302	-11.4774	-12.1928	62.97	61.32	55.6281	0.0233667	0.0232444	0.00768889	-2.03528	1.91707	275.023	NaN	280.063	281.84	281.297	NaN	2	254
DATA	2022-10-29T000000_AIU-1861.ghg	2022-10-29	00:30:00	302.0208	0	18000	18000	-0.00599674	0	NaN	-8.83168	0	NaN	NaN	NaN	NaN	0.389643	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.82718e-12	NaN	NaN	NaN	24.2913	609.575	609.575	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	280.964	273.258	90533	1.15423	1005.16	0.0250944	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.91148	-0.827149	0.0342584	2.08305	9.24459e-15	1.16387e-16	2.08305	3.02244	326.602	336.601	0.942344	NaN	0.0720795	0.0776941	3.43869	1.01056	NaN	0.10561	1	163.895	72	163	367	757	1892	NaN	-0.00580757	1.03257	-8.28182	1.06639	NaN	NaN	0.81886	1.30223	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800000199	810000199	899999999	899999999	89999	89999	89	89	9	5	2	9	13	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0684681	0.0797068	0.0072134	0.222773	0.00516084	NaN	NaN	NaN	-0.00713838	0.00081886	NaN	NaN	NaN	0.000466653	11.94	609.525	-2.33843	NaN	104.597	1	3.43	12.0762	259.288	309.506	-15617.8	0	78.6277	-54.7979	-25.2391	-11.7438	-9.74633	62.97	61.32	55.6281	0.0230917	0.0239833	0.00751945	-2.11567	2.4642	274.534	NaN	279.774	281.607	281.031	NaN	2	070
DATA	2022-10-29T003000_AIU-1861.ghg	2022-10-29	01:00:00	302.0416	0	18000	18000	-0.00692541	2	NaN	-11.9094	0	NaN	NaN	NaN	NaN	0.467148	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.13457e-11	NaN	NaN	NaN	24.5343	613.629	613.629	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	279.495	272.334	90527.2	1.15807	1005.15	0.0250111	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.56533	-0.672881	0.0291889	1.70408	3.96279e-14	-2.09281e-15	1.70408	3.06469	329.534	336.739	0.981457	NaN	0.0773312	0.241235	3.14884	1.10358	NaN	0.132303	1	110.515	49	109	240	486	1181	6555	-0.00671128	1.03191	-11.1832	1.06494	NaN	NaN	1.06949	1.29862	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800000199	810000199	899999999	899999999	89999	89999	89	89	3	7	3	9	8	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.295727	0.176632	0.0101109	0.364076	0.00696231	NaN	NaN	NaN	-0.00960726	0.00106949	NaN	NaN	NaN	0.000467046	11.94	613.576	-2.45571	NaN	104.498	1	3.09	12.0763	256.46	306.239	-15617.8	0	80.8104	-54.0989	-25.2124	-11.9547	-12.5021	62.97	61.32	55.6281	0.0237139	0.0259417	0.00696667	-3.23874	1.08145	273.404	NaN	279.609	281.46	280.827	NaN	2	173
DATA	2022-10-29T010000_AIU-1861.ghg	2022-10-29	01:30:00	302.0624	0	18000	18000	-0.00388403	2	NaN	-3.91173	1	NaN	NaN	NaN	NaN	0.0816545	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.32076e-11	NaN	NaN	NaN	24.6568	614.574	614.574	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	278.677	271.407	90530.2	1.16206	1005.14	0.0249252	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.43759	-0.491138	0.0214027	1.51932	-9.79959e-14	2.96907e-15	1.51932	2.88646	328.25	341.138	0.807153	NaN	0.0578131	0.300878	4.00581	0.867489	NaN	0.0579279	1	135.432	60	135	302	621	1545	9044	-0.00378499	1.02617	-3.71371	1.05332	NaN	NaN	0.309302	1.24766	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800000199	800000199	899999999	899999999	89999	89999	89	89	0	3	6	1	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.353659	0.242924	0.00517378	0.17067	0.00393097	NaN	NaN	NaN	-0.00317947	0.000309302	NaN	NaN	NaN	0.000472456	11.9386	614.523	-2.5475	NaN	104.182	1	2.53667	12.0771	253.887	301.294	-15617.8	0	84.1353	-51.7203	-25.3387	-12.101	-12.8028	62.97	61.32	55.6281	0.0246139	0.0259667	0.00695	-2.59915	1.71443	272.494	NaN	279.312	281.305	280.656	NaN	2	172
DATA	2022-10-29T013000_AIU-1861.ghg	2022-10-29	02:00:00	302.0833	0	18000	18000	-0.00211028	1	NaN	-3.8641	1	NaN	NaN	NaN	NaN	-0.0739283	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.06815e-11	NaN	NaN	NaN	24.7945	616.92	616.92	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	278.072	270.915	90525.5	1.16411	1005.13	0.0248813	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.45082	0.0610603	0.0197404	1.45224	-1.29707e-14	-8.34115e-16	1.45224	2.0283	300.533	2.40997	0.778849	NaN	0.0425768	0.0346632	1.61968	2.14548	NaN	0.0775639	1	268.156	118	264	583	1184	2886	NaN	-0.00201282	1.04842	-3.52096	1.09746	NaN	NaN	0.157918	1.44577	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800000199	800000199	899999999	899999999	89999	89999	89	89	11	6	3	9	7	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0405582	0.0263325	0.00243559	0.0436416	0.00101555	NaN	NaN	NaN	-0.00300916	0.000157918	NaN	NaN	NaN	0.00047016	11.93	616.869	-2.60057	NaN	104.022	1	1.89	12.0769	253.831	298.579	-15617.8	0	86.1213	-48.5951	-26.0504	-12.3253	-13.1637	62.97	61.32	55.6281	0.0232889	0.0258	0.00633333	-2.16343	1.68351	271.925	NaN	278.995	281.084	280.433	NaN	2	068
DATA	2022-10-29T020000_AIU-1861.ghg	2022-10-29	02:30:00	302.1041	0	18000	18000	-0.00256602	2	NaN	-2.7287	1	NaN	NaN	NaN	NaN	0.106175	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.82539e-11	NaN	NaN	NaN	24.6571	613.275	613.275	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	278.548	270.796	90518.9	1.16454	1005.13	0.0248722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.79377	-0.263915	0.0267175	1.81328	-4.318e-14	7.40309e-16	1.81328	2.74095	313.337	351.63	0.844248	NaN	0.046941	0.1371	3.07355	1.13061	NaN	0.0496623	1	260.084	115	262	596	1247	3182	NaN	-0.00248358	1.03319	-2.55607	1.06753	NaN	NaN	0.243192	1.30942	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800000199	800000199	899999999	899999999	89999	89999	89	89	0	3	3	0	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.158986	0.112592	0.00262278	0.125433	0.00405749	NaN	NaN	NaN	-0.00218372	0.000243192	NaN	NaN	NaN	0.000474791	11.93	613.226	-2.55911	NaN	104.038	1	1.28	12.0767	253.538	299.11	-15617.8	0	86.84	-49.6932	-26.7799	-12.6185	-13.5957	62.97	61.32	55.6281	0.0229833	0.0240833	0.005225	-1.33976	2.78255	272.223	NaN	278.691	280.835	280.178	NaN	2	205
DATA	2022-10-29T023000_AIU-1861.ghg	2022-10-29	03:00:00	302.1249	0	18000	18000	-0.00330277	1	NaN	-2.59475	1	NaN	NaN	NaN	NaN	0.0673974	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.55927e-11	NaN	NaN	NaN	24.6772	614.728	614.728	0.2	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	278.39	271.213	90517.9	1.16274	1005.13	0.0249107	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.06928	-0.571059	0.0135705	1.21229	2.79466e-14	6.31866e-16	1.21229	2.02557	331.875	331.895	0.641386	NaN	0.0532965	0.117784	4.73082	0.734545	NaN	0.0416575	1	103.982	46	103	229	469	1157	6635	-0.00323072	1.0223	-2.48265	1.04516	NaN	NaN	0.222333	1.21174	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800000199	801000199	899999999	899999999	89999	89999	89	89	2	0	0	2	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0404801	0.191318	0.00377008	0.0836849	0.00170462	NaN	NaN	NaN	-0.00212427	0.000222333	NaN	NaN	NaN	0.0004731	11.93	614.679	-2.57097	NaN	104.009	1	1.04	12.0771	253.368	298.524	-15617.8	0	86.9827	-49.3898	-27.1913	-12.9063	-13.97	62.97	61.32	55.6281	0.023	0.0248667	0.004425	-1.7714	2.4626	272.271	NaN	278.473	280.662	279.918	NaN	2	108
DATA	2022-10-29T030000_AIU-1861.ghg	2022-10-29	03:30:00	302.1458	0	18000	18000	-0.00645923	1	NaN	-0.654244	1	NaN	NaN	NaN	NaN	-0.081107	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.13952e-11	NaN	NaN	NaN	24.7064	613.653	613.653	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	277.832	270.413	90515.7	1.16615	1005.12	0.0248378	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.964165	-0.708542	0.0193227	1.19667	-4.05979e-14	2.88975e-15	1.19667	2.54267	345.932	323.689	0.925199	NaN	0.0744241	0.259463	51.0888	0.0680188	NaN	0.00749986	1	47.1142	21	43	88	164	350	1462	-0.0063989	1.00943	-0.643767	1.01627	NaN	NaN	-0.0279616	1.07682	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800000199	800100199	899999999	899999999	89999	89999	89	89	0	1	4	6	4	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.196178	0.320632	0.00211618	0.0849713	0.0017971	NaN	NaN	NaN	-0.000549231	-0.0000279616	NaN	NaN	NaN	0.00047745	11.9057	613.603	-2.60723	NaN	104.095	1	0.9	12.0769	251.879	296.511	-15617.8	0	88.5809	-49.0745	-27.4104	-13.122	-14.2257	62.97	61.32	55.6281	0.023	0.0248833	0.004075	-1.89024	2.55272	271.861	NaN	278.24	280.495	279.695	NaN	2	111
DATA	2022-10-29T033000_AIU-1861.ghg	2022-10-29	04:00:00	302.1666	0	18000	18000	0.00613171	1	NaN	3.16002	2	NaN	NaN	NaN	NaN	-0.0634168	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.45163e-11	NaN	NaN	NaN	24.8478	614.831	614.831	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	277.025	269.378	90511.6	1.17058	1005.11	0.0247439	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.19141	-0.560238	0.0277611	1.31685	8.45241e-14	1.38911e-15	1.31685	2.34757	326.113	334.816	1.20797	NaN	0.0723754	0.29411	-9.72722	-0.357245	NaN	-0.0371094	1	51.9667	23	41	68	104	167	384	0.00605635	1.01244	3.11232	1.01533	NaN	NaN	-0.29412	1.05794	NaN	NaN	NaN	NaN	NaN	NaN	800000099	800000199	800000099	800000199	800000199	801100199	899999999	899999999	89999	89999	89	89	0	0	3	0	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.114873	0.471328	0.00202016	0.488247	0.0108554	NaN	NaN	NaN	0.00264527	-0.00029412	NaN	NaN	NaN	0.000472326	11.9029	614.779	-2.66063	NaN	104.366	1	0.51	12.0772	251.103	295.501	-15617.8	0	88.8064	-48.4485	-27.6969	-13.2968	-14.4894	62.97	61.32	55.6281	0.023	0.02345	0.004	-2.57992	1.47127	270.994	NaN	278.027	280.326	279.499	NaN	2	222
