DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	other_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	LOGGERPOWER_1_1_1	LOGGERTEMP_1_1_1	VIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SHFSENS1_1_1_1	SHFSENS2_2_1_1	SHFSENS3_3_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TC_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	TSENSOR_1_1_1	VERSION_1_1_1	_0_0_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	[OTHER]	[C]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[W/m^2]	[W/m^2]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[K]	[K]	[K]	[K]	[C]	[OTHER]	[OTHER]	020
DATA	2023-12-15T233000_AIU-1861.ghg	2023-12-16	00:00:00	350	0	18000	18000	-0.0275661	0	NaN	-19.2705	0	NaN	0.698658	0	NaN	0.676705	0	NaN	0.0154276	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.50159e-12	9.0784e-14	NaN	NaN	16.8568	421.49	423.195	0.1	0	161.061	4.02718	4.04346	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	274.236	267.678	89004.4	1.15663	1007.26	0.0250041	0.000999712	0.00290231	358.533	405.773	0.00250928	88.3579	47.2404	266.027	-1.04607	-1.9525	0.0635291	2.21598	5.71383e-14	5.63664e-16	2.21598	3.81417	61.2295	241.819	1.64282	NaN	0.15438	0.20566	15.3053	0.227046	-27.5821	0.107144	1	42.0963	18	40	87	170	395	1976	-0.0271825	1.01411	-18.6931	1.02909	1.00979	1.13544	1.50765	1.13544	0.022298	1.13544	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	5	8	0	2	4	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.142875	0.228092	0.0403531	0.132907	0.00134826	1.82055	NaN	NaN	-0.0160453	0.00150765	0.022298	NaN	NaN	0.000488498	10.3166	421.456	4.02687	-7.18194	100.972	1	-1.93	12.0772	219.419	292.264	0.0463392	0	83.0237	-78.6348	-14.4029	-6.66567	-8.43062	62.97	61.32	63.8	0.0540167	0.0359361	0.0440667	-3.1968	2.59272	268.268	NaN	274.205	0.05	0.05	NaN	2	NaN	061
DATA	2023-12-16T000000_AIU-1861.ghg	2023-12-16	00:30:00	350.0208	0	18000	18000	-0.0530242	0	NaN	-26.4337	0	NaN	2.21725	0	NaN	0.582516	0	NaN	0.0489825	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.52354e-11	2.45293e-13	NaN	NaN	16.7818	420.409	422.134	0.1	0	163.122	4.08645	4.10322	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	274.572	268.145	88991	1.15442	1007.29	0.0250515	0.00317407	0.00293947	363.755	420.397	0.00254628	86.5266	56.6416	266.215	-1.32044	-2.12842	0.0658647	2.50561	4.58014e-14	1.50374e-15	2.50561	4.74942	65.2938	238.185	1.5063	NaN	0.214316	0.293167	29.849	0.116419	-11.9218	0.106068	0	44.7207	-6.78654	15.3512	38.2266	58.2979	81.7637	122.497	-0.0524187	1.01155	-25.7076	1.02387	2.55189	1.11062	1.78694	1.11062	0.0563751	1.11062	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	8	3	0	5	4	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.302811	0.209531	0.0739924	0.0849379	0.00250436	1.06132	NaN	NaN	-0.0221077	0.00178694	0.0563751	NaN	NaN	0.000492026	10.33	420.374	4.08612	-6.99408	100.97	1	-2.1	12.0763	221.18	293.756	0.0291275	0	82.2378	-78.2099	-14.1318	-6.76154	-7.86564	62.97	61.32	63.8	0.0546167	0.0355167	0.0450028	-2.69992	2.934	268.611	NaN	274.1	0.05	0.05	NaN	2	NaN	009
DATA	2023-12-16T003000_AIU-1861.ghg	2023-12-16	01:00:00	350.0416	0	18000	18000	-0.0372935	0	NaN	-22.6946	0	NaN	0.515979	0	NaN	0.764309	0	NaN	0.0113953	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.93452e-11	-1.86002e-13	NaN	NaN	16.7947	420.364	422.07	0.1	0	161.479	4.04175	4.05816	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	274.163	267.821	88961.5	1.15545	1007.26	0.0250295	0.000738416	0.00290986	359.657	410.208	0.00251838	87.6767	50.551	266.068	-1.07777	-2.16026	0.0666271	2.41511	-8.59977e-14	-1.15186e-15	2.41511	4.25209	59.7474	243.485	1.58085	NaN	0.179656	0.23793	20.4746	0.169723	-43.9836	0.108539	1	37.502	16	36	75	146	331	1582	-0.036816	1.01297	-22.0776	1.02684	0.93045	1.12446	1.76291	1.12446	0.0205488	1.12446	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	6	3	0	3	2	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.184837	0.236517	0.0545054	0.144025	0.00117321	0.663957	NaN	NaN	-0.0189696	0.00176291	0.0205488	NaN	NaN	0.000490171	10.2412	420.33	4.04144	-7.14092	100.976	1	-2.2	12.0772	219.775	292.63	0.0463392	0	82.4886	-78.517	-13.8222	-6.82685	-8.45043	62.97	61.32	63.8	0.0551111	0.0350361	0.0451778	-3.51543	2.14691	268.36	NaN	273.993	0.05	0.05	NaN	2	NaN	146
DATA	2023-12-16T010000_AIU-1861.ghg	2023-12-16	01:30:00	350.0624	0	18000	18000	-0.0849108	0	NaN	-27.2503	0	NaN	3.47124	0	NaN	0.801229	0	NaN	0.0766927	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-9.12298e-12	-8.87713e-14	NaN	NaN	16.7425	419.885	421.608	0.1	0	162.913	4.08571	4.10247	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	274.529	268.251	88928.4	1.15315	1007.29	0.025079	0.00496969	0.00293569	363.433	423.798	0.00254581	85.7561	60.3653	266.204	-1.04262	-2.89926	0.0991309	3.08263	2.37489e-14	-5.449e-16	3.08263	5.52788	52.6035	250.221	1.84283	NaN	0.271356	0.368476	58.7421	0.0591568	-7.85031	0.0864552	0	46.8426	-7.10854	16.0795	40.0403	61.064	85.6432	128.309	-0.0840127	1.01069	-26.4758	1.02251	3.7205	1.10252	2.02558	1.10252	0.0821998	1.10252	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	9	2	0	4	9	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.414373	0.21694	0.105639	0.101644	0.00109638	0.969347	NaN	NaN	-0.0227933	0.00202558	0.0821998	NaN	NaN	0.000490963	10.2678	419.852	4.08539	-7.00554	100.954	1	-2.4	12.0773	219.801	293.837	0.055607	0	82.615	-79.6622	-13.5264	-6.87478	-8.47295	62.97	61.32	63.8	0.0532222	0.0349333	0.0452	-2.71448	2.91214	268.562	NaN	273.866	0.05	0.05	NaN	2	NaN	089
DATA	2023-12-16T013000_AIU-1861.ghg	2023-12-16	02:00:00	350.0833	0	18000	18000	-0.0398735	0	NaN	-20.5424	0	NaN	0.456001	0	NaN	0.636675	0	NaN	0.0100688	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.03215e-11	9.88173e-14	NaN	NaN	16.7725	419.773	421.467	0.1	0	160.578	4.01887	4.03508	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	273.955	267.626	88904.2	1.15555	1007.25	0.0250275	0.00065246	0.00289362	357.39	404.183	0.0025041	88.4229	46.7928	265.986	-0.73661	-2.2275	0.0718985	2.34723	-4.11949e-14	6.15384e-16	2.34723	4.4563	51.0546	251.701	1.75531	NaN	0.185758	0.198403	24.9921	0.139044	-45.0491	0.0950115	1	34.1006	15	32	67	129	288	1328	-0.0394035	1.01193	-20.029	1.02454	0.838019	1.11424	1.56029	1.11424	0.0185041	1.11424	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	8	11	2	12	11	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.204243	0.140398	0.0521653	0.0951173	0.000858084	0.650652	NaN	NaN	-0.0172081	0.00156029	0.0185041	NaN	NaN	0.00049322	10.4	419.739	4.01855	-7.22295	100.96	1	-2.4	12.0772	220.796	291.751	0.0489873	0	83.6323	-76.4975	-13.2383	-6.91548	-8.46143	62.97	61.32	63.8	0.0512361	0.0346639	0.0451167	-3.58358	1.95973	268.105	NaN	273.767	0.05	0.05	NaN	2	NaN	202
DATA	2023-12-16T020000_AIU-1861.ghg	2023-12-16	02:30:00	350.1041	0	18000	18000	-0.072268	0	NaN	-26.3386	0	NaN	1.66725	0	NaN	0.755645	0	NaN	0.0368207	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.04586e-11	-9.98668e-14	NaN	NaN	16.8039	420.887	422.586	0.1	0	160.457	4.01897	4.03518	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	274.058	267.815	88897.2	1.15465	1007.25	0.0250471	0.00238598	0.00289143	357.371	410.02	0.00250416	87.1594	52.649	265.985	-1.50499	-2.55722	0.0951263	2.96874	2.09148e-14	-6.22391e-16	2.96874	5.57428	63.6479	239.522	1.83623	NaN	0.250177	0.31417	47.6145	0.0729819	-15.7976	0.0905225	0	46.5921	-7.07054	15.9936	39.8263	60.7376	85.1853	127.623	-0.0714823	1.01099	-25.6622	1.02307	2.05801	1.1054	1.95503	1.1054	0.0454505	1.1054	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	10	7	1	4	4	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.314759	0.222576	0.0910043	0.0472314	0.000847166	0.443173	NaN	NaN	-0.0220651	0.00195503	0.0454505	NaN	NaN	0.000493358	10.3833	420.853	4.01864	-7.22355	100.954	1	-2.55	12.0778	220.03	292.579	0.0476632	0	83.2432	-77.9965	-12.992	-6.9388	-8.43072	62.97	61.32	63.8	0.0511667	0.0347972	0.0452167	-2.98593	2.46153	268.194	NaN	273.75	0.05	0.05	NaN	2	NaN	097
DATA	2023-12-16T023000_AIU-1861.ghg	2023-12-16	03:00:00	350.1249	0	18000	18000	-0.0698514	0	NaN	-25.5271	0	NaN	2.02356	0	NaN	0.769265	0	NaN	0.0446959	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.89115e-11	4.7063e-13	NaN	NaN	16.7638	420.244	421.95	0.1	0	161.303	4.04362	4.06004	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	274.184	267.966	88871.3	1.15365	1007.27	0.0250685	0.0028963	0.00290668	359.458	414.744	0.00251955	86.6698	55.2861	266.061	-1.62238	-2.6442	0.090251	3.10355	4.44707e-14	2.91768e-15	3.10355	5.19494	64.6023	238.468	1.66639	NaN	0.246065	0.348872	46.7357	0.0743542	-12.615	0.0892754	0	44.6093	-6.76963	15.3129	38.1314	58.1527	81.56	122.192	-0.0690719	1.01128	-24.833	1.02382	2.3586	1.10831	1.91713	1.10831	0.0520963	1.10831	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	12	3	2	6	5	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.354014	0.24558	0.0981486	0.0375177	0.000586583	0.240821	NaN	NaN	-0.0213702	0.00191713	0.0520963	NaN	NaN	0.000493021	10.37	420.21	4.04329	-7.14798	100.953	1	-2.7	12.0774	219.881	293.026	0.0397193	0	82.9427	-78.5388	-12.7749	-6.9618	-8.39503	62.97	61.32	63.8	0.0525083	0.0352417	0.0450889	-2.99292	2.40074	268.325	NaN	273.673	0.05	0.05	NaN	2	NaN	175
DATA	2023-12-16T030000_AIU-1861.ghg	2023-12-16	03:30:00	350.1458	0	18000	18000	-0.0304908	0	NaN	-19.5888	0	NaN	0.0221046	1	NaN	0.20471	0	NaN	0.000488065	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.95413e-11	-2.80133e-13	NaN	NaN	16.7538	419.588	421.264	0.1	0	158.872	3.97885	3.99475	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	273.865	267.583	88829.8	1.15479	1007.23	0.0250443	0.0000316266	0.00286288	353.536	402.841	0.00247913	87.7607	49.305	265.846	-1.5713	-1.6792	0.0570726	2.30042	2.07376e-14	-1.76326e-15	2.30042	4.49711	76.1246	226.901	1.42163	NaN	0.162492	0.185136	17.5323	0.198206	-886.187	0.103644	1	40.7644	18	39	83	162	373	1830	-0.0300838	1.01353	-19.0571	1.02793	0.42031	1.12984	1.11429	1.12984	0.00928038	1.12984	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	13	6	1	9	10	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.198764	0.122149	0.0493587	0.107482	0.000800029	1.62904	NaN	NaN	-0.0163842	0.00111429	0.00928038	NaN	NaN	0.000493773	10.4055	419.553	3.97856	-7.36342	100.97	1	-2.7	12.0775	220.508	291.547	0.0211837	0	83.0036	-76.4947	-12.5651	-6.97842	-8.34875	62.97	61.32	63.8	0.0530944	0.0354778	0.0452222	-3.4199	2.03546	268.06	NaN	273.584	0.05	0.05	NaN	2	NaN	107
DATA	2023-12-16T033000_AIU-1861.ghg	2023-12-16	04:00:00	350.1666	0	18000	18000	-0.0249885	0	NaN	-20.5865	0	NaN	0.337053	0	NaN	0.401722	0	NaN	0.00743935	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.27503e-11	3.04743e-13	NaN	NaN	16.7534	419.215	420.856	0.1	0	155.891	3.90081	3.91609	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	273.658	267.195	88778	1.15583	1007.18	0.0250226	0.00048207	0.00280916	346.399	391.11	0.00243043	88.5682	44.7107	265.582	-1.58523	-1.52564	0.0588934	2.20091	-1.12894e-14	1.95484e-15	2.20091	3.75732	79.3064	223.903	1.53334	NaN	0.147036	0.150002	12.3552	0.281258	-61.078	0.12027	1	45.8509	20	44	96	190	447	2305	-0.0246058	1.01555	-19.9319	1.0321	0.698968	1.14911	1.31181	1.14911	0.0154275	1.14911	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	8	4	3	2	1	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.158386	0.0976099	0.0440078	0.0855926	0.000881285	0.486776	NaN	NaN	-0.0171217	0.00131181	0.0154275	NaN	NaN	0.000494582	10.4056	419.18	3.9005	-7.62689	100.971	1	-2.89667	12.0769	220.871	290.093	-0.00661988	0	83.7605	-74.6335	-12.3638	-6.99613	-8.29645	62.97	61.32	63.8	0.0526333	0.0354833	0.0457945	-2.88341	2.52766	267.697	NaN	273.481	0.05	0.05	NaN	2	NaN	045
