DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_1	CHK__1_1_1	DAQM_T_1_1_1	VIN_1_1_1	DRM_POWER_STATUS_1_1_1	DRM_V_BATTERY_1_1_1	DRM_V_MAIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	Relay_1_1_1	Relay_2_1_1	Relay_3_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHFSENS_3_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWC_4_1_1	SWC_5_1_1	SWC_6_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TCNR4_C_1_1_1	TSENSOR_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	TS_4_1_1	TS_5_1_1	TS_6_1_1	TS_7_1_1	TS_8_1_1	TS_9_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[OTHER]	[V]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[W/m^2]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[C]	[C]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	079
DATA	2024-07-06T233000_smart3-01137.ghg	2024-07-07	00:00:00	189	0	18000	18000	-0.18462	0	NaN	13.1248	0	NaN	193.39	0	NaN	2.9583	1	NaN	4.42145	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.39922e-11	3.4555e-13	NaN	NaN	13.2337	405.897	407.579	0	0	134.528	4.12617	4.14327	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	304.584	303.904	82377.9	0.942875	1008.08	0.0306715	0.28651	0.00242419	339.997	4417.53	0.00257106	7.69653	4077.54	265.341	-5.14215	-1.29983	0.145692	5.30589	1.19224e-13	2.56861e-15	5.30589	11.0972	286.329	194.186	1.57346	NaN	0.442499	2.14272	-501.135	-0.00459357	0.0678671	-0.0312055	0	31.9447	-4.84773	10.9656	27.3059	41.6432	58.4051	87.5015	-0.181501	1.01719	23.319	1.03842	165.067	1.16513	0.482358	1.16513	3.77391	1.16513	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	12	7	3	1	2	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	2.17319	1.82608	0.286183	0.0822646	0.000731559	504.043	NaN	NaN	0.0245336	0.000482358	3.77391	NaN	NaN	12.307	405.897	4.12624	-8.02791	95.5563	0.248569	105.767	38.2151	12.2554	15	12.9228	25.8455	336.894	450.146	1069.59	0	9.70298	301.752	-0.00000447692	-0.00000695212	-0.00000928488	0.0000525311	0.0000524806	0.0000539966	23.3497	13.3695	13.1017	0.162	0.228267	0.1842	0.3031	0.3093	0.225	552.036	137.033	304.563	33.8656	NaN	293.05	294.25	293.15	291.733	291.35	291.55	293.996	293.394	292.907	157
DATA	2024-07-07T000000_smart3-01137.ghg	2024-07-07	00:30:00	189.0208	0	18000	18000	-0.297014	1	NaN	0.663028	0	NaN	176.185	0	NaN	4.63331	0	NaN	4.02736	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.26172e-11	-6.30945e-13	NaN	NaN	13.2392	405.982	407.649	0	0	133.401	4.09076	4.10756	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	304.465	303.713	82343.7	0.943087	1008.06	0.030665	0.260973	0.00240389	336.939	4369.8	0.00254896	7.71062	4032.86	265.225	-4.07976	-0.144157	0.0725918	4.08295	1.33087e-13	-4.72967e-15	4.08295	11.7309	294.179	182.024	1.01873	NaN	0.561193	3.43045	-20229.4	-0.000113795	0.00376324	-0.00124275	0	40.2031	-6.10098	13.8004	34.365	52.4088	73.5042	110.123	-0.292838	1.01426	10.5284	1.03159	153.112	1.1459	2.58972	1.1459	3.49993	1.1459	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800001099	800001199	899999999	899999999	89999	89999	89	89	3	4	14	9	15	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	3.33125	3.2706	0.259055	0.0632184	0.00132217	957.248	NaN	NaN	0.0110746	0.00258972	3.49993	NaN	NaN	12.25	405.982	4.0909	-8.2672	95.5448	0.254736	138.2	38.1716	12.2455	15	12.9215	25.8907	334.392	447.914	857.283	0	9.67582	217.719	0.0122084	0.0121245	0.0121524	0.0000534356	0.0000524806	0.0000539966	21.276	12.7565	12.4045	0.1616	0.226033	0.1836	0.303	0.309	0.224967	444.73	113.489	304.421	33.5658	NaN	293.05	294.103	293.15	291.807	291.403	291.55	293.911	293.367	292.877	226
DATA	2024-07-07T003000_smart3-01137.ghg	2024-07-07	01:00:00	189.0416	0	18000	18000	-0.359374	0	NaN	0.382284	2	NaN	116.312	1	NaN	2.17323	2	NaN	2.65764	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.94497e-10	-3.74454e-12	NaN	NaN	13.2702	406.333	407.906	0	1	125.96	3.85689	3.87182	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	304.077	303.292	82350.5	0.944558	1007.92	0.03062	0.172215	0.0022698	317.702	4265.73	0.00240303	7.44778	3948.03	264.47	-4.25384	0.847957	-0.000101181	4.33754	-3.60064e-13	-2.97281e-14	4.33754	10.6853	311.619	168.726	-0.00133653	NaN	0.61682	4.20391	-46587.7	-0.0000494122	0.00328671	-0.00065099	0	41.3162	-6.26989	14.1825	35.3164	53.8598	75.5391	113.171	-0.35412	1.01483	6.86274	1.03299	100.752	1.14991	0.935354	1.14991	2.30212	1.14991	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	4	2	1	9	11	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	2.5495	5.56602	0.292304	0.175501	0.00202743	537.683	NaN	NaN	0.0072085	0.000935354	2.30212	NaN	NaN	12.2654	406.331	3.85677	-8.92869	95.58	0.243405	137.2	37.9034	12.2555	15	12.9237	25.8632	331.923	443.483	639.911	0	9.31229	138.399	-0.00000435963	-0.00000658094	-0.00000887071	0.0000536617	0.0000524806	0.0000539966	18.3221	11.39	10.7435	0.161	0.225867	0.183033	0.3025	0.309	0.2248	330.359	80.3996	304.051	32.8201	NaN	293.007	293.923	293.143	291.85	291.45	291.55	293.769	293.308	292.822	134
DATA	2024-07-07T010000_smart3-01137.ghg	2024-07-07	01:30:00	189.0624	0	18000	18000	-0.202652	0	NaN	-45.5982	0	NaN	116.193	0	NaN	6.39624	0	NaN	2.65209	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-7.2744e-11	-6.42107e-13	NaN	NaN	13.3576	407.533	409.004	0	0	117.907	3.59727	3.61026	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	303.096	302.196	82350.1	0.948073	1007.74	0.0305095	0.171856	0.00212468	296.315	4004.92	0.00224105	7.39877	3708.6	263.582	-4.20513	2.66776	-0.127377	4.9816	6.90591e-14	-5.44589e-15	4.9816	10.2963	332.571	147.609	-1.46519	NaN	0.462333	1.55926	164.462	0.0139972	-0.392433	0.103229	0	33.384	-5.06615	11.4596	28.5361	43.5194	61.0365	91.4439	-0.199153	1.01757	-37.62	1.04045	97.5213	1.19555	6.21038	1.19555	2.22591	1.19555	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	12	14	1	7	5	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.69333	1.14536	0.279822	0.153136	0.00178261	226.419	NaN	NaN	-0.0393756	0.00621038	2.22591	NaN	NaN	12.29	407.533	3.59722	-9.71826	95.5956	0.22968	118.7	37.2805	12.2563	15	12.9236	25.5906	326.231	442.337	427.197	0	9.30062	53.0011	-0.00000400782	-0.00000611796	-0.00000859157	0.0000536617	0.0000524806	0.0000539966	15.6592	10.055	9.04602	0.161	0.224633	0.182667	0.302033	0.3087	0.2242	219.927	50.8199	302.988	31.6693	NaN	292.9	293.69	293.05	291.943	291.477	291.55	293.568	293.213	292.716	007
DATA	2024-07-07T013000_smart3-01137.ghg	2024-07-07	02:00:00	189.0833	0	18000	18000	-0.103226	1	NaN	-66.8017	0	NaN	76.6747	0	NaN	6.78965	0	NaN	1.7477	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.16674e-11	-5.13203e-13	NaN	NaN	13.4769	409.24	410.91	0	0	133.864	4.06491	4.0815	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	301.816	300.798	82356.6	0.952386	1007.95	0.0303659	0.113251	0.00241223	334.862	3692.54	0.00253283	9.06861	3357.68	265.145	-2.95968	1.91044	-0.0980994	3.52408	1.4515e-13	-3.83376e-15	3.52408	9.05297	332.269	147.158	-1.59514	NaN	0.329221	0.937509	40.5378	0.0567866	-0.871236	0.211372	0	33.8262	-5.13326	11.6114	28.9141	44.0959	61.8451	92.6553	-0.101546	1.01654	-60.3583	1.03677	65.1569	1.19284	7.70609	1.19284	1.48517	1.19284	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	17	20	6	11	1	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.34787	0.389853	0.137296	0.610789	0.00909438	279.275	NaN	NaN	-0.062876	0.00770609	1.48517	NaN	NaN	12.2972	409.235	4.06442	-8.15385	95.6266	0.171544	141.933	36.3458	12.2575	15	12.9235	25.4426	323.71	431.596	232.247	0	10.8135	-12.7487	-0.00000352667	-0.00000560242	-0.0000079914	0.0000536617	0.0000524806	0.0000539966	12.7142	8.60802	7.09746	0.160867	0.2258	0.183567	0.302	0.308167	0.224	115.925	20.7889	301.719	30.0812	NaN	292.723	293.44	292.967	291.95	291.55	291.55	293.336	293.089	292.555	098
DATA	2024-07-07T020000_smart3-01137.ghg	2024-07-07	02:30:00	189.1041	0	18000	18000	-0.0144763	0	NaN	-28.3897	0	NaN	25.8877	0	NaN	4.57535	0	NaN	0.588411	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-9.30589e-12	-1.03888e-13	NaN	NaN	13.8549	416.636	418.583	-0.1	0	154.672	4.6512	4.67294	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	299.556	297.888	82358.8	0.961501	1008.18	0.0300714	0.038129	0.00278719	383.17	3109.57	0.00289879	12.3223	2726.4	266.892	-1.84217	1.01494	-0.061355	2.10415	-5.63886e-15	-6.71668e-16	2.10415	3.75146	328.777	151.148	-1.67093	NaN	0.122702	0.0930765	4.9385	0.466134	-1.09665	0.238682	1	40.4538	18	40	87	175	423	2308	-0.014062	1.02946	-25.5562	1.06122	19.5516	1.35213	4.20987	1.35213	0.444395	1.35213	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	20	43	11	18	16	23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.102808	0.0589305	0.0244149	0.700986	0.0342327	159.707	NaN	NaN	-0.0263638	0.00420987	0.444395	NaN	NaN	12.2995	416.622	4.65109	-6.35651	95.6818	0.437994	136.7	34.9307	12.2586	15	12.9249	25.3728	317.399	403.696	66.29	0	14.799	-59.6094	-0.00000273995	-0.00000446459	-0.00000700936	0.0000536617	0.0000524806	0.0000539966	9.95424	7.10168	5.25066	0.160067	0.226433	0.1849	0.301867	0.308	0.224	25.5699	-1.11739	298.744	26.3282	NaN	292.557	293.207	292.84	292.017	291.55	291.55	293.117	292.956	292.375	018
DATA	2024-07-07T023000_smart3-01137.ghg	2024-07-07	03:00:00	189.1249	0	18000	18000	-0.00416475	1	NaN	-4.45023	2	NaN	10.3063	1	NaN	3.13848	1	NaN	0.233338	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.43677e-11	-3.00351e-13	NaN	NaN	14.4919	429.936	432.227	-0.1	0	178.624	5.29931	5.32754	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.574	293.835	82344.4	0.974354	1008.42	0.0296674	0.0151203	0.0032188	436.485	2432	0.00330352	17.9476	1995.51	268.607	-2.1073	0.516974	-0.0189737	2.16987	-2.40844e-14	-1.68147e-15	2.16987	3.09163	313.795	166.216	-0.50101	NaN	0.0653786	0.0590775	4.76501	0.483105	-0.431796	0.0692768	1	101.278	45	101	228	473	1188	7112	-0.00404652	1.02922	-3.72254	1.06078	7.69685	1.34773	2.42	1.34773	0.174259	1.34773	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	22	8	2	13	21	18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0544175	0.0578977	0.0058397	2.24377	0.0772199	327.703	NaN	NaN	-0.00378862	0.00242	0.174259	NaN	NaN	12.29	429.928	5.29925	-4.66348	95.7239	0.573642	109.267	32.156	12.2612	15	12.9255	25.3293	307.801	379.328	6.54275	0	23.1925	-76.1792	-0.00000135563	-0.00000278114	-0.00000510773	0.0000536617	0.0000524806	0.0000539966	6.97726	5.57147	3.00269	0.159767	0.2265	0.1821	0.301667	0.308	0.224	-10.5025	-5.8503	293.816	20.8259	NaN	292.263	292.82	292.703	292.05	291.607	291.55	292.812	292.783	292.083	119
DATA	2024-07-07T030000_smart3-01137.ghg	2024-07-07	03:30:00	189.1458	0	18000	18000	-0.0129193	0	NaN	-32.5631	0	NaN	17.1894	0	NaN	4.28477	0	NaN	0.388031	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.31302e-11	1.58495e-13	NaN	NaN	14.5889	428.221	430.446	0	0	176.103	5.16907	5.19592	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.092	290.793	82366	0.984854	1008.27	0.0293526	0.0251444	0.00317337	425.869	2011.93	0.00322217	21.1672	1586.06	268.281	-2.34922	0.347971	-0.0272348	2.37501	-2.38725e-14	9.00015e-16	2.37501	3.79619	308.581	171.575	-0.657038	NaN	0.114534	0.096666	3.50149	0.657434	-1.89437	0.286313	1	58.2179	26	57	127	260	636	3598	-0.0124326	1.03915	-29.4261	1.08036	12.4065	1.44926	3.97704	1.44926	0.280063	1.44926	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	6	9	0	4	11	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.106622	0.0644258	0.0222837	0.466689	0.0226379	149.396	NaN	NaN	-0.0296335	0.00397704	0.280063	NaN	NaN	12.2977	428.222	5.16926	-4.95793	95.7591	0.445238	142.633	28.3969	12.2644	15	12.9268	25.3037	303.029	373.042	0.0611254	0	25.1895	-76.4753	6.38774e-7	-5.65269e-7	-0.00000255667	0.0000536617	0.0000524806	0.0000539966	2.58837	3.58511	-0.380557	0.159	0.225133	0.181033	0.301133	0.308	0.224	-11.6552	-5.19277	291.133	18.2344	NaN	291.81	292.23	292.467	292.05	291.65	291.55	292.37	292.524	291.655	171
DATA	2024-07-07T033000_smart3-01137.ghg	2024-07-07	04:00:00	189.1666	0	18000	18000	0.0165548	1	NaN	-31.3762	1	NaN	10.9423	1	NaN	2.15467	1	NaN	0.247032	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.35569e-11	-7.24921e-13	NaN	NaN	14.5778	427.963	430.062	0	0	166.273	4.88128	4.90523	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.586	290.888	82380.2	0.984809	1008.12	0.0293571	0.0160077	0.00299623	402.229	2024.06	0.00304245	19.8724	1621.83	267.528	-1.69358	0.944143	-0.0699382	1.94023	1.97469e-14	-4.35983e-15	1.94023	3.77752	330.564	150.861	-2.06575	NaN	0.129654	0.22064	5.27193	0.436652	-2.86743	0.243753	1	32.5809	14	32	69	139	331	1762	0.0161063	1.02784	-29.1659	1.0579	8.73489	1.3382	2.71465	1.3382	0.197199	1.3382	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	801100199	899999999	899999999	89999	89999	89	89	1	8	1	20	16	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.12367	0.303828	0.0137811	1.15939	0.0533295	187.974	NaN	NaN	-0.0293773	0.00271465	0.197199	NaN	NaN	12.31	427.959	4.88089	-5.72023	95.7532	0.436617	125.8	25.47	12.2673	15	12.9251	25.2654	298.539	369.709	-0.000259542	0	22.7961	-78.1183	0.00000218065	0.00000129491	-8.77993e-7	0.0000536617	0.0000524806	0.0000539966	-2.42038	1.00503	-3.94528	0.158167	0.2242	0.180967	0.301	0.308	0.224	-12.3323	-5.38405	291.714	17.9939	NaN	291.383	291.677	292.17	292.05	291.65	291.55	291.913	292.206	291.226	051
