DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_1	CHK__1_1_1	DAQM_T_1_1_1	VIN_1_1_1	DRM_POWER_STATUS_1_1_1	DRM_V_BATTERY_1_1_1	DRM_V_MAIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	Relay_1_1_1	Relay_2_1_1	Relay_3_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHFSENS_3_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWC_4_1_1	SWC_5_1_1	SWC_6_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TCNR4_C_1_1_1	TC_1_1_1	TSENSOR_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	TS_4_1_1	TS_5_1_1	TS_6_1_1	TS_7_1_1	TS_8_1_1	TS_9_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[OTHER]	[V]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[W/m^2]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[C]	[K]	[C]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	091
DATA	2024-08-12T233000_smart3-01137.ghg	2024-08-13	00:00:00	226	0	18000	18000	-0.0129172	0	NaN	-14.7116	0	NaN	15.7025	0	NaN	7.38943	0	NaN	0.354936	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.52915e-11	1.48634e-12	NaN	NaN	14.2658	418.656	426.17	-0.1	0	600.821	17.6321	17.9486	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.112	292.164	82770.7	0.980397	1015.18	0.0293468	0.0229999	0.0108268	1459.82	2192.64	0.0110433	66.5781	732.821	285.77	-0.636419	1.22409	-0.0834785	1.38217	1.34358e-14	2.47385e-15	1.38217	3.33105	2.97397	117.47	-3.46258	NaN	0.114784	0.213519	7.84507	0.293433	-0.936896	0.128775	1	22.1587	10	21	46	90	210	1056	-0.012634	1.02242	-13.2935	1.04682	13.3711	1.25423	6.34856	1.25423	0.302236	1.25423	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	1	8	0	5	2	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.142009	0.255492	0.0295363	0.0756739	0.0541776	61.4552	NaN	NaN	-0.0133565	0.00634856	0.302236	NaN	NaN	12.27	418.653	17.6321	12.5485	95.7558	0.683855	116.667	26.8672	12.2651	15	12.7919	25.273	382.699	409.212	-0.000963566	0	68.7018	-28.9807	0.0000025287	0.00000112019	0.00000890023	0.0000528686	0.000054596	0.0000702355	-4.54839	-2.86966	-7.6849	0.2133	0.201	0.118667	0.182467	0.24	0.144	-7.80224	-5.33478	292.523	21.9762	290.744	19.3326	296.337	295.183	295.813	294.95	294.65	294.05	295.53	295.358	296.484	156
DATA	2024-08-13T000000_smart3-01137.ghg	2024-08-13	00:30:00	226.0208	0	18000	18000	-0.0241665	0	NaN	-18.5651	0	NaN	23.3693	0	NaN	8.68891	0	NaN	0.528326	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.83485e-12	1.63141e-13	NaN	NaN	14.1354	415.229	422.696	-0.1	0	601.345	17.6646	17.9822	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.231	292.344	82741.6	0.979438	1015.21	0.0293752	0.0342355	0.0108362	1461.99	2217.37	0.0110637	65.9333	755.386	285.792	0.353724	1.77631	-0.0530988	1.81197	2.87319e-14	2.71294e-16	1.81197	4.04406	40.6079	78.7378	-1.67927	NaN	0.157079	0.234426	15.9279	0.144526	-0.794424	0.118864	1	19.8696	9	19	39	75	167	771	-0.0237318	1.01832	-16.6768	1.03905	20.5614	1.1991	7.81607	1.1991	0.464845	1.1991	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	21	4	0	1	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.28373	0.134424	0.0506977	0.0510153	0.0167506	49.7575	NaN	NaN	-0.0167719	0.00781607	0.464845	NaN	NaN	12.2782	415.228	17.6646	12.5714	95.7382	0.71559	118.9	26.4583	12.256	15	12.7911	25.2247	385.513	411.049	-0.00107338	0	67.4395	-27.6997	0.0122368	0.0121504	0.0121895	0.0000529427	0.0000547088	0.0000704489	-5.02887	-3.06426	-7.86402	0.213	0.200667	0.118	0.182633	0.24	0.144	-7.60915	-5.44522	292.779	22.0202	291.374	19.5247	296.1	295.003	295.66	294.923	294.65	294.05	295.375	295.218	296.277	227
DATA	2024-08-13T003000_smart3-01137.ghg	2024-08-13	01:00:00	226.0416	0	18000	18000	-0.0587918	0	NaN	-29.0396	0	NaN	38.2209	0	NaN	9.12724	0	NaN	0.864126	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.01213e-11	-4.28095e-13	NaN	NaN	13.9959	411.363	418.647	-0.1	0	591.978	17.3992	17.7073	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.305	292.39	82708.5	0.978989	1015.06	0.0293916	0.0559953	0.0106674	1439.45	2223.81	0.0108964	64.7288	784.366	285.556	-0.0366494	2.44041	-0.104177	2.44291	-3.7303e-14	-7.2316e-16	2.44291	5.48556	27.3954	90.8604	-2.44409	NaN	0.245058	0.582177	38.6525	0.0595563	-0.759782	0.119248	0	28.3195	-4.2976	9.72117	24.2071	36.9174	51.7771	77.5716	-0.0578332	1.01658	-26.0183	1.03644	34.3209	1.1705	8.68903	1.1705	0.775952	1.1705	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	19	4	2	1	5	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.664094	0.381644	0.118615	0.0506984	0.0138416	84.4444	NaN	NaN	-0.0261824	0.00868903	0.775952	NaN	NaN	12.2831	411.363	17.3992	12.3342	95.5763	0.638996	112.067	26.2065	12.2655	15	12.7915	25.2104	387.951	411.911	-0.00105356	0	65.9395	-27.6425	0.00000281699	0.00000120811	0.00000930343	0.0000529612	0.000054737	0.0000705022	-5.81241	-3.69462	-8.10736	0.212833	0.2	0.118	0.182267	0.240033	0.144	-9.61822	-5.93606	292.918	22.0146	291.619	19.6792	295.893	294.883	295.503	294.85	294.65	294.05	295.224	295.086	296.09	164
DATA	2024-08-13T010000_smart3-01137.ghg	2024-08-13	01:30:00	226.0624	0	18000	18000	-0.0733183	0	NaN	-29.0349	0	NaN	36.101	0	NaN	8.58518	0	NaN	0.815856	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.24295e-11	9.71217e-13	NaN	NaN	14.3386	420.917	428.731	-0.1	0	620.872	18.2261	18.5645	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	295.933	291.957	82686.9	0.979879	1015.51	0.0293556	0.0528674	0.0111881	1507.46	2164.42	0.0114178	69.6474	656.958	286.26	-1.29542	2.02088	-0.101831	2.40259	2.51455e-14	1.56428e-15	2.40259	5.52891	358.54	122.66	-2.42913	NaN	0.273539	0.487571	53.7622	0.0428182	-0.804268	0.10667	0	29.9333	-4.5425	10.2751	25.5866	39.0211	54.7277	81.9921	-0.0722037	1.01544	-26.1778	1.03402	32.9119	1.16033	8.33792	1.16033	0.743784	1.16033	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800001099	899999999	899999999	89999	89999	89	89	5	15	1	0	3	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.517377	0.329097	0.128667	0.0671034	0.0455513	292.051	NaN	NaN	-0.0263072	0.00833792	0.743784	NaN	NaN	12.3	420.915	18.2259	13.0348	94.242	0.659633	133.4	25.9664	12.2657	15	12.7913	25.181	385.736	409.945	-0.00108173	0	69.8486	-27.7207	0.00000303186	0.00000150019	0.0000093592	0.0000529612	0.000054737	0.0000705022	-6.22253	-4.14168	-8.35224	0.212	0.199833	0.1179	0.1821	0.24	0.1441	-10.1107	-6.59839	292.507	21.6902	291.105	19.3648	295.7	294.757	295.35	294.85	294.65	294.05	295.068	294.946	295.912	243
DATA	2024-08-13T013000_smart3-01137.ghg	2024-08-13	02:00:00	226.0833	0	18000	18000	-0.0373109	0	NaN	-20.7209	0	NaN	23.9756	0	NaN	3.3951	1	NaN	0.541736	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.80009e-11	1.6404e-12	NaN	NaN	14.552	426.967	434.984	-0.1	0	628.171	18.4311	18.7771	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	295.87	291.775	82677.1	0.980296	1015.63	0.0293409	0.0351045	0.0113196	1524.24	2139.99	0.0115472	71.2263	615.755	286.43	-0.804662	1.58586	-0.0811164	1.78018	4.9611e-14	2.61139e-15	1.78018	4.48346	5.36699	116.903	-2.61167	NaN	0.195092	0.374118	27.3289	0.0842331	-0.864251	0.106679	1	14.2132	6	13	27	50	106	445	-0.0367457	1.01538	-18.8109	1.03286	21.8223	1.16929	3.5934	1.16929	0.493081	1.16929	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	13	21	3	0	7	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92	0.410586	0.260882	0.0767687	0.0562514	0.124755	146.174	NaN	NaN	-0.0188937	0.0035934	0.493081	NaN	NaN	12.2708	426.963	18.4309	13.207	93.2335	0.617912	137.467	25.7154	12.2657	15	12.7895	25.1577	385.308	408.909	-0.00102878	0	71.7959	-27.4156	0.00000315382	0.00000175768	0.00000952207	0.0000529612	0.000054737	0.0000705022	-6.66117	-4.55568	-8.59467	0.212	0.199033	0.117067	0.182133	0.24	0.144067	-9.58396	-5.76938	292.318	21.4814	290.895	19.1309	295.513	294.613	295.2	294.75	294.65	294.05	294.923	294.802	295.741	061
DATA	2024-08-13T020000_smart3-01137.ghg	2024-08-13	02:30:00	226.1041	0	18000	18000	-0.0464026	1	NaN	-5.67382	1	NaN	2.32266	2	NaN	5.2103	1	NaN	0.0524432	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.19156e-11	2.25719e-12	NaN	NaN	14.984	438.3	446.815	0.1	0	651.475	19.0565	19.4267	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	295.263	291.026	82717.5	0.983064	1015.96	0.0292513	0.00339832	0.0117396	1576.73	2041.75	0.0119418	77.2242	465.026	286.95	-0.380373	-0.578092	0.0102846	0.692084	-2.25113e-15	3.46474e-15	0.692084	2.94022	242.424	236.656	0.851463	NaN	0.21726	1.02432	137.902	0.016693	-2.44281	0.0261478	0	49.5993	-7.52688	17.0258	42.3967	64.6577	90.6833	135.86	-0.0458536	1.01197	-5.43652	1.02028	2.53241	1.12209	4.88355	1.12209	0.0571793	1.12209	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	0	2	1	3	3	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	1.37523	0.650438	0.0229662	0.097282	0.0329879	93.1849	NaN	NaN	-0.00544328	0.00488355	0.0571793	NaN	NaN	12.24	438.301	19.0563	13.7276	94.1227	0.71271	130.633	25.432	12.2658	15	12.7881	25.1333	373.684	404.043	-0.000948175	0	78.2575	-32.6921	0.00000325419	0.00000175831	0.00000959438	0.0000529612	0.000054737	0.0000705022	-7.11027	-4.93441	-8.74208	0.2119	0.199	0.117	0.182	0.240033	0.1442	-8.15372	-5.82089	291.5	20.8585	289.818	18.5279	295.357	294.493	295.063	294.75	294.637	294.073	294.797	294.665	295.586	010
DATA	2024-08-13T023000_smart3-01137.ghg	2024-08-13	03:00:00	226.1249	0	18000	18000	-0.0039716	1	NaN	-1.43417	1	NaN	1.74549	1	NaN	1.50136	1	NaN	0.0394003	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.84298e-12	3.84962e-13	NaN	NaN	14.7983	432.427	440.724	0	0	644.213	18.8249	19.186	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	295.261	290.735	82718.9	0.984153	1015.83	0.0292215	0.00255314	0.0116087	1557.59	2004.58	0.0117956	77.7014	446.993	286.762	-0.844124	-0.663021	0.00331405	1.07338	-3.48036e-14	5.97569e-16	1.07338	1.99448	260.966	218.148	0.1769	NaN	0.063526	0.111183	13.6378	0.168795	-0.821643	0.0225822	1	33.939	15	32	69	134	307	1492	-0.00390747	1.01641	-1.29882	1.03357	1.55233	1.19398	1.30433	1.19398	0.0350402	1.19398	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100199	899999999	899999999	89999	89999	89	89	0	5	2	11	22	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0917763	0.12742	0.00316855	0.0773195	0.0567639	98.3674	NaN	NaN	-0.00129917	0.00130433	0.0350402	NaN	NaN	12.2974	432.425	18.8248	13.5397	95.731	0.662415	122.7	25.026	12.2662	15	12.7881	25.1082	362.213	400.744	-0.00102591	0	79.7596	-41.2502	0.0000035096	0.00000206927	0.0000100677	0.0000529612	0.000054737	0.0000705022	-7.57415	-5.21636	-8.8838	0.211133	0.1982	0.117	0.182	0.24	0.1443	-8.0294	-5.31008	291.161	20.5255	288.996	17.8879	295.19	294.333	294.933	294.657	294.55	294.15	294.683	294.523	295.439	001
DATA	2024-08-13T030000_smart3-01137.ghg	2024-08-13	03:30:00	226.1458	0	18000	18000	0.0252906	1	NaN	-7.54308	2	NaN	-3.86289	1	NaN	-5.00156	1	NaN	-0.0872024	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.73371e-10	7.11162e-12	NaN	NaN	14.7588	431.467	439.241	0	1	605.401	17.6986	18.0175	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	295.644	290.817	82705.4	0.984136	1015.19	0.0292345	-0.00565072	0.0109093	1464.16	2015.01	0.0110852	72.6627	550.851	285.815	-0.223205	0.11056	-0.032094	0.251145	-1.19956e-13	1.1747e-14	0.251145	1.40165	301.41	153.649	-7.34193	NaN	0.160307	0.187552	41.6546	0.055264	1.95271	0.0470969	1	0.566107	1	1	1	2	6	NaN	0.0248258	1.01872	-7.57079	1.02496	-2.70788	1.14417	-4.00357	1.14417	-0.0611287	1.14417	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	810111099	899999999	899999999	89999	89999	89	89	1	0	3	4	21	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.229041	0.137928	0.00813575	0.437456	0.406805	404.119	NaN	NaN	-0.00757769	-0.00400357	-0.0611287	NaN	NaN	12.3039	431.467	17.6984	12.5876	95.7548	0.537704	99.0667	24.5802	12.2667	15	12.7893	25.0883	354.006	398.087	-0.00095287	0	74.7248	-47.9249	0.0000036535	0.00000229538	0.0000102152	0.0000529612	0.000054737	0.0000705022	-8.17372	-5.45097	-9.09968	0.211	0.198	0.116833	0.182	0.24	0.144133	-8.28051	-4.43673	291.341	20.9076	288.19	17.5709	294.987	294.15	294.813	294.65	294.55	294.15	294.561	294.363	295.288	040
DATA	2024-08-13T033000_smart3-01137.ghg	2024-08-13	04:00:00	226.1666	0	18000	18000	0.00431987	1	NaN	-6.27271	1	NaN	1.12055	1	NaN	6.05744	1	NaN	0.0252716	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.87591e-11	2.32848e-12	NaN	NaN	15.3421	447.065	455.128	-0.3	0	607.97	17.7162	18.0357	-0.3	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.574	289.823	82690.6	0.987328	1015.18	0.0291398	0.0016376	0.0109556	1465.35	1892.13	0.0110962	77.4447	426.776	285.827	-0.908562	0.703415	-0.0610861	1.15066	-6.43144e-15	3.82993e-15	1.15066	1.72925	340.486	142.253	-3.04315	NaN	0.0661462	0.0722241	3.51846	0.654263	-5.59787	0.0946115	1	44.5086	20	44	96	194	468	2564	0.0041768	1.03425	-5.8176	1.07051	1.20806	1.39297	4.57829	1.39297	0.0272452	1.39297	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	810000099	899999999	899999999	89999	89999	89	89	1	2	6	1	0	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.120953	0.0219668	0.00152876	0.522983	0.528319	152.502	NaN	NaN	-0.00580413	0.00457829	0.0272452	NaN	NaN	12.27	447.059	17.7162	12.6046	95.7522	0.492879	116.1	24.013	12.267	15	12.7885	25.0626	336.013	391.517	-0.00106816	0	81.9044	-60.4953	0.00000402635	0.00000270107	0.0000104389	0.0000529612	0.000054737	0.0000705022	-9.03375	-5.74592	-9.48178	0.210833	0.1973	0.116133	0.182	0.24	0.144567	-9.84223	-4.85048	289.824	20.2871	286.766	16.746	294.76	293.94	294.687	294.573	294.55	294.15	294.418	294.178	295.124	094
