DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	A7_1_1_1	A8_1_1_1	ALB_1_1_1	CHK__1_1_1	DAQM_T_1_1_1	VIN_1_1_1	DRM_POWER_STATUS_1_1_1	DRM_V_BATTERY_1_1_1	DRM_V_MAIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	Relay_1_1_1	Relay_2_1_1	Relay_3_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHFSENS_3_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWC_4_1_1	SWC_5_1_1	SWC_6_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TCNR4_C_1_1_1	TSENSOR_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	TS_4_1_1	TS_5_1_1	TS_6_1_1	TS_7_1_1	TS_8_1_1	TS_9_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[OTHER]	[OTHER]	[%]	[OTHER]	[C]	[V]	[OTHER]	[V]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[W/m^2]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[C]	[C]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	213
DATA	2024-05-23T233000_smart3-01124.ghg	2024-05-24	00:00:00	145	0	18000	18000	-0.00546095	2	NaN	2.28381	2	NaN	2.68134	1	NaN	-0.187014	2	NaN	0.0602515	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.89888e-11	2.6831e-13	NaN	NaN	14.7052	426.909	429.5	0	1	207.782	6.03217	6.06878	0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	292.117	286.027	81912.6	0.995429	1008.63	0.0290312	0.0039043	0.00374423	494.244	1481.19	0.00376143	33.3679	986.951	270.265	-0.354847	-0.685332	0.0285047	0.772275	2.61631e-14	1.2913e-15	0.772275	2.12192	298.92	242.626	2.11527	NaN	0.0740677	0.218784	-13.4495	-0.123797	0.85174	-0.0307105	1	14.3281	6	12	20	32	54	139	-0.00537997	1.01505	2.37477	1.02491	2.33251	1.11109	-0.296721	1.11109	0.0524129	1.11109	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	6	6	3	19	20	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.325794	0.106612	0.00516213	0.306908	0.0434805	94.3096	NaN	NaN	0.00236526	-0.000296721	0.0524129	NaN	NaN	12.0965	426.905	6.03233	-2.96017	96.9388	NaN	NaN	NaN	121.7	20.5148	12.1406	15	0.0072846	25.5668	NaN	NaN	NaN	0	31.9356	NaN	-8.18177e-7	-0.00000311283	-0.00000167011	NaN	NaN	NaN	NaN	NaN	NaN	0.0667	0.104	0.0679667	0.107	0.1	0.079	NaN	NaN	287.261	15.4114	NaN	291.297	289.187	290.147	290.88	290.15	288.15	291.765	288.605	289.559	011
DATA	2024-05-24T000000_smart3-01124.ghg	2024-05-24	00:30:00	145.0208	0	18000	18000	-0.00448994	2	NaN	-11.6636	0	NaN	6.46195	0	NaN	5.24241	0	NaN	0.145059	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.05873e-11	-5.58354e-13	NaN	NaN	14.8767	430.118	432.679	0.1	0	204.656	5.91707	5.95229	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	290.337	284.982	81949.2	0.999567	1008.55	0.0289123	0.00939981	0.0036879	485.03	1382.9	0.0036895	35.0733	897.874	270.013	-1.54758	-1.4556	0.0759943	2.12592	5.91213e-14	-2.72826e-15	2.12592	3.77441	314.432	223.246	2.04856	NaN	0.0670215	0.363427	1.95168	0.853111	-1.80497	0.172628	1	84.5961	37	85	192	399	1007	6096	-0.0042311	1.06118	-10.1401	1.1236	4.29768	1.58082	3.65885	1.58082	0.0964749	1.58082	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800111199	899999999	899999999	89999	89999	89	89	2	5	9	19	19	17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97	0.443828	0.273354	0.00967168	0.961617	0.103006	55.2494	NaN	NaN	-0.0100585	0.00365885	0.0964749	NaN	NaN	12.1	430.108	5.91671	-3.20771	96.9439	NaN	NaN	NaN	113.067	18.9508	12.1334	15	0.0066101	25.5235	NaN	NaN	NaN	0	35.4084	NaN	0.011903	0.0120641	0.0120698	NaN	NaN	NaN	NaN	NaN	NaN	0.0661333	0.103167	0.0670667	0.107	0.1	0.079	NaN	NaN	285.541	13.1906	NaN	290.857	288.667	289.653	290.85	290.15	288.2	291.436	288.176	288.962	091
DATA	2024-05-24T003000_smart3-01124.ghg	2024-05-24	01:00:00	145.0416	0	18000	18000	-0.0191879	0	NaN	-35.2892	0	NaN	19.3886	0	NaN	7.21813	0	NaN	0.434615	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.27518e-11	1.87481e-13	NaN	NaN	14.8453	426.76	429.454	0.1	0	218.26	6.27436	6.31398	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	288.769	283.485	81986.8	1.00517	1008.71	0.0287472	0.028163	0.00393304	514.553	1252.01	0.00391281	41.0982	737.457	270.808	-1.80114	-1.97527	0.079204	2.67434	-1.29726e-13	8.58983e-16	2.67434	5.03291	311.551	227.64	1.69714	NaN	0.138163	0.436299	5.65316	0.294525	-1.8201	0.251908	1	31.6627	14	31	67	135	322	1722	-0.0185176	1.0362	-31.9484	1.07614	15.1272	1.35269	6.54637	1.35269	0.33909	1.35269	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	18	11	9	6	3	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.219329	0.619093	0.0341762	0.419035	0.0278595	94.066	NaN	NaN	-0.0315095	0.00654637	0.33909	NaN	NaN	12.1295	426.758	6.27399	-2.41697	96.9584	NaN	NaN	NaN	122.5	17.2409	12.1445	15	0.0056658	25.5009	NaN	NaN	NaN	0	41.2342	NaN	9.85265e-7	-8.47927e-7	4.42866e-8	NaN	NaN	NaN	NaN	NaN	NaN	0.066	0.102967	0.067	0.107	0.1	0.079	NaN	NaN	283.886	11.6339	NaN	290.413	288.18	289.187	290.823	290.16	288.25	291.087	287.735	288.393	001
DATA	2024-05-24T010000_smart3-01124.ghg	2024-05-24	01:30:00	145.0624	0	18000	18000	-0.0210794	1	NaN	-46.2083	0	NaN	27.6656	0	NaN	7.30502	0	NaN	0.619934	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.84593e-11	-7.01131e-13	NaN	NaN	14.747	423.276	425.884	0.1	0	213.365	6.12415	6.16188	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	288.66	283.118	82008.1	1.00679	1008.62	0.0287026	0.0401717	0.00384485	502.364	1221.69	0.00381891	41.1203	719.331	270.484	-2.39182	-1.67773	0.0947252	2.9231	7.5373e-14	-3.28606e-15	2.9231	5.12367	325.008	215.048	1.85704	NaN	0.144697	0.319734	4.95996	0.335688	-1.67024	0.314479	1	34.4236	15	34	74	149	359	1958	-0.020251	1.04091	-41.4022	1.08538	20.8756	1.39045	6.76958	1.39045	0.467783	1.39045	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	11	21	2	7	3	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.422014	0.165497	0.0519574	0.279084	0.0152805	58.4698	NaN	NaN	-0.0407713	0.00676958	0.467783	NaN	NaN	12.1395	423.275	6.12418	-2.73579	96.9717	NaN	NaN	NaN	103.167	16.0352	12.1459	15	0.0047215	25.4712	NaN	NaN	NaN	0	40.6316	NaN	0.00000130489	-2.68755e-7	7.2563e-7	NaN	NaN	NaN	NaN	NaN	NaN	0.066	0.102267	0.0667667	0.107	0.1	0.079	NaN	NaN	283.771	11.9086	NaN	289.987	287.787	288.783	290.75	290.25	288.25	290.723	287.333	287.927	083
DATA	2024-05-24T013000_smart3-01124.ghg	2024-05-24	02:00:00	145.0833	0	18000	18000	-0.0162198	0	NaN	-28.2585	0	NaN	15.6995	0	NaN	4.52606	0	NaN	0.35176	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.92587e-12	8.30498e-14	NaN	NaN	14.7353	422.736	425.256	0.1	0	206.512	5.92455	5.95986	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	288.452	283.01	82016.5	1.00736	1008.51	0.0286887	0.0227941	0.00372135	486.041	1212.83	0.00369417	40.075	726.788	270.04	-2.28548	-1.69059	0.0913682	2.84427	-4.3557e-15	4.02155e-16	2.84427	5.39513	323.147	216.491	1.84087	NaN	0.126891	0.348951	5.46994	0.304391	-1.79996	0.219206	1	38.7796	17	38	83	168	405	2206	-0.0156232	1.03819	-25.4875	1.08012	12.0696	1.36809	4.25818	1.36809	0.27043	1.36809	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	6	21	4	4	9	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.254322	0.406093	0.0374864	0.465546	0.0167742	57.8575	NaN	NaN	-0.0250878	0.00425818	0.27043	NaN	NaN	12.16	422.731	5.92426	-3.17961	96.9762	NaN	NaN	NaN	140.7	15.357	12.1463	15	0.0047215	25.4468	NaN	NaN	NaN	0	39.0756	NaN	0.00000169023	1.20524e-7	9.87167e-7	NaN	NaN	NaN	NaN	NaN	NaN	0.0655333	0.102	0.0660333	0.107	0.1	0.079	NaN	NaN	283.777	12.0094	NaN	289.617	287.48	288.44	290.71	290.25	288.25	290.383	287.018	287.571	109
DATA	2024-05-24T020000_smart3-01124.ghg	2024-05-24	02:30:00	145.1041	0	18000	18000	-0.013638	1	NaN	-33.3265	0	NaN	13.6827	1	NaN	7.47326	0	NaN	0.306226	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.5876e-11	4.48316e-13	NaN	NaN	14.9831	428.063	430.365	0.1	0	187.232	5.34919	5.37796	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	287.718	281.83	82014.3	1.01177	1008.18	0.0285698	0.0198434	0.00337393	438.828	1120.13	0.00333468	39.1764	681.306	268.677	-2.05623	-1.78481	0.0808989	2.724	7.03322e-14	2.39444e-15	2.724	5.00127	319.064	220.958	1.70186	NaN	0.116101	0.215883	3.55219	0.468725	-2.43567	0.281408	1	45.7932	20	45	101	206	507	2899	-0.0130159	1.0478	-29.7931	1.09838	10.0394	1.45221	6.25192	1.45221	0.224687	1.45221	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	20	28	9	19	9	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.245135	0.154973	0.0316579	0.274953	0.0324932	178.999	NaN	NaN	-0.0292077	0.00625192	0.224687	NaN	NaN	12.121	428.06	5.34932	-4.56386	96.9936	NaN	NaN	NaN	137.733	14.644	12.1468	15	0.0044517	25.418	NaN	NaN	NaN	0	40.161	NaN	0.00000200527	5.01987e-7	0.00000133782	NaN	NaN	NaN	NaN	NaN	NaN	0.0650333	0.102	0.066	0.107	0.1	0.079	NaN	NaN	282.326	10.4229	NaN	289.283	287.187	288.13	290.65	290.25	288.25	290.059	286.728	287.232	022
DATA	2024-05-24T023000_smart3-01124.ghg	2024-05-24	03:00:00	145.1249	0	18000	18000	-0.0426424	0	NaN	-59.9971	0	NaN	38.6728	0	NaN	7.67959	0	NaN	0.865796	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.19765e-11	-2.22627e-13	NaN	NaN	15.0235	429.613	431.49	0	0	152.191	4.35207	4.3711	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	287.804	282.168	82037.4	1.01122	1007.64	0.0285961	0.0561036	0.00274248	357.128	1146.08	0.00271206	31.1607	788.956	265.977	-3.23131	-1.90331	0.131484	3.7525	-3.57851e-14	-1.46281e-15	3.7525	6.12707	329.54	210.499	2.008	NaN	0.205352	0.297629	10.9185	0.152493	-1.55141	0.286735	0	19.9255	-3.02378	6.83979	17.032	25.9749	36.4302	54.5791	-0.0412831	1.03293	-54.287	1.07096	30.3334	1.31614	7.93425	1.31614	0.679096	1.31614	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	13	19	4	3	0	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.327952	0.185841	0.0814644	0.27545	0.0124789	94.5461	NaN	NaN	-0.0532775	0.00793425	0.679096	NaN	NaN	12.1	429.612	4.3521	-7.2577	96.9941	NaN	NaN	NaN	133.067	13.8922	12.1479	15	0.0044517	25.3901	NaN	NaN	NaN	0	31.5764	NaN	0.00000218955	0.00000106155	0.0000018423	NaN	NaN	NaN	NaN	NaN	NaN	0.065	0.1015	0.0659667	0.106867	0.1	0.079	NaN	NaN	282.904	10.9611	NaN	288.923	286.853	287.8	290.553	290.25	288.25	289.747	286.416	286.862	132
DATA	2024-05-24T030000_smart3-01124.ghg	2024-05-24	03:30:00	145.1458	0	18000	18000	-0.134323	1	NaN	-74.9157	1	NaN	27.2567	1	NaN	11.3082	1	NaN	0.609764	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.17255e-10	2.96635e-12	NaN	NaN	14.9931	427.41	429.125	0.1	0	140.186	3.99629	4.01233	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.924	281.394	82067.6	1.01451	1007.44	0.0285071	0.0395127	0.00252615	328.054	1087.52	0.00249001	30.1653	759.469	264.881	-1.68885	-1.26347	0.0991116	2.11149	2.50151e-13	2.11601e-14	2.11149	5.50033	315.768	216.801	2.6904	NaN	0.36387	1.25133	48.6574	0.0342188	-2.74853	0.201443	0	37.8959	-5.75086	13.0085	32.3929	49.4012	69.2859	103.803	-0.132228	1.01585	-70.9885	1.03534	24.5648	1.1716	12.7629	1.1716	0.549544	1.1716	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800101199	899999999	899999999	89999	89999	89	89	13	22	8	17	2	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	1.90397	0.547422	0.0512751	0.560176	0.0292601	72.4842	NaN	NaN	-0.0694564	0.0127629	0.549544	NaN	NaN	12.1393	427.407	3.99631	-8.34938	97.0114	NaN	NaN	NaN	93	13.551	12.148	15	0.0049913	25.3558	NaN	NaN	NaN	0	30.0666	NaN	0.00000247465	0.00000128257	0.00000183398	NaN	NaN	NaN	NaN	NaN	NaN	0.065	0.101	0.0655333	0.1067	0.1	0.079	NaN	NaN	282.203	10.5049	NaN	288.593	286.573	287.49	290.493	290.25	288.25	289.441	286.131	286.551	025
DATA	2024-05-24T033000_smart3-01124.ghg	2024-05-24	04:00:00	145.1666	0	18000	18000	-0.0701001	1	NaN	-62.139	1	NaN	49.8628	1	NaN	12.4144	1	NaN	1.11478	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.36563e-10	-1.20065e-12	NaN	NaN	14.9586	425.235	426.831	0.1	0	131.515	3.73865	3.75268	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	286.65	280.722	82101	1.01745	1007.28	0.0284275	0.0722374	0.00236991	307.029	1038.89	0.00232925	29.5535	731.863	264.034	0.344928	-1.05109	0.0726246	1.10862	-1.88545e-13	-9.12938e-15	1.10862	4.05423	245.31	288.168	3.75608	NaN	0.262483	0.734208	22.0256	0.0755937	-1.2462	0.230991	0	40.0723	-6.08112	13.7555	34.2532	52.2382	73.2649	109.764	-0.0690125	1.01576	-57.6156	1.0333	43.6442	1.16732	12.9965	1.16732	0.975747	1.16732	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800100099	800100199	899999999	899999999	89999	89999	89	89	25	8	28	13	23	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.25359	1.19162	0.0232055	1.02473	0.0610907	341.025	NaN	NaN	-0.0562177	0.0129965	0.975747	NaN	NaN	12.14	425.229	3.73818	-9.28013	97.0252	NaN	NaN	NaN	124.233	12.9234	12.1487	15	0.0041819	25.3273	NaN	NaN	NaN	0	29.6143	NaN	0.0000026228	0.00000174575	0.00000228698	NaN	NaN	NaN	NaN	NaN	NaN	0.0649333	0.101	0.065	0.1063	0.1	0.079	NaN	NaN	281.662	9.34522	NaN	288.307	286.32	287.21	290.42	290.243	288.33	289.147	285.856	286.281	005
