DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_1	CHK__1_1_1	DAQM_T_1_1_1	VIN_1_1_1	DRM_POWER_STATUS_1_1_1	DRM_V_BATTERY_1_1_1	DRM_V_MAIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	Relay_1_1_1	Relay_2_1_1	Relay_3_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHFSENS_3_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWC_4_1_1	SWC_5_1_1	SWC_6_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TCNR4_C_1_1_1	TSENSOR_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	TS_4_1_1	TS_5_1_1	TS_6_1_1	TS_7_1_1	TS_8_1_1	TS_9_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[OTHER]	[V]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[W/m^2]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[C]	[C]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	079
DATA	2024-07-09T233000_smart3-01124.ghg	2024-07-10	00:00:00	192	0	18000	18000	-0.0310922	0	NaN	-42.0121	0	NaN	28.0678	0	NaN	5.91173	0	NaN	0.634292	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.94753e-11	-4.65906e-13	NaN	NaN	14.2166	417.452	421.663	0	0	340.102	9.98666	10.0874	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.522	291.925	82655.1	0.982682	1010.93	0.0293637	0.0411021	0.00612863	825.67	2160.13	0.00623664	38.2232	1334.46	277.368	2.60321	-0.716746	0.108491	2.70226	-1.22043e-14	-1.3699e-15	2.70226	4.7168	134.102	344.606	2.30094	NaN	0.177877	0.387212	10.1999	0.259709	-1.49681	0.237751	1	35.3184	15	34	74	145	341	1746	-0.0302947	1.02632	-38.4198	1.05583	23.9807	1.24966	6.16682	1.24966	0.54193	1.24966	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	13	8	1	15	3	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.270017	0.438904	0.0655029	0.557115	0.0231694	148.309	NaN	NaN	-0.0386742	0.00616682	0.54193	NaN	NaN	12.12	417.448	9.98643	4.14492	91.3704	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	143
DATA	2024-07-10T000000_smart3-01124.ghg	2024-07-10	00:30:00	192.0208	0	18000	18000	-0.0448721	0	NaN	-49.6466	0	NaN	29.5648	0	NaN	6.49806	0	NaN	0.668622	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.96228e-12	-9.47226e-14	NaN	NaN	14.0431	413.35	417.475	0	0	335.717	9.88159	9.98021	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.015	292.699	82675.6	0.980366	1010.89	0.0294343	0.0433267	0.00604962	817.186	2266.9	0.00617077	36.0486	1449.71	277.221	2.82176	-1.38551	0.128362	3.14618	9.30104e-14	-2.8215e-16	3.14618	5.54327	145.235	333.849	2.33828	NaN	0.213941	0.375494	15.0205	0.176359	-1.67925	0.234155	0	33.9304	-5.14907	11.6472	29.0032	44.2317	62.0355	92.9406	-0.043799	1.0245	-45.685	1.05269	25.9674	1.22512	7.04019	1.22512	0.587264	1.22512	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	3	13	2	21	18	23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.301079	0.358419	0.0914907	0.21848	0.00630076	52.6877	NaN	NaN	-0.0460979	0.00704019	0.587264	NaN	NaN	12.1261	413.349	9.88159	4.00309	91.3898	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	096
DATA	2024-07-10T003000_smart3-01124.ghg	2024-07-10	01:00:00	192.0416	0	18000	18000	-0.0907189	0	NaN	-89.4643	0	NaN	55.2542	0	NaN	18.4963	1	NaN	1.2506	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.61257e-11	1.52657e-12	NaN	NaN	13.5195	399.099	402.81	0	0	312.108	9.21352	9.2992	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.972	293.524	82667.2	0.977757	1010.55	0.0295203	0.0810387	0.00562418	761.86	2385.77	0.00575213	31.9335	1623.91	276.227	3.6639	0.948164	0.180014	3.78888	3.26456e-14	4.89115e-15	3.78888	7.87594	104.914	14.509	2.72321	NaN	0.304602	0.673156	24.0531	0.110131	-1.61914	0.297255	0	37.3867	-5.67358	12.8337	31.9576	48.7374	68.3549	102.408	-0.0886342	1.02352	-82.2638	1.05151	48.8389	1.20803	18.3502	1.20803	1.1054	1.20803	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	13	17	2	12	6	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80	0.626094	0.574694	0.145523	0.633107	0.147421	269.845	NaN	NaN	-0.0832572	0.0183502	1.1054	NaN	NaN	12.13	399.073	9.21251	2.99427	81.6898	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	172
DATA	2024-07-10T010000_smart3-01124.ghg	2024-07-10	01:30:00	192.0624	0	18000	18000	-0.158378	1	NaN	-95.5381	1	NaN	47.4037	1	NaN	21.2312	1	NaN	1.07271	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.71171e-10	-3.92284e-12	NaN	NaN	13.3879	394.792	398.397	0	0	306.82	9.04771	9.13032	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.537	293.326	82699.9	0.978866	1010.45	0.0294887	0.0695113	0.00552889	748.445	2356.75	0.00564826	31.7576	1608.3	275.976	1.5844	-0.254976	0.0900959	1.60731	7.59771e-14	-1.27855e-14	1.60731	9.00498	170.982	350.858	3.21333	NaN	0.40224	3.23665	51.8811	0.051059	-2.01541	0.240134	0	55.9144	-8.48523	19.1936	47.7948	72.8901	102.229	153.158	-0.156502	1.01198	-90.6666	1.02454	45.4922	1.13073	22.3008	1.13073	1.02945	1.13073	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	3	11	5	5	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73	3.91789	2.46263	0.092773	2.40127	0.185589	342.983	NaN	NaN	-0.0916663	0.0223008	1.02945	NaN	NaN	12.1018	394.738	9.0457	2.73826	78.5598	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	044
DATA	2024-07-10T013000_smart3-01124.ghg	2024-07-10	02:00:00	192.0833	0	18000	18000	-0.0097149	1	NaN	-22.4701	0	NaN	10.1478	1	NaN	6.80575	1	NaN	0.229125	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.24352e-11	-7.73025e-13	NaN	NaN	13.6676	399.792	403.638	0	0	325.739	9.52823	9.61989	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	295.652	291.014	82714.6	0.986638	1010.66	0.0292511	0.0148473	0.00586982	788.334	2040.18	0.00594931	38.6405	1251.84	276.71	1.35998	-0.169114	0.0421638	1.3711	2.82741e-14	-2.37314e-15	1.3711	4.00862	128.189	352.912	1.76223	NaN	0.0992293	0.302798	3.31214	0.799785	-2.21428	0.227093	1	36.4477	16	35	76	152	357	1854	-0.00938065	1.03563	-20.5029	1.07317	8.02141	1.3923	5.58245	1.3923	0.181113	1.3923	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800100099	800110199	899999999	899999999	89999	89999	89	89	0	1	5	4	7	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73	0.348634	0.237609	0.0193526	2.3571	0.377768	429.377	NaN	NaN	-0.0205615	0.00558245	0.181113	NaN	NaN	12.1027	399.735	9.52614	3.47008	78.4226	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	090
DATA	2024-07-10T020000_smart3-01124.ghg	2024-07-10	02:30:00	192.1041	0	18000	18000	-0.0220111	1	NaN	-28.6747	0	NaN	18.3992	0	NaN	5.78813	0	NaN	0.41481	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.06214e-11	2.83307e-13	NaN	NaN	13.9067	404.598	409.012	0	0	370.935	10.7919	10.9097	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	295.168	289.462	82718.1	0.991495	1011.32	0.0290938	0.0268797	0.00668425	892.926	1849.15	0.00674158	48.2884	956.225	278.489	1.86576	0.263744	0.0633474	1.88538	1.68262e-13	7.63765e-16	1.88538	5.02269	107.572	8.04601	1.92546	NaN	0.148996	0.420127	8.7884	0.30142	-1.55847	0.191931	1	27.5637	12	27	57	113	264	1340	-0.021518	1.02292	-26.4622	1.04807	15.9805	1.24064	5.63754	1.24064	0.360281	1.24064	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	810100099	899999999	899999999	89999	89999	89	89	11	27	9	3	9	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73	0.387126	0.415234	0.0378938	0.801678	0.361018	136.196	NaN	NaN	-0.0263906	0.00563754	0.360281	NaN	NaN	12.11	404.561	10.7919	5.2668	77.9986	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	017
DATA	2024-07-10T023000_smart3-01124.ghg	2024-07-10	03:00:00	192.1249	0	18000	18000	-0.0586943	0	NaN	-52.1711	0	NaN	19.5428	0	NaN	4.96345	0	NaN	0.441606	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.03325e-11	3.08751e-13	NaN	NaN	13.0591	383.069	387.504	0	0	390.227	11.4467	11.5792	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	296.929	291.844	82717.4	0.983151	1011.73	0.0293335	0.028616	0.00703188	947.095	2149.18	0.00715239	44.0678	1202.08	279.34	2.74241	-0.453103	0.0922398	2.78112	3.30785e-14	7.9121e-16	2.78112	5.752	127.475	350.618	1.90065	NaN	0.244336	0.506616	21.3051	0.124336	-2.66958	0.214663	0	35.7109	-5.41927	12.2584	30.5251	46.5528	65.2909	97.8177	-0.057563	1.01965	-49.0473	1.04251	18.8418	1.19005	6.00077	1.19005	0.425764	1.19005	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	9	11	3	2	0	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73	0.652073	0.256149	0.105011	0.276693	0.00585097	28.0329	NaN	NaN	-0.0493094	0.00600077	0.425764	NaN	NaN	12.1161	383.068	11.4467	6.12157	76.4985	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	078
DATA	2024-07-10T030000_smart3-01124.ghg	2024-07-10	03:30:00	192.1458	0	18000	18000	-0.0996371	0	NaN	-61.7811	0	NaN	23.946	0	NaN	4.18397	0	NaN	0.541425	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.16871e-11	-1.5888e-12	NaN	NaN	13.0304	383.045	387.609	0	0	400.541	11.7744	11.9147	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.221	292.46	82714.9	0.980928	1011.93	0.0293963	0.0350843	0.00721774	974.18	2233.42	0.00735807	43.6183	1259.24	279.749	3.65575	-1.33181	0.13718	3.89321	-3.67367e-14	-3.96665e-15	3.89321	8.32858	139.282	339.983	2.01927	NaN	0.318707	0.830118	39.9292	0.0663424	-2.58002	0.195289	0	34.6513	-5.25847	11.8947	29.6194	45.1715	63.3537	94.9153	-0.0976106	1.02076	-57.8256	1.04616	23.1411	1.18551	5.69342	1.18551	0.523225	1.18551	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	13	21	2	4	8	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73	0.935925	0.531672	0.192639	0.17992	0.00346574	31.318	NaN	NaN	-0.058255	0.00569342	0.523225	NaN	NaN	12.12	383.045	11.7745	6.53038	75.5042	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	158
DATA	2024-07-10T033000_smart3-01124.ghg	2024-07-10	04:00:00	192.1666	0	18000	18000	-0.10894	0	NaN	-57.0953	0	NaN	21.7824	0	NaN	4.03733	0	NaN	0.492467	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-7.46767e-11	-2.31641e-12	NaN	NaN	13.5801	399.091	404.094	0	0	421.242	12.3795	12.5347	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	297.078	292.379	82715.2	0.980978	1012.26	0.029388	0.0319119	0.00759079	1024.25	2222.21	0.00773798	46.0914	1197.96	280.479	4.28401	-1.28775	0.178202	4.47692	-1.38317e-14	-5.499e-15	4.47692	8.33672	135.792	343.27	2.28124	NaN	0.333246	0.791644	49.3978	0.0536259	-2.62117	0.172538	0	34.4321	-5.2252	11.8194	29.432	44.8857	62.9529	94.3148	-0.106581	1.02214	-53.283	1.04967	21.1359	1.19119	5.46625	1.19119	0.47785	1.19119	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	1	10	1	0	0	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	68	0.911592	0.457713	0.213984	0.138435	0.0149258	36.2358	NaN	NaN	-0.0536584	0.00546625	0.47785	NaN	NaN	12.0824	399.09	12.3794	7.26054	71.0706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	173
