DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_1	CHK__1_1_1	DAQM_T_1_1_1	VIN_1_1_1	DRM_POWER_STATUS_1_1_1	DRM_V_BATTERY_1_1_1	DRM_V_MAIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	Relay_1_1_1	Relay_2_1_1	Relay_3_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHFSENS_3_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWC_4_1_1	SWC_5_1_1	SWC_6_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TCNR4_C_1_1_1	TC_1_1_1	TSENSOR_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	TS_4_1_1	TS_5_1_1	TS_6_1_1	TS_7_1_1	TS_8_1_1	TS_9_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[OTHER]	[V]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[W/m^2]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[C]	[K]	[C]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	091
DATA	2024-08-28T233000_smart3-01124.ghg	2024-08-29	00:00:00	242	0	18000	18000	-0.0215944	0	NaN	-8.99169	0	NaN	4.9695	0	NaN	4.62714	0	NaN	0.111914	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.35952e-13	-9.5829e-15	NaN	NaN	14.6098	422.812	430.199	0.1	0	593.361	17.172	17.472	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.487	288.316	82827.8	0.994343	1014.85	0.0289402	0.00725201	0.0106924	1422.7	1718.36	0.0107532	82.7942	295.657	285.378	1.35893	-1.1697	0.0144147	1.79307	1.30658e-14	-1.61502e-17	1.79307	3.93891	160.227	319.28	0.460611	NaN	0.147368	0.180284	27.1719	0.0974904	-1.80938	0.0604646	1	24.5959	11	23	47	88	193	840	-0.02129	1.0143	-8.47096	1.03	4.93506	1.15469	4.35732	1.15469	0.111138	1.15469	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000199	800010199	899999999	899999999	89999	89999	89	89	3	9	1	19	6	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.174806	0.144907	0.0408557	0.115041	0.0182239	19.6083	NaN	NaN	-0.0083945	0.00435732	0.111138	NaN	NaN	12.0921	422.81	17.1719	12.1574	96.5378	0.597559	93	23.6818	12.1363	15	12.6844	25.426	334.738	394.461	-0.00117483	0	80.1047	-63.6202	3.61259e-7	0.00000365551	0.00000253481	0.00006958	0.00006913	0.00006999	-14.0866	-7.65391	-10.6888	0.220033	0.182233	0.183	0.099	0.0701	0.048	-9.66837	-5.77063	289.038	18.4195	288.93	16.0634	294.027	294.57	293.623	297.83	297.55	296.05	293.959	293.742	294.507	019
DATA	2024-08-29T000000_smart3-01124.ghg	2024-08-29	00:30:00	242.0208	0	18000	18000	-0.0129673	0	NaN	-8.88021	0	NaN	3.87218	0	NaN	5.70354	0	NaN	0.0871534	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.65182e-11	6.64442e-13	NaN	NaN	14.7537	426.294	433.731	0.1	0	593.463	17.1476	17.4467	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.146	287.737	82793.6	0.995942	1014.83	0.0288941	0.00564754	0.0106942	1420.09	1655.44	0.0107378	85.7834	235.346	285.35	0.687951	-1.57037	0.0319231	1.71475	4.81534e-14	1.1196e-15	1.71475	3.39694	185.826	293.657	1.06672	NaN	0.114106	0.0942864	12.7679	0.207473	-2.29334	0.077	1	33.9119	15	32	69	136	315	1565	-0.0127327	1.01842	-8.35866	1.0386	3.84272	1.19991	5.09781	1.19991	0.0864903	1.19991	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	10	2	1	11	6	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.097348	0.0706147	0.0206102	0.033976	0.0299702	13.8675	NaN	NaN	-0.00827011	0.00509781	0.0864903	NaN	NaN	12.13	426.293	17.1476	12.1296	96.5327	0.735192	104.767	23.0427	12.1279	15	12.6837	25.3951	331.614	389.999	-0.00112049	0	83.599	-60.8608	0.0118941	0.0120733	0.0120517	0.00006958	0.00006913	0.00006999	-14.8632	-7.8702	-11.6808	0.22	0.182	0.183	0.099	0.0701	0.048	-9.2975	-6.82179	288.359	17.6734	288.052	15.1273	293.83	294.353	293.513	297.75	297.55	296.05	293.763	293.634	294.296	208
DATA	2024-08-29T003000_smart3-01124.ghg	2024-08-29	01:00:00	242.0416	0	18000	18000	-0.0208931	0	NaN	-8.61957	0	NaN	9.01804	0	NaN	4.54302	0	NaN	0.203074	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.45208e-11	5.8951e-13	NaN	NaN	14.5322	420.65	427.959	0.1	0	589.973	17.0774	17.3741	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.531	288.245	82790.9	0.994178	1014.8	0.0289461	0.0131592	0.0106313	1414.23	1710.61	0.0106936	82.6745	296.372	285.287	0.858085	-1.76079	0.0450613	1.95927	1.27935e-13	9.99215e-16	1.95927	3.40603	183.487	295.981	1.31786	NaN	0.144967	0.163394	26.9731	0.0982091	-0.955814	0.0589351	1	28.4069	12	26	54	103	225	987	-0.0205891	1.01476	-7.88586	1.03127	8.33219	1.15703	4.2249	1.15703	0.187629	1.15703	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	9	5	0	10	12	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.140451	0.15241	0.0339267	0.0405115	0.0183707	14.6022	NaN	NaN	-0.0078164	0.0042249	0.187629	NaN	NaN	12.1358	420.649	17.0774	12.0668	96.5316	0.797543	134.8	22.4427	12.1377	15	12.6829	25.3799	345.33	393.252	-0.00108366	0	80.6899	-49.6275	9.65493e-7	0.00000443811	0.00000267599	0.00006958	0.00006913	0.00006999	-16.1052	-8.64943	-13.4661	0.22	0.182	0.182967	0.099	0.0700333	0.048	-8.42299	-6.71775	288.894	18.1126	288.78	15.3231	293.627	294.127	293.39	297.723	297.55	296.05	293.565	293.514	294.078	112
DATA	2024-08-29T010000_smart3-01124.ghg	2024-08-29	01:30:00	242.0624	0	18000	18000	-0.0136582	0	NaN	-10.438	0	NaN	8.40177	0	NaN	4.9856	0	NaN	0.189195	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.54618e-11	-2.64683e-12	NaN	NaN	14.6302	423.502	430.88	0.1	0	591.546	17.1235	17.4219	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.443	288.237	82785.7	0.994127	1014.82	0.0289471	0.0122598	0.0106597	1417.96	1709.69	0.0107226	82.9368	291.727	285.327	0.516279	-1.84523	0.0345671	1.91641	-6.15461e-14	-4.47442e-15	1.91641	3.43	191.016	285.631	1.03352	NaN	0.117213	0.308564	11.7734	0.224999	-1.24236	0.0882697	1	38.4313	17	37	80	157	366	1854	-0.013391	1.01995	-9.59945	1.04203	7.60125	1.21044	4.4865	1.21044	0.171168	1.21044	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800001099	899999999	899999999	89999	89999	89	89	3	7	2	4	4	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.185224	0.405858	0.0260454	0.0942993	0.0428847	12.6295	NaN	NaN	-0.00951514	0.0044865	0.171168	NaN	NaN	12.14	423.501	17.1235	12.1069	96.53	0.811598	111.167	22.1711	12.1379	15	12.6827	25.3617	346.133	392.547	-0.00110691	0	81.3396	-48.0593	0.00000106101	0.00000453184	0.00000312151	0.00006958	0.00006913	0.00006999	-16.4159	-9.06058	-14.6147	0.22	0.182	0.1824	0.099	0.0702	0.048	-8.77615	-7.1309	288.806	18.1281	288.673	15.4183	293.477	293.933	293.297	297.65	297.55	296.05	293.407	293.404	293.885	190
DATA	2024-08-29T013000_smart3-01124.ghg	2024-08-29	02:00:00	242.0833	0	18000	18000	-0.0101572	0	NaN	-5.89862	0	NaN	8.23742	0	NaN	5.27921	0	NaN	0.185514	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.28505e-12	-1.70918e-13	NaN	NaN	14.9732	433.587	441.217	0.1	0	597.234	17.2945	17.5988	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.352	288.349	82787.6	0.993701	1014.92	0.0289576	0.0120213	0.0107622	1432.15	1721.98	0.0108304	83.1688	289.831	285.478	1.09557	-1.09716	0.0108777	1.55053	-6.06167e-14	-2.86182e-16	1.55053	2.79442	164.165	314.958	0.401961	NaN	0.101102	0.123281	13.3702	0.198127	-0.716076	0.0578502	1	34.7267	15	33	71	139	321	1585	-0.00998779	1.01696	-5.27748	1.03528	7.26594	1.18812	4.63123	1.18812	0.163635	1.18812	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800000099	899999999	899999999	89999	89999	89	89	4	6	1	16	8	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.0804593	0.14777	0.0183332	0.0412624	0.0237829	27.8301	NaN	NaN	-0.00523286	0.00463123	0.163635	NaN	NaN	12.1582	433.59	17.2945	12.258	96.5248	0.774509	134.233	22.0537	12.1378	15	12.6811	25.3419	366.231	395.533	-0.00115028	0	82.0977	-31.002	9.78651e-7	0.00000477352	0.00000318521	0.00006958	0.00006913	0.00006999	-16.4324	-9.21697	-15.2645	0.2198	0.181467	0.182033	0.099	0.0701667	0.048	-7.47937	-5.77874	288.819	18.2519	289.288	15.5463	293.343	293.78	293.213	297.6	297.55	296.05	293.274	293.306	293.718	027
DATA	2024-08-29T020000_smart3-01124.ghg	2024-08-29	02:30:00	242.1041	0	18000	18000	-0.0228467	0	NaN	-15.7623	0	NaN	13.0408	0	NaN	5.5391	0	NaN	0.293659	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.43081e-11	-5.77222e-13	NaN	NaN	14.8731	430.528	438.138	0	0	600.014	17.3685	17.6755	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.404	288.241	82787.6	0.994045	1014.96	0.0289468	0.0190291	0.0108123	1438.28	1710.06	0.010877	84.1069	271.781	285.543	1.60388	0.193283	0.0273752	1.61571	-1.90806e-13	-9.62015e-16	1.61571	5.20218	119.786	6.87157	0.970816	NaN	0.151603	0.710373	16.8703	0.157022	-1.2087	0.103052	1	20.4191	9	19	40	77	173	801	-0.0224883	1.01593	-14.5865	1.03322	12.1288	1.17559	5.28994	1.17559	0.273122	1.17559	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	5	6	1	16	10	16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.34076	1.04194	0.0380503	0.190226	0.109435	113.366	NaN	NaN	-0.0144576	0.00528994	0.273122	NaN	NaN	12.143	430.528	17.3686	12.3214	96.5236	0.599835	142.033	22.1	12.1379	15	12.6815	25.3209	348.213	393.86	-0.00112598	0	82.8842	-48.8778	0.00000117477	0.00000478112	0.00000300409	0.00006958	0.00006913	0.00006999	-15.8417	-9.14106	-15.4803	0.219367	0.181033	0.182	0.099	0.0700667	0.048	-8.14156	-4.91104	288.752	18.2431	288.841	15.6234	293.25	293.643	293.15	297.54	297.55	296.05	293.179	293.229	293.583	064
DATA	2024-08-29T023000_smart3-01124.ghg	2024-08-29	03:00:00	242.1249	0	18000	18000	-0.0124931	1	NaN	-5.14732	1	NaN	2.08626	1	NaN	4.7035	1	NaN	0.0469709	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.57795e-11	1.03206e-12	NaN	NaN	14.8457	429.398	436.909	0	0	594.336	17.1906	17.4913	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.228	288.051	82798	0.994892	1014.86	0.0289241	0.00304371	0.0107099	1423.73	1689.32	0.0107649	84.2785	265.586	285.389	1.07928	-0.342613	0.00818558	1.13238	-3.01987e-14	1.7365e-15	1.13238	2.38911	138.905	342.388	0.414174	NaN	0.112059	0.204315	20.8643	0.126964	-2.46725	0.045494	1	18.8411	8	18	37	69	153	684	-0.0123248	1.01366	-4.90349	1.02718	2.17747	1.1562	4.27787	1.1562	0.0490244	1.1562	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	801101099	899999999	899999999	89999	89999	89	89	4	6	12	8	0	23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.18314	0.220096	0.00539277	0.0745854	0.138272	15.5844	NaN	NaN	-0.00485652	0.00427787	0.0490244	NaN	NaN	12.09	429.395	17.1906	12.1685	96.5285	0.597089	140.5	21.9794	12.138	15	12.6816	25.2989	348.55	390.986	-0.00112807	0	83.5691	-45.7125	0.00000114992	0.00000481511	0.00000295086	0.00006958	0.00006913	0.00006999	-15.8905	-9.08574	-15.5805	0.219	0.181	0.182	0.099	0.0701	0.048	-8.12078	-4.84473	288.464	18.0865	288.189	15.333	293.12	293.52	293.063	297.45	297.55	296.05	293.06	293.152	293.456	239
DATA	2024-08-29T030000_smart3-01124.ghg	2024-08-29	03:30:00	242.1458	0	18000	18000	-0.0064887	1	NaN	-4.4782	1	NaN	5.67377	1	NaN	7.28486	1	NaN	0.127746	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.66371e-11	6.59823e-13	NaN	NaN	15.0583	435.641	443.3	-0.1	0	597.207	17.2774	17.5811	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.28	288.091	82791.8	0.994646	1014.91	0.0289303	0.00827797	0.0107617	1430.81	1693.68	0.0108196	84.4792	262.872	285.464	1.11518	-0.0531228	0.00990179	1.11649	5.77301e-14	1.10485e-15	1.11649	2.14029	126.761	357.273	0.508146	NaN	0.080769	0.222715	8.97959	0.295002	-0.789282	0.0549244	1	31.3451	14	30	65	129	303	1558	-0.00637159	1.01838	-4.03413	1.03749	4.92748	1.21445	6.14361	1.21445	0.110944	1.21445	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800100099	800100199	899999999	899999999	89999	89999	89	89	3	2	8	3	4	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.166687	0.271979	0.00676432	0.224882	0.334221	144.233	NaN	NaN	-0.00399628	0.00614361	0.110944	NaN	NaN	12.0958	435.633	17.2772	12.2414	96.5242	0.613912	124.533	21.8073	12.1382	15	12.6811	25.2741	361.291	392.979	-0.00106772	0	85.3301	-34.3418	0.0000013019	0.0000047761	0.00000321742	0.00006958	0.00006913	0.00006999	-16.0586	-9.14009	-16.0058	0.219	0.181	0.182	0.099	0.0700333	0.048	-6.8522	-4.19813	288.302	18.0316	288.675	15.1123	293.007	293.39	292.973	297.4	297.55	296.05	292.938	293.069	293.322	119
DATA	2024-08-29T033000_smart3-01124.ghg	2024-08-29	04:00:00	242.1666	0	18000	18000	-0.00339162	1	NaN	0.80102	2	NaN	0.671186	2	NaN	1.65582	1	NaN	0.0151146	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.1391e-11	1.2345e-12	NaN	NaN	15.3534	444.602	452.514	-0.2	0	603.798	17.4847	17.7958	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	294.348	288.277	82766.5	0.993622	1015.03	0.0289578	0.000979429	0.0108804	1447.53	1714.12	0.0109503	84.4477	266.585	285.641	0.823956	-0.333509	0.0122199	0.888977	-3.95701e-14	2.04456e-15	0.888977	1.93448	145.236	337.964	0.787612	NaN	0.0584242	0.102317	-18.997	-0.139443	1.19344	-0.0135942	1	37.2958	16	30	52	81	136	339	-0.00334202	1.01484	0.823422	1.01947	0.535335	1.09385	1.46893	1.09385	0.0120554	1.09385	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	3	13	11	1	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93	0.105165	0.096652	0.00281681	0.073071	0.240753	94.7767	NaN	NaN	0.000816441	0.00146893	0.0120554	NaN	NaN	12.1	444.6	17.4846	12.4193	96.5207	0.595035	118.533	21.7482	12.1382	15	12.6809	25.25	361.839	393.403	-0.00110247	0	84.6404	-34.5955	0.00000145499	0.00000498162	0.00000324452	0.00006958	0.00006913	0.00006999	-15.6203	-9.03739	-16.1589	0.219	0.181	0.182	0.0988667	0.0701667	0.048	-7.48928	-4.45698	288.6	18.2936	288.705	15.401	292.94	293.283	292.913	297.35	297.55	296.097	292.854	292.999	293.21	152
