FileTime,File Name,GHG Time,SF3 Time,Time Offset (s)
2025-01-01 00:00:00,2025-01-01T000000_smart3-01129.ghg,1735716010,1735716011,1
2025-01-01 00:30:00,2025-01-01T003000_smart3-01129.ghg,1735717810,1735717810,0
2025-01-01 01:00:00,2025-01-01T010000_smart3-01129.ghg,1735719616,1735719616,0
2025-01-01 01:30:00,2025-01-01T013000_smart3-01129.ghg,1735721409,1735721410,1
2025-01-01 02:00:00,2025-01-01T020000_smart3-01129.ghg,1735723210,1735723210,0
2025-01-01 02:30:00,2025-01-01T023000_smart3-01129.ghg,1735725017,1735725017,0
2025-01-01 03:00:00,2025-01-01T030000_smart3-01129.ghg,1735726809,1735726810,1
2025-01-01 03:30:00,2025-01-01T033000_smart3-01129.ghg,1735728610,1735728610,0
2025-01-01 04:00:00,2025-01-01T040000_smart3-01129.ghg,1735730415,1735730415,0
2025-01-01 04:30:00,2025-01-01T043000_smart3-01129.ghg,1735732211,1735732211,0
2025-01-01 05:00:00,2025-01-01T050000_smart3-01129.ghg,1735734009,1735734010,1
2025-01-01 05:30:00,2025-01-01T053000_smart3-01129.ghg,1735735814,1735735815,1
2025-01-01 06:00:00,2025-01-01T060000_smart3-01129.ghg,1735737609,1735737609,0
2025-01-01 06:30:00,2025-01-01T063000_smart3-01129.ghg,1735739416,1735739416,0
2025-01-01 07:00:00,2025-01-01T070000_smart3-01129.ghg,1735741210,1735741210,0
2025-01-01 07:30:00,2025-01-01T073000_smart3-01129.ghg,1735743010,1735743010,0
2025-01-01 08:00:00,2025-01-01T080000_smart3-01129.ghg,1735744810,1735744810,0
2025-01-01 08:30:00,2025-01-01T083000_smart3-01129.ghg,1735746610,1735746610,0
2025-01-01 09:00:00,2025-01-01T090000_smart3-01129.ghg,1735748410,1735748410,0
2025-01-01 09:30:00,2025-01-01T093000_smart3-01129.ghg,1735750209,1735750209,0
2025-01-01 10:00:00,2025-01-01T100000_smart3-01129.ghg,1735752018,1735752019,1
2025-01-01 10:30:00,2025-01-01T103000_smart3-01129.ghg,1735753810,1735753810,0
2025-01-01 11:00:00,2025-01-01T110000_smart3-01129.ghg,1735755610,1735755610,0
2025-01-01 11:30:00,2025-01-01T113000_smart3-01129.ghg,1735757411,1735757412,1
2025-01-01 12:00:00,2025-01-01T120000_smart3-01129.ghg,1735759209,1735759209,0
2025-01-01 12:30:00,2025-01-01T123000_smart3-01129.ghg,1735761010,1735761010,0
2025-01-01 13:00:00,2025-01-01T130000_smart3-01129.ghg,1735762809,1735762809,0
2025-01-01 13:30:00,2025-01-01T133000_smart3-01129.ghg,1735764610,1735764610,0
2025-01-01 14:00:00,2025-01-01T140000_smart3-01129.ghg,1735766409,1735766409,0
2025-01-01 14:30:00,2025-01-01T143000_smart3-01129.ghg,1735768215,1735768215,0
2025-01-01 15:00:00,2025-01-01T150000_smart3-01129.ghg,1735770016,1735770016,0
2025-01-01 15:30:00,2025-01-01T153000_smart3-01129.ghg,1735771810,1735771810,0
2025-01-01 16:00:00,2025-01-01T160000_smart3-01129.ghg,1735773610,1735773611,1
2025-01-01 16:30:00,2025-01-01T163000_smart3-01129.ghg,1735775410,1735775410,0
2025-01-01 17:00:00,2025-01-01T170000_smart3-01129.ghg,1735777214,1735777214,0
2025-01-01 17:30:00,2025-01-01T173000_smart3-01129.ghg,1735779010,1735779010,0
2025-01-01 18:00:00,2025-01-01T180000_smart3-01129.ghg,1735780810,1735780810,0
2025-01-01 18:30:00,2025-01-01T183000_smart3-01129.ghg,1735782616,1735782617,1
2025-01-01 19:00:00,2025-01-01T190000_smart3-01129.ghg,1735784410,1735784410,0
2025-01-01 19:30:00,2025-01-01T193000_smart3-01129.ghg,1735786210,1735786210,0
2025-01-01 20:00:00,2025-01-01T200000_smart3-01129.ghg,1735788020,1735788020,0
2025-01-01 20:30:00,2025-01-01T203000_smart3-01129.ghg,1735789810,1735789810,0
2025-01-01 21:00:00,2025-01-01T210000_smart3-01129.ghg,1735791615,1735791615,0
2025-01-01 21:30:00,2025-01-01T213000_smart3-01129.ghg,1735793410,1735793410,0
2025-01-01 22:00:00,2025-01-01T220000_smart3-01129.ghg,1735795210,1735795210,0
2025-01-01 22:30:00,2025-01-01T223000_smart3-01129.ghg,1735797016,1735797016,0
2025-01-01 23:00:00,2025-01-01T230000_smart3-01129.ghg,1735798810,1735798810,0
2025-01-01 23:30:00,2025-01-01T233000_smart3-01129.ghg,1735800617,1735800618,1
2025-01-02 00:00:00,2025-01-02T000000_smart3-01129.ghg,1735802412,1735802412,0
2025-01-02 00:30:00,2025-01-02T003000_smart3-01129.ghg,1735804210,1735804210,0
