DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ALB_1_1_1	CHK__1_1_1	DAQM_T_1_1_1	VIN_1_1_1	DRM_POWER_STATUS_1_1_1	DRM_V_BATTERY_1_1_1	DRM_V_MAIN_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	RH_1_1_1	RN_1_1_1	Relay_1_1_1	Relay_2_1_1	Relay_3_1_1	SHFSENS_1_1_1	SHFSENS_2_1_1	SHFSENS_3_1_1	SHF_1_1_1	SHF_2_1_1	SHF_3_1_1	SWC_1_1_1	SWC_2_1_1	SWC_3_1_1	SWC_4_1_1	SWC_5_1_1	SWC_6_1_1	SWIN_1_1_1	SWOUT_1_1_1	TA_1_1_1	TCNR4_C_1_1_1	TC_1_1_1	TSENSOR_1_1_1	TS_1_1_1	TS_2_1_1	TS_3_1_1	TS_4_1_1	TS_5_1_1	TS_6_1_1	TS_7_1_1	TS_8_1_1	TS_9_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	[%]	[OTHER]	[C]	[V]	[OTHER]	[V]	[V]	[W/m^2]	[W/m^2]	[µmol/m^2/s]	[m]	[%]	[W/m^2]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[OTHER]	[W/m^2]	[W/m^2]	[W/m^2]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[m^3/m^3]	[W/m^2]	[W/m^2]	[K]	[C]	[K]	[C]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	[K]	091
DATA	2024-06-24T233000_smart3-01140.ghg	2024-06-25	00:00:00	177	0	18000	18000	0.0117857	1	NaN	13.4993	0	NaN	193.181	0	NaN	0.894516	0	NaN	4.42572	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.21534e-11	-1.14486e-12	NaN	NaN	13.7733	420.072	424.92	0.1	0	374.075	11.4089	11.5406	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	308.99	305.995	83413.9	0.945591	1012.12	0.0304991	0.286786	0.00674082	951.918	4972.84	0.00712868	19.1423	4020.92	279.413	-0.408191	0.970821	0.0242859	1.05342	5.16492e-14	-3.06052e-15	1.05342	2.75411	78.0609	112.805	1.32103	NaN	0.111642	0.303978	-7.90477	-0.337455	0.0698792	-0.126343	1	17.2162	8	14	23	35	58	137	0.0116269	1.01367	24.7889	1.01921	173.954	1.09353	-1.46301	1.09353	3.98524	1.09353	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800001099	899999999	899999999	89999	89999	89	89	1	2	1	14	6	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.252083	0.317571	0.0383026	0.187467	0.000976242	1761.87	NaN	NaN	0.0259014	-0.00146301	3.98524	NaN	NaN	12.15	420.072	11.4084	6.11864	98.8797	0.218409	148.8	43.7661	12.1981	15	12.9707	25.8707	339.553	487.212	989.685	0	0.116115	270.908	-0.00000736553	-0.00000756727	-0.00000906048	0.000049619	0.0000594933	0.0000620999	33.4104	29.6379	32.4999	NaN	0.262667	0.235833	0.176	0.103	0.174	538.427	119.86	233.266	36.4861	305.2	34.4068	NaN	297.55	302.167	295.32	291.953	290.85	296.48	297.943	298.933	103
DATA	2024-06-25T000000_smart3-01140.ghg	2024-06-25	00:30:00	177.0208	0	18000	18000	-0.00479593	2	NaN	-15.2248	1	NaN	47.9046	1	NaN	8.57837	1	NaN	1.09533	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.31748e-10	-3.62507e-12	NaN	NaN	14.0388	425.427	430.465	-0.1	0	386.281	11.7057	11.8443	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	306.898	303.991	83402	0.951585	1012.21	0.0303035	0.0709774	0.00696078	976.54	4439.47	0.00731494	21.9968	3462.93	279.784	-0.184255	0.631807	0.0334802	0.658977	-4.54027e-14	-9.38454e-15	0.658977	2.26908	91.1498	106.258	2.91224	NaN	0.0709925	0.236119	1.802	1.4803	-0.317816	0.222649	1	17.0088	7	16	33	62	137	612	-0.00460781	1.04083	-12.0063	1.08256	32.204	1.4974	5.90509	1.4974	0.736338	1.4974	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800101099	800101099	899999999	899999999	89999	89999	89	89	1	0	0	1	5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.336143	0.125772	0.010323	0.236849	0.0939417	1652.41	NaN	NaN	-0.0124649	0.00590509	0.736338	NaN	NaN	12.15	425.417	11.7047	6.49739	98.9937	0.108619	145.533	43.6016	12.1894	15	12.9721	25.7965	352.277	444.335	135.656	0	0.11242	-21.2583	0.0124404	0.0121466	0.0123645	0.000049619	0.0000554992	0.0000620999	30.9501	30.7482	32.4468	NaN	0.262	0.234467	0.1768	0.103	0.174	80.5619	9.7625	233.263	34.2615	296.188	32.9331	NaN	297.363	300.813	295.537	292.05	290.85	296.313	297.859	298.69	233
DATA	2024-06-25T003000_smart3-01140.ghg	2024-06-25	01:00:00	177.0416	0	18000	18000	-0.00508904	2	NaN	4.14851	1	NaN	-6.29454	1	NaN	-0.67168	2	NaN	-0.143819	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.78594e-11	-1.06862e-12	NaN	NaN	14.1698	428.441	433.685	0.3	0	399.957	12.0932	12.2412	0.3	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	306.356	303.249	83383.9	0.953566	1012.4	0.0302361	-0.00931949	0.00720722	1008.64	4255.06	0.00755818	23.7046	3246.42	280.255	1.06164	0.570036	0.0152931	1.2051	2.65791e-14	-2.67183e-15	1.2051	2.49238	177.598	28.2331	0.727125	NaN	0.0730538	0.254727	-7.20538	-0.37021	-0.659064	-0.0588227	1	35.0451	16	28	46	70	113	259	-0.00502407	1.01293	3.69922	1.01933	-5.90994	1.09417	-0.741062	1.09417	-0.135032	1.09417	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800111199	899999999	899999999	89999	89999	89	89	0	1	9	19	16	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.42041	0.0869786	0.0020646	0.124125	0.120445	2043.01	NaN	NaN	0.00383183	-0.000741062	-0.135032	NaN	NaN	12.1612	428.439	12.0929	6.96354	98.9602	0.112264	142.7	41.2912	12.2023	15	12.973	25.7949	387.802	444.381	151.699	0	0.11143	3.71825	-0.00000578374	-0.00000601847	-0.00000740592	0.000049619	0.0000545007	0.0000620999	24.901	27.7457	28.9977	NaN	0.261367	0.233267	0.177	0.103033	0.174	68.6493	8.352	233.262	33.3133	296.612	31.2217	NaN	296.903	299.377	295.74	292.06	290.85	296.039	297.573	298.154	051
DATA	2024-06-25T010000_smart3-01140.ghg	2024-06-25	01:30:00	177.0624	0	18000	18000	-0.100207	1	NaN	-85.9997	0	NaN	184.735	0	NaN	9.97122	1	NaN	4.2098	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.13141e-10	-3.56048e-12	NaN	NaN	14.4182	431.914	437.865	0	0	453.73	13.592	13.7793	0	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	303.375	300.553	83415.2	0.96193	1013.15	0.0299562	0.272795	0.00817621	1134.08	3640.1	0.0084998	31.1553	2506.01	281.977	3.64331	-1.45532	0.004126	3.92322	-1.3762e-13	-7.84713e-15	3.92322	10.5375	217.564	338.226	0.0602572	NaN	0.322759	2.01236	29.9879	0.0889526	-0.46553	0.273403	0	24.6497	-3.74069	8.46145	21.0702	32.1334	45.0676	67.5194	-0.0980688	1.02181	-72.2086	1.04824	157.623	1.19316	10.3807	1.19316	3.59196	1.19316	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800001099	899999999	899999999	89999	89999	89	89	5	6	0	4	4	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	2.48349	1.21869	0.322543	0.81351	0.420887	6713.16	NaN	NaN	-0.0740923	0.0103807	3.59196	NaN	NaN	12.17	431.95	13.5963	8.57704	98.6124	0.11258	139.067	38.8305	12.2051	15	12.9728	25.7413	391.491	437.224	173.046	0	0.110777	23.897	-0.00000423779	-0.00000434348	-0.00000576405	0.000049619	0.0000545007	0.0000620999	20.0166	23.9757	25.2084	0.237	0.2609	0.2325	0.177033	0.103133	0.174	79.2138	9.58318	233.261	30.7357	294.84	28.5142	298.307	296.447	298.417	295.917	292.15	290.85	295.771	297.283	297.653	222
DATA	2024-06-25T013000_smart3-01140.ghg	2024-06-25	02:00:00	177.0833	0	18000	18000	-0.0286526	1	NaN	-39.4901	0	NaN	84.4953	0	NaN	5.9652	0	NaN	1.92329	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.71429e-11	5.45839e-13	NaN	NaN	14.2512	425.055	430.886	-0.1	0	453.767	13.534	13.7196	-0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	302.241	299.369	83449.8	0.966156	1013.08	0.0298258	0.124629	0.00817688	1129.71	3395.41	0.00846332	33.2717	2265.7	281.92	2.36122	0.211637	-0.0552466	2.37133	-3.1107e-14	1.20291e-15	2.37133	6.4131	193.996	5.12175	-1.33498	NaN	0.17221	0.606213	9.92216	0.268843	-0.467365	0.234282	1	31.0258	14	30	64	127	297	1508	-0.0279977	1.02339	-33.2946	1.04956	69.8573	1.23163	5.73889	1.23163	1.5901	1.23163	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800100099	899999999	899999999	89999	89999	89	89	11	10	5	2	2	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.672985	0.466681	0.0727591	0.369819	0.0216197	1451.69	NaN	NaN	-0.034016	0.00573889	1.5901	NaN	NaN	12.17	425.05	13.5326	8.65641	98.978	0.155899	124.4	36.4143	12.2082	15	12.9719	25.8002	354.459	432.711	218.255	0	0.110603	10.9605	-0.00000256566	-0.0000026294	-0.00000417183	0.000049619	0.0000545007	0.0000620999	15.005	20.1521	21.4853	0.236467	0.260033	0.2317	0.1775	0.103633	0.174	108.528	19.3159	233.261	29.4636	294.324	27.0509	297.873	295.853	297.583	296.08	292.197	290.85	295.404	296.913	297.035	211
DATA	2024-06-25T020000_smart3-01140.ghg	2024-06-25	02:30:00	177.1041	0	18000	18000	-0.168537	1	NaN	-9.84387	2	NaN	-55.4519	2	NaN	4.15298	1	NaN	-1.26026	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.40334e-12	-2.10533e-13	NaN	NaN	14.4006	426.993	433.073	0	0	473.473	14.0389	14.2388	0	1	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	301.303	297.783	83497.1	0.971666	1013.32	0.029651	-0.0816647	0.00853199	1172.52	3090.13	0.00878078	37.9442	1917.6	282.471	0.135599	0.437529	0.0182139	0.458421	3.35879e-14	-4.44657e-16	0.458421	6.37767	155.292	72.7808	2.27706	NaN	0.416475	2.81611	563.264	0.00473579	0.177521	0.0240057	0	54.9562	-8.33982	18.8647	46.9758	71.641	100.478	150.534	-0.166231	1.01387	-12.8526	1.0178	-48.977	1.10202	4.69563	1.10202	-1.1131	1.10202	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	810100099	899999999	899999999	89999	89999	89	89	9	9	1	3	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	1.02583	4.53403	0.0723597	1.17862	0.045144	2979.72	NaN	NaN	-0.0130535	0.00469563	-1.1131	NaN	NaN	12.1678	426.988	14.0372	9.16299	98.9584	0.00277415	135.4	34.7346	12.2102	15	12.9707	25.6699	333.791	417.271	64.0776	0	0.109501	-57.9507	-0.00000154136	-0.00000168899	-0.00000306701	0.000049619	0.0000545007	0.0000620999	11.1974	16.3754	17.7911	0.2358	0.2593	0.230833	0.177433	0.103967	0.174	25.6848	0.155253	233.26	27.6937	290.974	25.2842	297.287	295.397	296.76	296.187	292.253	290.85	295.058	296.538	296.543	075
DATA	2024-06-25T023000_smart3-01140.ghg	2024-06-25	03:00:00	177.1249	0	18000	18000	-0.0238967	1	NaN	-32.4222	0	NaN	32.0219	0	NaN	6.29529	0	NaN	0.728517	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.91914e-11	-1.33864e-12	NaN	NaN	14.3141	425.777	430.768	0.1	0	389.526	11.5866	11.7224	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	302.462	298.849	83530.1	0.969486	1011.99	0.0297453	0.0472079	0.00701926	968.088	3292.47	0.00724018	29.4031	2324.38	279.658	-1.54294	0.696706	0.0499776	1.69368	2.7549e-13	-3.43658e-15	1.69368	4.82044	38.4491	155.699	1.69094	NaN	0.157	0.512043	9.16061	0.291192	-1.0125	0.210487	1	21.6683	9	21	44	87	201	996	-0.0234048	1.02102	-29.4174	1.04392	27.3342	1.22718	6.16687	1.22718	0.621869	1.22718	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000199	800100199	899999999	899999999	89999	89999	89	89	2	11	9	10	25	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.525764	0.458104	0.0402178	0.493759	0.0243312	317.916	NaN	NaN	-0.0299837	0.00616687	0.621869	NaN	NaN	12.16	425.771	11.5862	6.42741	98.9304	1.48817	118.5	32.8659	12.2121	15	12.9689	25.6148	329.146	409.848	12.0464	0	0.109341	-78.5092	-5.35291e-7	-3.46035e-7	-0.0000017304	0.000049619	0.0000545007	0.0000620999	7.61781	13.2996	14.0198	0.234867	0.2588	0.229967	0.177867	0.103667	0.174	-3.80822	-6.00144	233.26	28.7077	289.08	26.231	296.623	294.987	295.957	296.25	292.35	290.85	294.72	296.127	295.996	036
DATA	2024-06-25T030000_smart3-01140.ghg	2024-06-25	03:30:00	177.1458	0	18000	18000	-0.0354968	1	NaN	-58.0172	0	NaN	45.3754	0	NaN	14.8846	0	NaN	1.03093	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.6205e-11	-1.62131e-12	NaN	NaN	14.4379	427.26	432.592	0.1	0	416.481	12.3249	12.4787	0.1	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	300.969	297.466	83571.5	0.974203	1012.36	0.029593	0.0668045	0.00750498	1030.29	3032.09	0.00770372	33.9795	2001.8	280.565	-2.10248	0.314919	0.0821296	2.12752	1.81226e-13	-3.89289e-15	2.12752	5.87662	24.0919	171.481	2.21236	NaN	0.190884	0.886091	9.20481	0.289794	-1.2786	0.308178	1	22.7838	10	22	47	92	212	1058	-0.0346749	1.0237	-52.9837	1.04992	39.0345	1.24098	13.9399	1.24098	0.886868	1.24098	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800101099	899999999	899999999	89999	89999	89	89	13	15	8	2	5	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.740212	0.944042	0.0879281	0.438399	0.0362118	162.871	NaN	NaN	-0.0537227	0.0139399	0.886868	NaN	NaN	12.1767	427.258	12.3248	7.34214	98.9724	0.672414	113.867	31.3003	12.2142	15	12.9683	25.5809	325.44	406.86	0.19716	0	0.108762	-85.2529	5.53596e-7	7.69346e-7	-7.73438e-7	0.000049619	0.0000545007	0.0000620999	3.90134	10.576	10.4901	0.234033	0.258567	0.229133	0.178	0.104	0.174	-11.6826	-7.84974	233.259	27.4462	288.46	25.233	295.957	294.58	295.253	296.257	292.407	290.85	294.384	295.715	295.436	072
DATA	2024-06-25T033000_smart3-01140.ghg	2024-06-25	04:00:00	177.1666	0	18000	18000	-0.00795856	1	NaN	-12.6365	0	NaN	7.60135	0	NaN	4.42526	0	NaN	0.172567	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.37484e-11	9.80711e-13	NaN	NaN	14.3892	424.422	429.722	0.2	0	418.142	12.3335	12.4875	0.2	0	NaN	NaN	NaN	NaN	9	NaN	NaN	NaN	NaN	9	300.718	296.651	83617	0.977407	1012.34	0.0294959	0.0111823	0.00753492	1031.57	2887.22	0.00770909	35.7287	1855.65	280.583	-0.661883	0.0697635	0.0214923	0.665896	-2.15778e-13	2.3454e-15	0.665896	2.51385	16.8505	173.983	1.84959	NaN	0.090236	0.269766	4.46614	0.597272	-1.6624	0.141529	1	11.5912	5	11	23	44	100	466	-0.00776471	1.02497	-11.6756	1.05009	6.3609	1.30493	3.80977	1.30493	0.144406	1.30493	NaN	NaN	NaN	NaN	800000099	800000099	800000099	800000099	800000099	800101099	899999999	899999999	89999	89999	89	89	17	5	1	13	20	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	0.203143	0.316086	0.0203034	0.161937	0.0249798	40.5982	NaN	NaN	-0.0117999	0.00380977	0.144406	NaN	NaN	12.19	424.414	12.3335	7.36444	98.9677	0.659118	89.7	29.9417	12.2156	15	12.9671	25.5504	320.511	397.365	0.000684951	0	0.108336	-80.7054	0.00000144211	0.00000171645	1.57822e-7	0.000049619	0.0000545007	0.0000620999	0.615606	8.05611	7.42129	0.233367	0.2576	0.229	0.177967	0.104	0.174	-11.2832	-7.43219	233.259	26.8477	286.963	24.4089	295.373	294.207	294.703	296.253	292.46	290.85	294.063	295.335	294.919	148
