FileTime,File Name,GHG Time,SF3 Time,Time Offset (s)
2025-06-18 12:57:11,2025-06-18T125711_smart3-001135.ghg,-1,-1,-1
2025-06-18 13:28:56,2025-06-18T132856_smart3-001135.ghg,-1,-1,-1
2025-06-18 13:30:00,2025-06-18T133000_smart3-001135.ghg,-1,-1,-1
2025-06-18 14:00:00,2025-06-18T140000_smart3-001135.ghg,-1,-1,-1
2025-06-18 14:56:40,2025-06-18T145640_smart3-001135.ghg,-1,-1,-1
2025-07-22 12:10:15,2025-07-22T121015_smart3-001135.ghg,1753212017,1753212017,0
2025-07-22 12:30:00,2025-07-22T123000_smart3-001135.ghg,1753213809,1753213809,0
2025-07-22 13:00:00,2025-07-22T130000_smart3-001135.ghg,1753215613,1753215613,0
2025-07-22 13:30:00,2025-07-22T133000_smart3-001135.ghg,1753217413,1753217413,0
2025-07-22 14:00:00,2025-07-22T140000_smart3-001135.ghg,1753219216,1753219216,0
2025-07-22 14:30:00,2025-07-22T143000_smart3-001135.ghg,1753221017,1753221017,0
2025-07-22 15:00:00,2025-07-22T150000_smart3-001135.ghg,1753222820,1753222820,0
2025-07-22 15:30:00,2025-07-22T153000_smart3-001135.ghg,1753224611,1753224611,0
2025-07-22 16:00:00,2025-07-22T160000_smart3-001135.ghg,1753226412,1753226412,0
2025-07-22 16:30:00,2025-07-22T163000_smart3-001135.ghg,1753228214,1753228214,0
2025-07-22 17:00:00,2025-07-22T170000_smart3-001135.ghg,1753230015,1753230016,1
2025-07-22 17:30:00,2025-07-22T173000_smart3-001135.ghg,1753231811,1753231811,0
2025-07-22 18:00:00,2025-07-22T180000_smart3-001135.ghg,1753233614,1753233614,0
2025-07-22 18:30:00,2025-07-22T183000_smart3-001135.ghg,1753235419,1753235419,0
2025-07-22 19:00:00,2025-07-22T190000_smart3-001135.ghg,1753237217,1753237217,0
2025-07-22 19:30:00,2025-07-22T193000_smart3-001135.ghg,1753239013,1753239013,0
2025-07-22 20:00:00,2025-07-22T200000_smart3-001135.ghg,1753240813,1753240813,0
2025-07-22 20:30:00,2025-07-22T203000_smart3-001135.ghg,1753242616,1753242617,1
2025-07-22 21:00:00,2025-07-22T210000_smart3-001135.ghg,1753244419,1753244420,1
2025-07-22 21:30:00,2025-07-22T213000_smart3-001135.ghg,1753246210,1753246211,1
2025-07-22 22:00:00,2025-07-22T220000_smart3-001135.ghg,1753248012,1753248012,0
2025-07-22 22:30:00,2025-07-22T223000_smart3-001135.ghg,1753249815,1753249815,0
2025-07-22 23:00:00,2025-07-22T230000_smart3-001135.ghg,1753251609,1753251609,0
2025-07-22 23:30:00,2025-07-22T233000_smart3-001135.ghg,1753253419,1753253419,0
2025-07-23 00:00:00,2025-07-23T000000_smart3-001135.ghg,1753255212,1753255212,0
2025-07-23 00:30:00,2025-07-23T003000_smart3-001135.ghg,1753257014,1753257014,0
2025-07-23 01:00:00,2025-07-23T010000_smart3-001135.ghg,1753258816,1753258816,0
2025-07-23 01:30:00,2025-07-23T013000_smart3-001135.ghg,1753260618,1753260618,0
2025-07-23 02:00:00,2025-07-23T020000_smart3-001135.ghg,1753262419,1753262419,0
2025-07-23 02:30:00,2025-07-23T023000_smart3-001135.ghg,1753264210,1753264210,0
2025-07-23 03:00:00,2025-07-23T030000_smart3-001135.ghg,1753266012,1753266012,0
2025-07-23 03:30:00,2025-07-23T033000_smart3-001135.ghg,1753267814,1753267814,0
2025-07-23 04:00:00,2025-07-23T040000_smart3-001135.ghg,1753269615,1753269615,0
2025-07-23 04:30:00,2025-07-23T043000_smart3-001135.ghg,1753271419,1753271419,0
2025-07-23 05:00:00,2025-07-23T050000_smart3-001135.ghg,1753273220,1753273221,1
2025-07-23 05:30:00,2025-07-23T053000_smart3-001135.ghg,1753275010,1753275010,0
2025-07-23 06:00:00,2025-07-23T060000_smart3-001135.ghg,1753276812,1753276812,0
2025-07-23 06:30:00,2025-07-23T063000_smart3-001135.ghg,1753278614,1753278614,0
2025-07-23 07:00:00,2025-07-23T070000_smart3-001135.ghg,1753280417,1753280417,0
2025-07-23 07:30:00,2025-07-23T073000_smart3-001135.ghg,1753282218,1753282218,0
2025-07-23 08:00:00,2025-07-23T080000_smart3-001135.ghg,1753284009,1753284010,1
2025-07-23 08:30:00,2025-07-23T083000_smart3-001135.ghg,1753285811,1753285811,0
2025-07-23 09:00:00,2025-07-23T090000_smart3-001135.ghg,1753287613,1753287614,1
2025-07-23 09:30:00,2025-07-23T093000_smart3-001135.ghg,1753289415,1753289415,0
2025-07-23 10:00:00,2025-07-23T100000_smart3-001135.ghg,1753291220,1753291220,0
2025-07-23 10:30:00,2025-07-23T103000_smart3-001135.ghg,1753293009,1753293009,0
2025-07-23 11:00:00,2025-07-23T110000_smart3-001135.ghg,1753294812,1753294812,0
2025-07-23 11:30:00,2025-07-23T113000_smart3-001135.ghg,1753296613,1753296613,0
2025-07-23 12:00:00,2025-07-23T120000_smart3-001135.ghg,1753298414,1753298415,1
2025-07-23 12:30:00,2025-07-23T123000_smart3-001135.ghg,1753300218,1753300218,0
2025-07-23 13:00:00,2025-07-23T130000_smart3-001135.ghg,1753302009,1753302009,0
2025-07-23 13:30:00,2025-07-23T133000_smart3-001135.ghg,1753303812,1753303812,0
2025-07-23 14:00:00,2025-07-23T140000_smart3-001135.ghg,1753305614,1753305614,0
2025-07-23 14:30:00,2025-07-23T143000_smart3-001135.ghg,1753307416,1753307416,0
2025-07-23 15:00:00,2025-07-23T150000_smart3-001135.ghg,1753309218,1753309218,0
2025-07-23 15:30:00,2025-07-23T153000_smart3-001135.ghg,1753311010,1753311011,1
2025-07-23 16:00:00,2025-07-23T160000_smart3-001135.ghg,1753312812,1753312812,0
2025-07-23 16:30:00,2025-07-23T163000_smart3-001135.ghg,1753314615,1753314616,1
2025-07-23 17:00:00,2025-07-23T170000_smart3-001135.ghg,1753316418,1753316418,0
2025-07-23 17:30:00,2025-07-23T173000_smart3-001135.ghg,1753318211,1753318211,0
2025-07-23 18:00:00,2025-07-23T180000_smart3-001135.ghg,1753320011,1753320011,0
2025-07-23 18:30:00,2025-07-23T183000_smart3-001135.ghg,1753321814,1753321814,0
2025-07-23 19:00:00,2025-07-23T190000_smart3-001135.ghg,1753325434,1753325435,1
2025-07-23 19:30:00,2025-07-23T193000_smart3-001135.ghg,1753332654,1753332654,0
2025-07-23 20:00:00,2025-07-23T200000_smart3-001135.ghg,1753332654,1753332654,0
2025-07-23 20:30:00,2025-07-23T203000_smart3-001135.ghg,1753332654,1753332654,0
2025-07-23 21:00:00,2025-07-23T210000_smart3-001135.ghg,1753332654,1753332654,0
2025-07-23 21:30:00,2025-07-23T213000_smart3-001135.ghg,1753332654,1753332654,0
2025-07-23 22:00:00,2025-07-23T220000_smart3-001135.ghg,1753334415,1753334415,0
2025-07-23 22:30:00,2025-07-23T223000_smart3-001135.ghg,1753336218,1753336218,0
2025-07-23 23:00:00,2025-07-23T230000_smart3-001135.ghg,1753338020,1753338020,0
2025-07-23 23:30:00,2025-07-23T233000_smart3-001135.ghg,1753339811,1753339811,0
2025-07-24 00:00:00,2025-07-24T000000_smart3-001135.ghg,1753341613,1753341613,0
2025-07-24 00:30:00,2025-07-24T003000_smart3-001135.ghg,1753343415,1753343415,0
2025-07-24 01:00:00,2025-07-24T010000_smart3-001135.ghg,1753345217,1753345217,0
2025-07-24 01:30:00,2025-07-24T013000_smart3-001135.ghg,1753347019,1753347019,0
2025-07-24 02:00:00,2025-07-24T020000_smart3-001135.ghg,1753348811,1753348811,0
2025-07-24 02:30:00,2025-07-24T023000_smart3-001135.ghg,1753350612,1753350613,1
2025-07-24 03:00:00,2025-07-24T030000_smart3-001135.ghg,1753352414,1753352414,0
2025-07-24 03:30:00,2025-07-24T033000_smart3-001135.ghg,1753354217,1753354217,0
2025-07-24 04:00:00,2025-07-24T040000_smart3-001135.ghg,1753356019,1753356019,0
2025-07-24 04:30:00,2025-07-24T043000_smart3-001135.ghg,1753357810,1753357810,0
2025-07-24 05:00:00,2025-07-24T050000_smart3-001135.ghg,1753359612,1753359612,0
2025-07-24 05:30:00,2025-07-24T053000_smart3-001135.ghg,1753361414,1753361414,0
2025-07-24 06:00:00,2025-07-24T060000_smart3-001135.ghg,1753363216,1753363216,0
2025-07-24 06:30:00,2025-07-24T063000_smart3-001135.ghg,1753365019,1753365019,0
2025-07-24 07:00:00,2025-07-24T070000_smart3-001135.ghg,1753366820,1753366820,0
2025-07-24 07:30:00,2025-07-24T073000_smart3-001135.ghg,1753368612,1753368613,1
2025-07-24 08:00:00,2025-07-24T080000_smart3-001135.ghg,1753370413,1753370413,0
2025-07-24 08:30:00,2025-07-24T083000_smart3-001135.ghg,1753372216,1753372216,0
2025-07-24 09:00:00,2025-07-24T090000_smart3-001135.ghg,1753374018,1753374018,0
2025-07-24 09:30:00,2025-07-24T093000_smart3-001135.ghg,1753375817,1753375817,0
2025-07-24 10:00:00,2025-07-24T100000_smart3-001135.ghg,1753377613,1753377613,0
2025-07-24 10:30:00,2025-07-24T103000_smart3-001135.ghg,1753379415,1753379415,0
2025-07-24 11:00:00,2025-07-24T110000_smart3-001135.ghg,1753381218,1753381219,1
2025-07-24 11:30:00,2025-07-24T113000_smart3-001135.ghg,1753383011,1753383011,0
2025-07-24 12:00:00,2025-07-24T120000_smart3-001135.ghg,1753384813,1753384813,0
2025-07-24 12:30:00,2025-07-24T123000_smart3-001135.ghg,1753386615,1753386615,0
2025-07-24 13:00:00,2025-07-24T130000_smart3-001135.ghg,1753388418,1753388418,0
2025-07-24 13:30:00,2025-07-24T133000_smart3-001135.ghg,1753390220,1753390220,0
2025-07-24 14:00:00,2025-07-24T140000_smart3-001135.ghg,1753392013,1753392013,0
2025-07-24 14:30:00,2025-07-24T143000_smart3-001135.ghg,1753393818,1753393819,1
2025-07-24 15:00:00,2025-07-24T150000_smart3-001135.ghg,1753395616,1753395616,0
2025-07-24 15:30:00,2025-07-24T153000_smart3-001135.ghg,1753397418,1753397418,0
2025-07-24 16:00:00,2025-07-24T160000_smart3-001135.ghg,1753399219,1753399219,0
2025-07-24 16:30:00,2025-07-24T163000_smart3-001135.ghg,1753401011,1753401012,1
2025-07-24 17:00:00,2025-07-24T170000_smart3-001135.ghg,1753402812,1753402812,0
